,date,mobility_sum,apple_mobility,distance,cases,deaths
0,2021-05-27,-26.0,168.46,2,315649,5099
1,2021-05-28,40.0,199.74,2,315860,5114
2,2021-05-29,96.0,180.79,2,315860,5114
3,2021-05-30,96.0,137.84,2,315860,5114
4,2021-05-31,-88.0,124.93,2,315860,5114
5,2021-06-01,27.0,164.71,2,315863,5115
6,2021-06-02,64.0,168.84,2,316291,5115
7,2021-06-03,79.0,178.3,2,316287,5115
8,2021-06-04,95.0,204.12,2,316626,5121
9,2021-06-05,139.0,195.38,2,316626,5121
10,2021-06-06,115.0,146.98,2,316626,5121
11,2021-06-07,78.0,165.41,2,316840,5136
12,2021-06-08,57.0,167.56,2,316865,5136
13,2021-06-09,72.0,170.29,2,317153,5139
14,2021-06-10,41.0,180.21,2,317165,5139
15,2021-06-11,31.0,201.62,2,317387,5140
16,2021-06-12,110.0,201.32,2,317387,5140
17,2021-06-13,88.0,149.54,2,317387,5140
18,2021-06-14,64.0,166.26,2,317613,5158
19,2021-06-15,41.0,170.33,2,317644,5158
20,2021-06-16,49.0,174.61,2,317938,5161
21,2021-06-17,19.0,184.84,2,317950,5161
22,2021-06-18,58.0,207.01,2,318104,5163
23,2021-06-19,82.0,192.15,2,318104,5163
24,2021-06-20,66.0,136.99,2,318104,5163
25,2021-06-21,48.0,162.72,2,318248,5165
26,2021-06-22,39.0,167.76,2,318264,5165
27,2021-06-23,52.0,171.91,2,318583,5175
28,2021-06-24,-10.0,177.23,2,318591,5175
29,2021-06-25,-11.0,197.82,2,318833,5182
30,2021-06-26,15.0,192.01,2,318833,5182
31,2021-06-27,56.0,146.61,2,318833,5182
32,2021-06-28,-10.0,158.86,2,319151,5183
33,2021-06-29,-49.0,160.16,2,319160,5182
34,2021-06-30,-17.0,162.68,2,319584,5188
35,2021-07-01,36.0,180.03,2,319626,5189
36,2021-07-02,115.0,197.21,2,319991,5192
37,2021-07-03,119.0,166.77,2,319991,5192
38,2021-07-04,142.0,127.93,2,319991,5192
39,2021-07-05,-15.0,145.16,2,319991,5192
40,2021-07-06,20.0,168.19,2,320070,5190
41,2021-07-07,11.0,173.31,2,321000,5196
42,2021-07-08,31.0,182.62,2,321011,5196
43,2021-07-09,54.0,204.63,2,321812,5208
44,2021-07-10,24.0,184.67,2,321812,5208
45,2021-07-11,90.0,142.95,2,321812,5208
46,2021-07-12,16.0,163.8,2,322458,5219
47,2021-07-13,5.0,167.22,2,322505,5219
48,2021-07-14,46.0,171.12,2,322725,5220
49,2021-07-15,-36.0,176.14,2,322773,5220
50,2021-07-16,36.0,207.0,2,324738,5232
51,2021-07-17,78.0,193.01,2,324738,5232
52,2021-07-18,113.0,149.41,2,324738,5232
53,2021-07-19,55.0,164.74,2,325544,5234
54,2021-07-20,47.0,167.89,2,325592,5234
55,2021-07-21,33.0,172.91,2,327081,5235
56,2021-07-22,13.0,180.06,2,327157,5236
57,2021-07-23,50.0,200.95,2,328593,5275
58,2021-07-24,23.0,185.98,2,328603,5275
59,2021-07-25,13.0,139.97,2,328603,5275
60,2021-07-26,9.0,159.28,2,329941,5282
61,2021-07-27,-23.0,161.3,2,330018,5282
62,2021-07-28,11.0,164.04,2,332261,5282
63,2021-07-29,-34.0,171.66,2,332294,5284
64,2021-07-30,21.0,198.64,2,334119,5294
65,2021-07-31,59.0,182.93,2,334159,5294
66,2021-08-01,49.0,142.14,2,334159,5294
67,2021-08-02,23.0,161.22,2,335840,5301
68,2021-08-03,26.0,163.33,2,335924,5299
69,2021-08-04,44.0,166.0,2,338568,5318
70,2021-08-05,4.0,168.58,2,338666,5322
71,2021-08-06,38.0,191.58,2,340741,5335
72,2021-08-07,32.0,182.15,2,340741,5335
73,2021-08-08,91.0,140.4,2,340741,5335
74,2021-08-09,18.0,159.69,2,343462,5355
75,2021-08-10,-14.0,158.95,2,343491,5356
76,2021-08-11,13.0,164.18,2,346181,5389
77,2021-08-12,-28.0,167.27,2,346220,5393
78,2021-08-13,61.0,189.22,2,349073,5417
79,2021-08-14,70.0,184.6,2,349073,5417
80,2021-08-15,74.0,143.89,2,349073,5417
81,2021-08-16,33.0,158.36,2,351444,5425
82,2021-08-17,-12.0,159.51,2,351554,5427
83,2021-08-18,60.0,160.49,2,354518,5427
84,2021-08-19,-10.0,163.83,2,354681,5429
85,2021-08-20,27.0,185.37,2,357195,5520
86,2021-08-21,65.0,184.75,2,357214,5520
87,2021-08-22,35.0,137.86,2,357266,5520
88,2021-08-23,-1.0,150.93,2,359987,5522
89,2021-08-24,-17.0,151.71,2,360088,5525
90,2021-08-25,26.0,152.37,2,363530,5561
91,2021-08-26,-7.0,156.57,2,363685,5562
92,2021-08-27,72.0,185.68,2,366848,5575
93,2021-08-28,109.0,181.94,2,366848,5575
94,2021-08-29,36.0,128.15,2,366926,5575
95,2021-08-30,11.0,144.29,2,370060,5583
96,2021-08-31,2.0,148.14,2,370128,5589
97,2021-09-01,34.0,152.18,2,374314,5610
98,2021-09-02,37.0,167.3,2,374426,5613
99,2021-09-03,46.0,193.52,2,378244,5657
100,2021-09-04,-5.0,165.55,2,378244,5657
101,2021-09-05,78.0,136.85,2,378244,5659
102,2021-09-06,-1.0,132.63,2,378244,5659
103,2021-09-07,3.0,150.61,2,378482,5662
104,2021-09-08,40.0,151.41,2,383933,5717
105,2021-09-09,21.0,162.67,2,384034,5719
106,2021-09-10,71.0,189.85,2,388198,5783
107,2021-09-11,62.0,193.0,2,388198,5783
108,2021-09-12,76.0,132.74,2,388198,5783
109,2021-09-13,22.0,149.81,2,390982,5791
110,2021-09-14,9.0,148.41,2,391113,5794
111,2021-09-15,84.0,155.95,2,394776,5818
112,2021-09-16,28.0,167.48,2,394848,5826
113,2021-09-17,62.0,200.79,2,398054,5883
114,2021-09-18,72.0,205.54,2,398054,5883
115,2021-09-19,102.0,143.02,2,398054,5883
116,2021-09-20,14.0,145.34,2,400445,5936
117,2021-09-21,30.0,150.09,2,400540,5939
118,2021-09-22,51.0,157.56,2,402978,5945
119,2021-09-23,28.0,165.8,2,403026,5947
120,2021-09-24,79.0,197.58,2,405495,6005
121,2021-09-25,89.0,204.11,2,405513,6005
122,2021-09-26,87.0,137.19,2,405513,6005
123,2021-09-27,23.0,147.61,2,407436,6050
124,2021-09-28,16.0,150.26,2,407540,6056
125,2021-09-29,50.0,150.4,2,409937,6079
126,2021-09-30,27.0,160.01,2,410041,6079
127,2021-10-01,125.0,193.62,2,412319,6097
128,2021-10-02,97.0,195.63,2,412332,6097
129,2021-10-03,93.0,139.35,2,412332,6097
130,2021-10-04,41.0,144.78,2,414127,6098
131,2021-10-05,4.0,148.49,2,414129,6098
132,2021-10-06,43.0,151.63,2,416428,6134
133,2021-10-07,31.0,164.38,2,416545,6140
134,2021-10-08,65.0,197.97,2,418664,6146
135,2021-10-09,152.0,199.18,2,418664,6146
136,2021-10-10,53.0,139.07,2,418664,6146
137,2021-10-11,-2.0,142.63,2,420286,6173
138,2021-10-12,48.0,150.62,2,420301,6173
139,2021-10-13,61.0,153.46,2,422261,6183
140,2021-10-14,92.0,170.78,2,422308,6183
141,2021-10-15,127.0,203.46,2,424086,6199
142,2021-10-16,79.0,210.67,2,424108,6199
143,2021-10-17,35.0,145.64,2,424108,6199
144,2021-10-18,14.0,148.72,2,425600,6203
145,2021-10-19,10.0,151.44,2,425861,6198
146,2021-10-20,57.0,157.65,2,427863,6213
147,2021-10-21,11.0,167.91,2,428023,6214
148,2021-10-22,38.0,203.55,2,429760,6238
149,2021-10-23,-8.0,206.21,2,429760,6238
150,2021-10-24,-30.0,136.34,2,429760,6238
151,2021-10-25,-39.0,145.88,2,431258,6268
152,2021-10-26,-42.0,147.81,2,431264,6268
153,2021-10-27,-25.0,146.07,2,433794,6370
154,2021-10-28,-79.0,155.53,2,433841,6371
155,2021-10-29,-5.0,195.34,2,435701,6438
156,2021-10-30,18.0,203.35,2,435701,6438
157,2021-10-31,43.0,134.42,2,435701,6438
158,2021-11-01,-55.0,142.01,2,436923,6447
159,2021-11-02,-42.0,144.75,2,436931,6449
160,2021-11-03,-1.0,144.52,2,439174,6477
161,2021-11-04,-46.0,149.23,2,439267,6477
162,2021-11-05,24.0,182.28,2,441278,6524
163,2021-11-06,5.0,182.74,2,441278,6524
164,2021-11-07,45.0,127.77,2,441278,6524
165,2021-11-08,-2.0,135.84,2,443100,6561
166,2021-11-09,-41.0,142.37,2,443223,6565
167,2021-11-10,-32.0,148.77,2,446005,6639
168,2021-11-11,-41.0,161.48,2,446005,6639
169,2021-11-12,-35.0,187.51,2,448688,6644
170,2021-11-13,-56.0,182.52,2,448688,6644
171,2021-11-14,-16.0,134.2,2,448688,6644
172,2021-11-15,-12.0,147.22,2,450676,6642
173,2021-11-16,-36.0,150.32,2,450846,6645
174,2021-11-17,-26.0,150.92,2,453815,6664
175,2021-11-18,-55.0,160.57,2,453975,6666
176,2021-11-19,-12.0,190.71,2,456720,6668
177,2021-11-20,15.0,195.55,2,456759,6668
178,2021-11-21,8.0,135.34,2,456759,6668
179,2021-11-22,-39.0,157.92,2,459139,6669
180,2021-11-23,-24.0,171.73,2,459181,6670
181,2021-11-24,20.0,180.39,2,462152,6707
182,2021-11-25,-217.0,94.73,2,462152,6707
183,2021-11-26,-72.0,154.71,2,462152,6704
184,2021-11-27,-63.0,162.07,2,462152,6704
185,2021-11-28,-16.0,133.77,2,462152,6704
186,2021-11-29,-29.0,142.77,2,466200,6716
187,2021-11-30,-50.0,146.5,2,466340,6717
188,2021-12-01,-17.0,148.01,2,470543,6736
189,2021-12-02,-28.0,151.81,2,470706,6736
190,2021-12-03,47.0,182.8,2,475373,6759
191,2021-12-04,-31.0,183.93,2,475373,6759
192,2021-12-05,10.0,128.42,2,475471,6759
