,date,mobility_sum,apple_mobility,distance,cases,deaths
0,2021-05-27,163.0,180.27,2,459425,6908
1,2021-05-28,104.0,205.41,2,459728,6918
2,2021-05-29,60.0,179.87,2,460029,6938
3,2021-05-30,178.0,148.07,2,460060,6938
4,2021-05-31,121.0,149.17,2,460060,6938
5,2021-06-01,105.0,159.6,2,460454,7109
6,2021-06-02,64.0,155.77,2,460741,7119
7,2021-06-03,131.0,171.27,2,461055,7127
8,2021-06-04,174.0,204.49,2,461450,7136
9,2021-06-05,179.0,199.65,2,461712,7140
10,2021-06-06,184.0,147.63,2,461712,7140
11,2021-06-07,119.0,158.86,2,461810,7146
12,2021-06-08,70.0,158.46,2,462341,7151
13,2021-06-09,110.0,161.71,2,462648,7165
14,2021-06-10,137.0,174.96,2,462901,7182
15,2021-06-11,103.0,203.8,2,463090,7196
16,2021-06-12,123.0,201.19,2,463294,7203
17,2021-06-13,220.0,157.79,2,463377,7205
18,2021-06-14,135.0,168.32,2,463531,7210
19,2021-06-15,115.0,168.88,2,463747,7218
20,2021-06-16,152.0,175.02,2,463895,7222
21,2021-06-17,178.0,184.11,2,464100,7224
22,2021-06-18,187.0,207.81,2,464264,7225
23,2021-06-19,156.0,192.68,2,464276,7225
24,2021-06-20,235.0,147.09,2,464291,7227
25,2021-06-21,95.0,157.26,2,464584,7236
26,2021-06-22,87.0,169.45,2,464743,7240
27,2021-06-23,188.0,174.49,2,464874,7242
28,2021-06-24,163.0,187.11,2,465024,7247
29,2021-06-25,139.0,212.87,2,465205,7252
30,2021-06-26,147.0,203.22,2,465205,7252
31,2021-06-27,220.0,164.75,2,465205,7252
32,2021-06-28,118.0,168.61,2,465460,7259
33,2021-06-29,56.0,169.16,2,465686,7264
34,2021-06-30,161.0,173.66,2,465942,7267
35,2021-07-01,113.0,181.58,2,466106,7269
36,2021-07-02,195.0,214.03,2,466278,7280
37,2021-07-03,150.0,180.94,2,466278,7280
38,2021-07-04,147.0,139.59,2,466278,7280
39,2021-07-05,144.0,165.1,2,466278,7280
40,2021-07-06,99.0,176.04,2,466718,7292
41,2021-07-07,126.0,176.97,2,467047,7296
42,2021-07-08,131.0,184.5,2,467339,7299
43,2021-07-09,110.0,215.94,2,467690,7301
44,2021-07-10,77.0,191.28,2,467690,7301
45,2021-07-11,148.0,152.1,2,467690,7301
46,2021-07-12,103.0,165.99,2,468427,7310
47,2021-07-13,42.0,167.86,2,468857,7313
48,2021-07-14,129.0,177.36,2,469487,7318
49,2021-07-15,154.0,187.22,2,470012,7323
50,2021-07-16,112.0,214.23,2,470538,7328
51,2021-07-17,107.0,199.41,2,470538,7328
52,2021-07-18,166.0,160.0,2,470538,7328
53,2021-07-19,141.0,168.74,2,471546,7344
54,2021-07-20,142.0,171.27,2,472535,7347
55,2021-07-21,141.0,176.32,2,473454,7349
56,2021-07-22,142.0,186.76,2,474359,7351
57,2021-07-23,150.0,211.83,2,475351,7355
58,2021-07-24,245.0,203.21,2,475351,7355
59,2021-07-25,208.0,157.28,2,475351,7355
60,2021-07-26,86.0,165.91,2,477571,7362
61,2021-07-27,53.0,167.24,2,478795,7366
62,2021-07-28,120.0,171.98,2,480455,7368
63,2021-07-29,116.0,176.39,2,481991,7370
64,2021-07-30,143.0,208.71,2,483606,7377
65,2021-07-31,141.0,195.8,2,483719,7378
66,2021-08-01,190.0,156.1,2,483719,7378
67,2021-08-02,120.0,164.36,2,487221,7393
68,2021-08-03,77.0,167.28,2,488907,7406
69,2021-08-04,108.0,168.35,2,491425,7421
70,2021-08-05,111.0,172.37,2,493755,7426
71,2021-08-06,146.0,205.92,2,496215,7432
72,2021-08-07,117.0,197.44,2,496329,7432
73,2021-08-08,219.0,153.16,2,496451,7432
74,2021-08-09,82.0,159.63,2,501509,7449
75,2021-08-10,45.0,162.79,2,503875,7454
76,2021-08-11,86.0,167.66,2,506902,7467
77,2021-08-12,76.0,175.35,2,509516,7472
78,2021-08-13,107.0,202.02,2,513402,7485
79,2021-08-14,107.0,190.35,2,513566,7486
80,2021-08-15,142.0,144.56,2,513698,7486
81,2021-08-16,78.0,165.06,2,520349,7504
82,2021-08-17,27.0,163.39,2,523490,7511
83,2021-08-18,46.0,164.49,2,527184,7523
84,2021-08-19,50.0,176.17,2,531954,7532
85,2021-08-20,72.0,201.17,2,536091,7572
86,2021-08-21,71.0,187.71,2,536120,7572
87,2021-08-22,144.0,149.52,2,536517,7572
88,2021-08-23,69.0,158.2,2,544574,7606
89,2021-08-24,22.0,156.33,2,549300,7633
90,2021-08-25,75.0,159.02,2,554381,7698
91,2021-08-26,78.0,166.09,2,559591,7721
92,2021-08-27,57.0,192.54,2,564438,7739
93,2021-08-28,88.0,185.7,2,564815,7743
94,2021-08-29,105.0,138.08,2,565401,7743
95,2021-08-30,19.0,144.76,2,575024,7796
96,2021-08-31,-40.0,144.74,2,579693,7826
97,2021-09-01,89.0,156.67,2,584624,7842
98,2021-09-02,95.0,170.37,2,589756,7884
99,2021-09-03,146.0,204.11,2,595200,7907
100,2021-09-04,95.0,180.08,2,595779,7910
101,2021-09-05,65.0,139.35,2,595992,7910
102,2021-09-06,90.0,143.07,2,596598,7910
103,2021-09-07,66.0,152.2,2,608088,7963
104,2021-09-08,47.0,154.35,2,613121,8001
105,2021-09-09,71.0,163.81,2,618452,8040
106,2021-09-10,61.0,192.99,2,623804,8072
107,2021-09-11,147.0,192.19,2,624189,8076
108,2021-09-12,131.0,141.08,2,624189,8076
109,2021-09-13,62.0,149.93,2,633518,8132
110,2021-09-14,82.0,153.62,2,638168,8167
111,2021-09-15,32.0,153.62,2,643686,8224
112,2021-09-16,91.0,169.32,2,648617,8278
113,2021-09-17,74.0,212.26,2,653942,8331
114,2021-09-18,118.0,199.41,2,654377,8337
115,2021-09-19,59.0,143.87,2,654725,8337
116,2021-09-20,14.0,147.78,2,662963,8408
117,2021-09-21,16.0,151.38,2,666269,8450
118,2021-09-22,28.0,153.26,2,670790,8498
119,2021-09-23,96.0,179.58,2,675004,8545
120,2021-09-24,112.0,208.5,2,678902,8574
121,2021-09-25,171.0,197.06,2,679210,8587
122,2021-09-26,120.0,148.86,2,679411,8588
123,2021-09-27,74.0,158.3,2,685740,8667
124,2021-09-28,49.0,170.94,2,690107,8734
125,2021-09-29,93.0,162.61,2,694161,8808
126,2021-09-30,108.0,179.04,2,696861,8858
127,2021-10-01,83.0,209.83,2,700971,8896
128,2021-10-02,104.0,196.17,2,701264,8902
129,2021-10-03,43.0,134.04,2,701264,8905
130,2021-10-04,49.0,152.87,2,705806,8991
131,2021-10-05,18.0,157.43,2,708731,9011
132,2021-10-06,37.0,158.08,2,711453,9067
133,2021-10-07,60.0,173.99,2,714429,9131
134,2021-10-08,90.0,215.55,2,716455,9162
135,2021-10-09,133.0,212.18,2,716455,9162
136,2021-10-10,168.0,160.72,2,716455,9162
137,2021-10-11,92.0,164.02,2,720938,9252
138,2021-10-12,61.0,164.84,2,723149,9284
139,2021-10-13,87.0,168.18,2,725843,9318
140,2021-10-14,121.0,182.02,2,727912,9347
141,2021-10-15,56.0,211.65,2,729974,9376
142,2021-10-16,212.0,210.36,2,730153,9377
143,2021-10-17,157.0,155.92,2,730153,9377
144,2021-10-18,74.0,159.43,2,733111,9478
145,2021-10-19,55.0,163.0,2,735100,9528
146,2021-10-20,85.0,166.96,2,736974,9590
147,2021-10-21,93.0,180.05,2,738717,9637
148,2021-10-22,103.0,212.37,2,740285,9663
149,2021-10-23,203.0,209.2,2,740355,9666
150,2021-10-24,146.0,147.05,2,740355,9666
151,2021-10-25,2.0,152.55,2,742856,9741
