,date,mobility_sum,apple_mobility,distance,cases,deaths
0,2021-05-27,52.0,144.65,0,470331,10570
1,2021-05-28,54.0,164.0,0,470685,10576
2,2021-05-29,70.0,147.84,0,470685,10576
3,2021-05-30,141.0,117.85,0,470685,10576
4,2021-05-31,4.0,112.03,0,470685,10576
5,2021-06-01,7.0,132.41,0,471663,10592
6,2021-06-02,46.0,131.97,0,472304,10595
7,2021-06-03,14.0,136.75,0,472617,10605
8,2021-06-04,20.0,152.15,0,472981,10615
9,2021-06-05,19.0,137.37,0,472981,10615
10,2021-06-06,45.0,103.95,0,472981,10615
11,2021-06-07,20.0,126.6,0,473777,10619
12,2021-06-08,16.0,129.57,0,473879,10622
13,2021-06-09,51.0,133.43,0,474653,10631
14,2021-06-10,38.0,143.58,0,475126,10638
15,2021-06-11,53.0,163.35,0,475354,10648
16,2021-06-12,59.0,158.02,0,475354,10648
17,2021-06-13,73.0,115.67,0,475354,10648
18,2021-06-14,32.0,131.92,0,475908,10655
19,2021-06-15,9.0,132.99,0,476467,10660
20,2021-06-16,40.0,137.11,0,476792,10670
21,2021-06-17,41.0,147.44,0,477127,10677
22,2021-06-18,-1.0,154.25,0,477453,10688
23,2021-06-19,-13.0,133.3,0,477453,10688
24,2021-06-20,20.0,96.64,0,477453,10688
25,2021-06-21,-56.0,121.83,0,478139,10693
26,2021-06-22,-15.0,130.93,0,478464,10699
27,2021-06-23,26.0,131.49,0,478946,10709
28,2021-06-24,-2.0,140.64,0,479311,10717
29,2021-06-25,25.0,161.52,0,479521,10723
30,2021-06-26,40.0,155.41,0,479521,10723
31,2021-06-27,56.0,110.48,0,479521,10723
32,2021-06-28,7.0,125.73,0,480463,10728
33,2021-06-29,-10.0,132.37,0,480876,10732
34,2021-06-30,31.0,134.94,0,481467,10738
35,2021-07-01,35.0,145.46,0,482035,10748
36,2021-07-02,37.0,161.14,0,482560,10757
37,2021-07-03,30.0,137.39,0,482560,10757
38,2021-07-04,59.0,104.93,0,482560,10757
39,2021-07-05,-32.0,112.0,0,482560,10757
40,2021-07-06,12.0,129.02,0,484577,10763
41,2021-07-07,26.0,130.28,0,485803,10765
42,2021-07-08,0.0,137.06,0,486589,10771
43,2021-07-09,36.0,154.73,0,487558,10781
44,2021-07-10,45.0,144.48,0,487558,10781
45,2021-07-11,46.0,107.07,0,487558,10781
46,2021-07-12,-16.0,124.84,0,489951,10789
47,2021-07-13,5.0,130.18,0,490904,10798
48,2021-07-14,26.0,134.62,0,492840,10808
49,2021-07-15,9.0,139.28,0,494340,10821
50,2021-07-16,35.0,159.35,0,495945,10828
51,2021-07-17,39.0,149.0,0,495945,10828
52,2021-07-18,80.0,111.42,0,495945,10828
53,2021-07-19,-5.0,124.69,0,499932,10841
54,2021-07-20,1.0,124.63,0,501494,10861
55,2021-07-21,13.0,130.6,0,506882,10874
56,2021-07-22,12.0,137.67,0,509716,10889
57,2021-07-23,37.0,154.52,0,512843,10900
58,2021-07-24,28.0,143.62,0,512843,10900
59,2021-07-25,50.0,107.14,0,512843,10900
60,2021-07-26,-2.0,125.28,0,520435,10914
61,2021-07-27,-15.0,125.56,0,527253,10934
62,2021-07-28,11.0,128.08,0,531952,10948
63,2021-07-29,-1.0,134.73,0,536366,10968
64,2021-07-30,33.0,151.46,0,541679,10999
65,2021-07-31,28.0,140.79,0,541679,10999
66,2021-08-01,44.0,103.26,0,541679,10999
67,2021-08-02,-16.0,116.0,0,552787,11026
68,2021-08-03,9.0,119.09,0,557540,11085
69,2021-08-04,18.0,124.32,0,562319,11129
70,2021-08-05,-1.0,123.81,0,567787,11162
71,2021-08-06,31.0,143.58,0,573903,11210
72,2021-08-07,25.0,133.92,0,573903,11210
