,date,mobility_sum,apple_mobility,distance,cases,deaths
0,2021-05-27,58.0,151.16,1,706272,17850
1,2021-05-28,-11.0,163.28,1,706559,17854
2,2021-05-29,-59.0,136.31,1,706783,17868
3,2021-05-30,-100.0,114.1,1,706945,17872
4,2021-05-31,-32.0,113.51,1,706945,17872
5,2021-06-01,44.0,138.76,1,707131,17883
6,2021-06-02,40.0,144.27,1,707265,17886
7,2021-06-03,20.0,146.68,1,707523,17893
8,2021-06-04,0.0,168.42,1,707723,17903
9,2021-06-05,134.0,169.21,1,707940,17907
10,2021-06-06,71.0,140.63,1,708083,17911
11,2021-06-07,48.0,144.54,1,708195,17915
12,2021-06-08,-9.0,142.63,1,708316,17917
13,2021-06-09,34.0,150.94,1,708459,17922
14,2021-06-10,70.0,160.95,1,708579,17929
15,2021-06-11,19.0,179.47,1,708710,17937
16,2021-06-12,110.0,169.64,1,708836,17939
17,2021-06-13,93.0,143.68,1,708875,17939
18,2021-06-14,-36.0,136.64,1,708933,17947
19,2021-06-15,29.0,147.02,1,709012,17949
20,2021-06-16,54.0,157.53,1,709080,17953
21,2021-06-17,71.0,165.94,1,709187,17957
22,2021-06-18,41.0,189.72,1,709263,17960
23,2021-06-19,126.0,170.1,1,709354,17966
24,2021-06-20,83.0,135.5,1,709395,17971
25,2021-06-21,50.0,153.35,1,709443,17976
26,2021-06-22,-29.0,152.34,1,709476,17977
27,2021-06-23,55.0,165.52,1,709544,17982
28,2021-06-24,64.0,170.68,1,709622,17986
29,2021-06-25,1.0,185.52,1,709682,17987
30,2021-06-26,101.0,176.95,1,709738,17989
31,2021-06-27,70.0,147.02,1,709769,17990
32,2021-06-28,41.0,156.33,1,709810,17992
33,2021-06-29,4.0,161.24,1,709873,17993
34,2021-06-30,0.0,162.41,1,709966,17994
35,2021-07-01,13.0,166.83,1,710049,17997
36,2021-07-02,-51.0,172.6,1,710138,17998
37,2021-07-03,-18.0,145.49,1,710138,17998
38,2021-07-04,-23.0,120.15,1,710138,17998
39,2021-07-05,80.0,136.99,1,710138,17998
40,2021-07-06,-5.0,153.67,1,710428,18005
41,2021-07-07,20.0,160.28,1,710519,18008
42,2021-07-08,-5.0,163.4,1,710629,18011
43,2021-07-09,-56.0,162.22,1,710830,18011
44,2021-07-10,104.0,177.72,1,710830,18011
45,2021-07-11,32.0,140.33,1,710830,18011
46,2021-07-12,-28.0,145.24,1,711162,18012
47,2021-07-13,-1.0,158.93,1,711446,18012
48,2021-07-14,15.0,164.76,1,711676,18013
49,2021-07-15,63.0,180.61,1,711943,18017
50,2021-07-16,4.0,194.07,1,712272,18020
51,2021-07-17,56.0,174.09,1,712272,18020
52,2021-07-18,-12.0,135.19,1,712272,18020
53,2021-07-19,13.0,155.78,1,713037,18024
54,2021-07-20,43.0,164.82,1,713489,18033
55,2021-07-21,25.0,162.39,1,714014,18035
56,2021-07-22,70.0,180.97,1,714556,18041
57,2021-07-23,29.0,195.39,1,715180,18046
58,2021-07-24,137.0,188.52,1,715180,18046
59,2021-07-25,-1.0,141.7,1,715180,18046
60,2021-07-26,62.0,157.78,1,716452,18053
61,2021-07-27,17.0,162.02,1,717284,18065
62,2021-07-28,26.0,166.81,1,717944,18071
63,2021-07-29,-4.0,167.97,1,718849,18079
64,2021-07-30,28.0,190.17,1,719780,18082
65,2021-07-31,136.0,180.77,1,719780,18082
66,2021-08-01,73.0,144.06,1,719780,18082
67,2021-08-02,58.0,154.9,1,721885,18084
68,2021-08-03,43.0,160.12,1,722986,18086
69,2021-08-04,25.0,163.12,1,724018,18091
70,2021-08-05,-7.0,155.99,1,725189,18093
71,2021-08-06,27.0,193.93,1,726395,18095
72,2021-08-07,104.0,177.93,1,726395,18095
73,2021-08-08,60.0,145.26,1,726395,18095
74,2021-08-09,29.0,152.44,1,729047,18098
75,2021-08-10,19.0,158.54,1,730381,18112
76,2021-08-11,30.0,164.53,1,731821,18121
77,2021-08-12,18.0,173.49,1,733188,18131
78,2021-08-13,3.0,187.73,1,734486,18142
79,2021-08-14,93.0,174.26,1,734486,18142
80,2021-08-15,110.0,152.61,1,734486,18142
81,2021-08-16,47.0,152.85,1,737579,18148
82,2021-08-17,30.0,157.46,1,739047,18154
83,2021-08-18,24.0,161.95,1,740626,18165
84,2021-08-19,-40.0,157.73,1,742202,18169
85,2021-08-20,8.0,183.73,1,743735,18175
86,2021-08-21,126.0,177.81,1,743735,18175
87,2021-08-22,-163.0,89.31,1,743735,18175
88,2021-08-23,-49.0,141.07,1,747153,18179
89,2021-08-24,34.0,165.04,1,748753,18195
90,2021-08-25,26.0,171.02,1,750248,18199
91,2021-08-26,37.0,175.99,1,752139,18212
92,2021-08-27,4.0,194.66,1,753795,18219
93,2021-08-28,94.0,182.25,1,753795,18219
94,2021-08-29,48.0,146.35,1,753795,18219
95,2021-08-30,28.0,155.3,1,758094,18229
96,2021-08-31,35.0,165.07,1,759869,18246
97,2021-09-01,-40.0,165.26,1,761906,18257
98,2021-09-02,33.0,166.32,1,763673,18272
99,2021-09-03,25.0,198.48,1,765584,18286
100,2021-09-04,104.0,176.1,1,765584,18286
101,2021-09-05,-5.0,140.41,1,765584,18286
102,2021-09-06,62.0,138.19,1,765584,18286
103,2021-09-07,35.0,157.85,1,771267,18298
104,2021-09-08,26.0,160.38,1,772742,18314
105,2021-09-09,-42.0,156.21,1,775149,18332
106,2021-09-10,12.0,189.84,1,777022,18350
107,2021-09-11,123.0,180.11,1,777022,18350
108,2021-09-12,49.0,145.21,1,777022,18350
109,2021-09-13,32.0,147.97,1,782107,18369
110,2021-09-14,18.0,152.66,1,783750,18393
111,2021-09-15,10.0,156.75,1,786627,18408
112,2021-09-16,1.0,157.15,1,788775,18424
113,2021-09-17,-10.0,186.4,1,790953,18445
114,2021-09-18,114.0,187.68,1,790953,18445
115,2021-09-19,69.0,144.79,1,790953,18445
116,2021-09-20,33.0,145.87,1,795543,18455
117,2021-09-21,13.0,152.87,1,796925,18480
118,2021-09-22,-31.0,155.91,1,798905,18504
119,2021-09-23,13.0,162.93,1,800909,18527
120,2021-09-24,-42.0,187.4,1,802829,18541
121,2021-09-25,117.0,193.53,1,802829,18541
122,2021-09-26,65.0,152.08,1,802829,18541
123,2021-09-27,25.0,145.01,1,807182,18555
124,2021-09-28,-46.0,142.69,1,808673,18577
125,2021-09-29,16.0,157.62,1,810319,18600
126,2021-09-30,21.0,162.65,1,811951,18627
127,2021-10-01,19.0,196.74,1,813599,18647
128,2021-10-02,115.0,196.88,1,813599,18647
129,2021-10-03,28.0,150.8,1,813599,18647
130,2021-10-04,-50.0,135.41,1,816950,18659
131,2021-10-05,-13.0,149.65,1,818290,18680
132,2021-10-06,18.0,156.81,1,819939,18707
133,2021-10-07,37.0,165.97,1,821661,18729
134,2021-10-08,20.0,208.64,1,823485,18746
135,2021-10-09,83.0,193.1,1,823485,18746
136,2021-10-10,29.0,151.39,1,823485,18746
137,2021-10-11,32.0,160.34,1,823485,18746
138,2021-10-12,23.0,155.68,1,828110,18783
139,2021-10-13,20.0,158.66,1,829873,18802
140,2021-10-14,33.0,164.56,1,831662,18816
141,2021-10-15,9.0,193.3,1,833311,18828
142,2021-10-16,120.0,197.71,1,833311,18828
143,2021-10-17,68.0,156.12,1,833311,18828
144,2021-10-18,4.0,146.7,1,836302,18838
145,2021-10-19,-2.0,152.89,1,838347,18864
146,2021-10-20,12.0,155.08,1,839817,18875
147,2021-10-21,23.0,161.64,1,841198,18896
148,2021-10-22,8.0,194.47,1,842652,18911
149,2021-10-23,95.0,200.37,1,842652,18911
150,2021-10-24,30.0,150.62,1,842652,18911
151,2021-10-25,-51.0,137.08,1,846044,18931
152,2021-10-26,-76.0,135.26,1,847512,18956
153,2021-10-27,-59.0,136.92,1,848947,18970
154,2021-10-28,-1.0,160.69,1,850531,18985
155,2021-10-29,-24.0,186.1,1,851922,18996
156,2021-10-30,-50.0,170.62,1,851922,18996
157,2021-10-31,11.0,132.78,1,851922,18996
158,2021-11-01,3.0,138.2,1,855230,19003
159,2021-11-02,-9.0,143.06,1,856494,19031
160,2021-11-03,-16.0,143.04,1,857959,19046
161,2021-11-04,-11.0,148.44,1,859713,19069
162,2021-11-05,-29.0,173.53,1,861480,19087
163,2021-11-06,52.0,163.45,1,861480,19087
164,2021-11-07,-5.0,123.51,1,861480,19087
165,2021-11-08,-10.0,127.25,1,865806,19093
166,2021-11-09,-9.0,139.8,1,867345,19117
167,2021-11-10,-17.0,152.29,1,869293,19138
168,2021-11-11,-14.0,154.89,1,869293,19138
169,2021-11-12,-87.0,168.91,1,873281,19159
170,2021-11-13,14.0,172.23,1,873281,19159
171,2021-11-14,-28.0,127.96,1,873281,19159
172,2021-11-15,-31.0,135.03,1,879127,19189
173,2021-11-16,-40.0,143.54,1,881310,19214
174,2021-11-17,-37.0,145.72,1,884299,19235
175,2021-11-18,2.0,157.17,1,887889,19244
176,2021-11-19,-45.0,179.13,1,890733,19268
177,2021-11-20,13.0,170.66,1,890733,19268
178,2021-11-21,-32.0,123.39,1,890733,19268
179,2021-11-22,-22.0,142.44,1,897874,19284
180,2021-11-23,14.0,168.9,1,900985,19309
181,2021-11-24,57.0,175.92,1,904407,19329
182,2021-11-25,-239.0,89.32,1,904407,19329
183,2021-11-26,-129.0,142.87,1,909705,19351
184,2021-11-27,-24.0,148.33,1,909705,19351
185,2021-11-28,-39.0,126.74,1,909705,19351
186,2021-11-29,-40.0,131.88,1,915495,19373
187,2021-11-30,-49.0,139.5,1,919097,19404
188,2021-12-01,-37.0,142.58,1,924400,19430
189,2021-12-02,-41.0,141.26,1,930079,19462
190,2021-12-03,-48.0,169.11,1,935844,19489
191,2021-12-04,-14.0,159.05,1,935844,19489
192,2021-12-05,-48.0,119.34,1,935844,19489
