,date,mobility_sum,apple_mobility,distance,cases,deaths
0,2021-05-27,322.0,155.56,0,459308,9581
1,2021-05-28,268.0,167.02,0,459555,9592
2,2021-05-29,280.0,147.65,0,459740,9599
3,2021-05-30,384.0,122.91,0,459989,9607
4,2021-05-31,413.0,130.71,0,460106,9614
5,2021-06-01,280.0,139.9,0,460207,9616
6,2021-06-02,257.0,142.36,0,460272,9622
7,2021-06-03,220.0,143.12,0,460406,9626
8,2021-06-04,308.0,174.51,0,460552,9630
9,2021-06-05,537.0,181.43,0,460684,9639
10,2021-06-06,465.0,142.18,0,460789,9645
11,2021-06-07,327.0,139.67,0,460873,9649
12,2021-06-08,323.0,143.76,0,460952,9653
13,2021-06-09,287.0,144.79,0,461079,9658
14,2021-06-10,286.0,151.05,0,461201,9667
15,2021-06-11,200.0,175.44,0,461315,9677
16,2021-06-12,531.0,180.89,0,461402,9683
17,2021-06-13,405.0,139.61,0,461485,9686
18,2021-06-14,381.0,144.04,0,461545,9688
19,2021-06-15,371.0,148.97,0,461609,9689
20,2021-06-16,453.0,154.52,0,461687,9695
21,2021-06-17,420.0,162.45,0,461766,9698
22,2021-06-18,476.0,194.19,0,461852,9703
23,2021-06-19,637.0,178.91,0,461914,9707
24,2021-06-20,603.0,141.1,0,461956,9707
25,2021-06-21,420.0,145.9,0,461996,9707
26,2021-06-22,391.0,141.52,0,462045,9715
27,2021-06-23,441.0,158.06,0,462104,9722
28,2021-06-24,458.0,162.04,0,462170,9729
29,2021-06-25,357.0,186.85,0,462234,9730
30,2021-06-26,477.0,184.21,0,462295,9734
31,2021-06-27,608.0,146.96,0,462361,9737
32,2021-06-28,478.0,150.54,0,462398,9739
33,2021-06-29,390.0,153.83,0,462434,9740
34,2021-06-30,443.0,156.92,0,462496,9741
35,2021-07-01,404.0,162.73,0,462571,9744
36,2021-07-02,339.0,182.37,0,462656,9746
37,2021-07-03,571.0,169.52,0,462752,9749
38,2021-07-04,881.0,140.65,0,462813,9749
39,2021-07-05,693.0,138.8,0,462851,9751
40,2021-07-06,485.0,149.78,0,462898,9754
41,2021-07-07,507.0,153.41,0,462953,9755
42,2021-07-08,454.0,153.6,0,463052,9758
43,2021-07-09,441.0,183.41,0,463197,9761
44,2021-07-10,561.0,185.33,0,463324,9762
45,2021-07-11,594.0,141.38,0,463403,9762
46,2021-07-12,475.0,148.09,0,463482,9761
47,2021-07-13,465.0,152.54,0,463600,9765
48,2021-07-14,525.0,155.26,0,463704,9769
49,2021-07-15,448.0,163.24,0,463882,9773
50,2021-07-16,459.0,188.4,0,464065,9778
51,2021-07-17,649.0,180.28,0,464248,9780
52,2021-07-18,642.0,145.94,0,464414,9781
53,2021-07-19,506.0,148.55,0,464553,9782
54,2021-07-20,473.0,152.8,0,464710,9788
55,2021-07-21,490.0,153.27,0,464954,9792
56,2021-07-22,500.0,160.61,0,465257,9798
57,2021-07-23,490.0,183.77,0,465545,9801
58,2021-07-24,552.0,181.54,0,465862,9806
59,2021-07-25,608.0,142.87,0,466168,9807
60,2021-07-26,462.0,147.01,0,466424,9808
61,2021-07-27,466.0,149.51,0,466733,9810
62,2021-07-28,540.0,151.38,0,467149,9813
63,2021-07-29,510.0,155.45,0,467654,9818
64,2021-07-30,469.0,181.98,0,468180,9818
65,2021-07-31,560.0,179.52,0,468767,9825
66,2021-08-01,592.0,132.19,0,469314,9828
67,2021-08-02,503.0,144.53,0,469762,9829
68,2021-08-03,509.0,145.17,0,470130,9835
69,2021-08-04,522.0,149.76,0,470825,9840
70,2021-08-05,462.0,150.55,0,471554,9842
71,2021-08-06,494.0,178.48,0,472444,9846
72,2021-08-07,594.0,170.02,0,473336,9849
73,2021-08-08,612.0,142.98,0,474189,9857
74,2021-08-09,487.0,144.24,0,474775,9861
75,2021-08-10,482.0,144.92,0,475405,9869
76,2021-08-11,466.0,148.33,0,476291,9870
