,date,mobility_sum,apple_mobility,distance,cases,deaths
0,2021-05-27,215.0,194.76,2,67416,825
1,2021-05-28,221.0,229.41,2,67544,825
2,2021-05-29,344.0,220.49,2,67651,825
3,2021-05-30,291.0,189.59,2,67738,825
4,2021-05-31,155.0,187.48,2,67780,825
5,2021-06-01,172.0,187.28,2,67819,825
6,2021-06-02,261.0,191.59,2,67880,827
7,2021-06-03,163.0,195.51,2,67986,837
8,2021-06-04,324.0,225.54,2,68057,838
9,2021-06-05,266.0,239.47,2,68154,839
10,2021-06-06,528.0,213.87,2,68232,839
11,2021-06-07,203.0,205.17,2,68262,839
12,2021-06-08,187.0,201.62,2,68331,840
13,2021-06-09,280.0,207.73,2,68384,843
14,2021-06-10,203.0,213.9,2,68449,843
15,2021-06-11,321.0,238.57,2,68487,844
16,2021-06-12,298.0,252.56,2,68540,845
17,2021-06-13,501.0,222.81,2,68590,845
18,2021-06-14,264.0,207.44,2,68603,845
19,2021-06-15,154.0,210.61,2,68632,848
20,2021-06-16,196.0,224.62,2,68683,853
21,2021-06-17,234.0,234.96,2,68717,854
22,2021-06-18,255.0,267.51,2,68753,854
23,2021-06-19,310.0,264.04,2,68794,854
24,2021-06-20,597.0,228.64,2,68826,854
25,2021-06-21,256.0,234.58,2,68844,854
26,2021-06-22,183.0,229.11,2,68864,854
27,2021-06-23,229.0,243.01,2,68877,856
28,2021-06-24,274.0,255.86,2,68889,856
29,2021-06-25,204.0,281.65,2,68924,858
30,2021-06-26,346.0,282.65,2,68963,858
31,2021-06-27,475.0,257.01,2,68976,858
32,2021-06-28,277.0,240.94,2,68989,858
33,2021-06-29,230.0,240.48,2,69021,858
34,2021-06-30,201.0,240.78,2,69033,858
35,2021-07-01,288.0,249.5,2,69054,859
36,2021-07-02,261.0,268.33,2,69069,860
37,2021-07-03,351.0,262.57,2,69099,860
38,2021-07-04,502.0,220.13,2,69118,860
39,2021-07-05,681.0,268.83,2,69118,860
40,2021-07-06,332.0,265.67,2,69118,860
41,2021-07-07,286.0,261.75,2,69156,861
42,2021-07-08,260.0,260.49,2,69192,861
43,2021-07-09,268.0,263.44,2,69201,862
44,2021-07-10,415.0,302.56,2,69219,862
45,2021-07-11,617.0,259.79,2,69219,862
46,2021-07-12,294.0,251.81,2,69219,862
47,2021-07-13,282.0,253.37,2,69284,862
48,2021-07-14,221.0,254.29,2,69324,867
49,2021-07-15,415.0,271.18,2,69373,877
50,2021-07-16,267.0,303.47,2,69418,878
51,2021-07-17,429.0,303.2,2,69474,882
52,2021-07-18,423.0,255.56,2,69474,882
53,2021-07-19,287.0,256.11,2,69474,882
54,2021-07-20,273.0,255.61,2,69627,882
55,2021-07-21,218.0,261.2,2,69674,887
56,2021-07-22,327.0,277.13,2,69780,891
57,2021-07-23,292.0,304.52,2,69834,891
58,2021-07-24,465.0,317.97,2,69904,897
59,2021-07-25,467.0,278.25,2,69904,897
60,2021-07-26,311.0,263.69,2,69904,897
61,2021-07-27,293.0,260.87,2,70076,898
62,2021-07-28,288.0,268.85,2,70141,899
63,2021-07-29,277.0,267.92,2,70261,899
64,2021-07-30,242.0,300.97,2,70372,899
65,2021-07-31,432.0,314.45,2,70463,900
66,2021-08-01,660.0,281.83,2,70463,900
67,2021-08-02,281.0,260.04,2,70463,900
68,2021-08-03,343.0,261.61,2,70718,900
69,2021-08-04,285.0,266.63,2,70844,900
70,2021-08-05,261.0,266.74,2,70996,900
71,2021-08-06,337.0,306.76,2,71141,900
72,2021-08-07,474.0,311.91,2,71306,901
73,2021-08-08,527.0,279.25,2,71306,901
74,2021-08-09,346.0,265.58,2,71305,901
