,date,mobility_sum,apple_mobility,distance,cases,deaths
0,2021-05-27,155.0,162.52,2,988892,20287
1,2021-05-28,19.0,174.08,2,989635,20310
2,2021-05-29,238.0,168.77,2,990177,20361
3,2021-05-30,282.0,139.84,2,990197,20361
4,2021-05-31,143.0,130.16,2,990199,20361
5,2021-06-01,174.0,153.83,2,991174,20374
6,2021-06-02,68.0,153.15,2,991694,20408
7,2021-06-03,217.0,166.23,2,992221,20472
8,2021-06-04,162.0,193.55,2,992781,20496
9,2021-06-05,323.0,191.54,2,993178,20573
10,2021-06-06,317.0,148.18,2,993191,20573
11,2021-06-07,124.0,151.97,2,993640,20586
12,2021-06-08,93.0,157.94,2,994006,20643
13,2021-06-09,172.0,166.28,2,994301,20652
14,2021-06-10,201.0,174.77,2,994668,20698
15,2021-06-11,143.0,198.41,2,995002,20706
16,2021-06-12,298.0,191.65,2,995217,20764
17,2021-06-13,318.0,154.66,2,995223,20764
18,2021-06-14,131.0,160.87,2,995837,20773
19,2021-06-15,166.0,169.05,2,996055,20803
20,2021-06-16,183.0,172.42,2,996275,20808
21,2021-06-17,216.0,182.0,2,996454,20835
22,2021-06-18,98.0,196.74,2,996624,20848
23,2021-06-19,242.0,189.6,2,996624,20848
24,2021-06-20,265.0,140.89,2,996624,20848
25,2021-06-21,101.0,160.77,2,996972,20884
26,2021-06-22,118.0,166.26,2,997133,20897
27,2021-06-23,150.0,170.44,2,997361,20900
28,2021-06-24,179.0,177.61,2,997561,20931
29,2021-06-25,11.0,192.65,2,997692,20945
30,2021-06-26,148.0,187.34,2,997692,20945
31,2021-06-27,271.0,154.59,2,997692,20945
32,2021-06-28,104.0,168.04,2,998068,20951
33,2021-06-29,59.0,167.0,2,998305,20982
34,2021-06-30,136.0,177.25,2,998606,20984
35,2021-07-01,228.0,186.15,2,998847,20998
36,2021-07-02,162.0,203.86,2,998973,20995
37,2021-07-03,276.0,179.6,2,998973,20995
38,2021-07-04,222.0,145.72,2,998973,20995
39,2021-07-05,150.0,165.7,2,998975,20995
40,2021-07-06,112.0,172.92,2,999498,21017
41,2021-07-07,119.0,177.36,2,999502,21017
42,2021-07-08,139.0,183.85,2,999526,21017
43,2021-07-09,164.0,211.9,2,1000327,21045
44,2021-07-10,345.0,200.04,2,1000336,21045
45,2021-07-11,78.0,147.81,2,1000337,21045
46,2021-07-12,95.0,167.64,2,1000363,21045
47,2021-07-13,75.0,171.28,2,1001061,21077
48,2021-07-14,197.0,182.3,2,1001067,21077
49,2021-07-15,188.0,186.41,2,1001120,21077
50,2021-07-16,18.0,201.19,2,1002006,21095
51,2021-07-17,291.0,201.96,2,1002007,21095
52,2021-07-18,315.0,164.15,2,1002007,21095
53,2021-07-19,161.0,175.11,2,1002059,21096
54,2021-07-20,142.0,176.97,2,1003172,21110
55,2021-07-21,207.0,181.5,2,1003179,21110
56,2021-07-22,213.0,187.32,2,1003264,21110
57,2021-07-23,89.0,201.85,2,1004906,21131
58,2021-07-24,208.0,190.83,2,1004909,21131
59,2021-07-25,289.0,163.87,2,1004914,21131
60,2021-07-26,147.0,171.7,2,1004995,21132
61,2021-07-27,135.0,172.9,2,1006941,21150
62,2021-07-28,170.0,176.88,2,1006959,21150
63,2021-07-29,172.0,182.07,2,1007072,21152
64,2021-07-30,155.0,205.98,2,1009597,21173
65,2021-07-31,302.0,195.65,2,1009611,21173
66,2021-08-01,247.0,158.22,2,1009618,21173
67,2021-08-02,148.0,168.42,2,1009779,21174
68,2021-08-03,159.0,172.82,2,1012554,21202
69,2021-08-04,177.0,178.28,2,1012567,21202
70,2021-08-05,200.0,178.96,2,1012734,21203
71,2021-08-06,149.0,209.02,2,1016996,21210
72,2021-08-07,301.0,192.61,2,1016996,21210
73,2021-08-08,270.0,157.04,2,1017048,21210
74,2021-08-09,86.0,164.29,2,1020140,21220
75,2021-08-10,123.0,171.07,2,1020169,21221
76,2021-08-11,123.0,175.4,2,1023347,21243
77,2021-08-12,166.0,195.85,2,1023601,21245
78,2021-08-13,145.0,213.69,2,1027075,21277
79,2021-08-14,329.0,199.39,2,1027075,21277
80,2021-08-15,314.0,162.27,2,1027107,21277
81,2021-08-16,105.0,168.83,2,1030884,21296
82,2021-08-17,145.0,173.56,2,1031023,21299
83,2021-08-18,170.0,178.65,2,1034201,21344
84,2021-08-19,196.0,187.76,2,1034375,21344
85,2021-08-20,138.0,210.07,2,1038980,21384
86,2021-08-21,275.0,197.44,2,1038980,21384
87,2021-08-22,234.0,157.19,2,1039017,21384
88,2021-08-23,134.0,167.78,2,1043294,21396
89,2021-08-24,92.0,168.72,2,1043395,21397
90,2021-08-25,137.0,176.34,2,1048397,21436
91,2021-08-26,140.0,186.51,2,1048667,21436
92,2021-08-27,69.0,212.43,2,1053009,21509
93,2021-08-28,236.0,202.06,2,1053009,21509
94,2021-08-29,255.0,153.76,2,1053073,21509
95,2021-08-30,102.0,167.89,2,1058585,21534
96,2021-08-31,98.0,168.84,2,1058765,21535
97,2021-09-01,140.0,172.47,2,1064001,21603
98,2021-09-02,172.0,184.59,2,1064115,21603
99,2021-09-03,121.0,204.63,2,1069220,21657
100,2021-09-04,213.0,176.14,2,1069220,21657
101,2021-09-05,252.0,151.69,2,1069258,21657
102,2021-09-06,128.0,140.77,2,1069258,21657
103,2021-09-07,55.0,157.45,2,1076039,21691
104,2021-09-08,125.0,169.02,2,1079294,21745
105,2021-09-09,128.0,174.43,2,1079620,21745
106,2021-09-10,106.0,206.15,2,1086381,21807
107,2021-09-11,229.0,199.24,2,1086381,21807
108,2021-09-12,264.0,143.92,2,1086381,21807
109,2021-09-13,66.0,156.26,2,1093203,21840
110,2021-09-14,72.0,162.58,2,1093419,21841
111,2021-09-15,135.0,167.99,2,1100951,21905
112,2021-09-16,143.0,176.52,2,1101209,21905
113,2021-09-17,111.0,206.84,2,1107687,21982
114,2021-09-18,264.0,198.31,2,1107687,21982
115,2021-09-19,317.0,148.18,2,1107765,21982
116,2021-09-20,72.0,155.78,2,1115833,22020
117,2021-09-21,26.0,154.77,2,1115997,22020
118,2021-09-22,0.0,155.06,2,1123481,22110
119,2021-09-23,38.0,166.42,2,1123783,22112
120,2021-09-24,99.0,207.78,2,1130659,22196
121,2021-09-25,146.0,193.88,2,1130659,22196
122,2021-09-26,256.0,147.36,2,1130731,22196
123,2021-09-27,91.0,157.21,2,1139295,22227
124,2021-09-28,81.0,160.83,2,1139570,22229
125,2021-09-29,107.0,163.77,2,1147980,22336
126,2021-09-30,137.0,174.03,2,1148303,22337
127,2021-10-01,103.0,205.32,2,1157226,22421
128,2021-10-02,187.0,195.89,2,1157226,22421
129,2021-10-03,153.0,133.72,2,1157380,22421
130,2021-10-04,53.0,150.74,2,1167097,22486
131,2021-10-05,57.0,157.72,2,1167278,22486
132,2021-10-06,74.0,159.83,2,1176689,22590
133,2021-10-07,84.0,169.65,2,1176689,22590
134,2021-10-08,52.0,198.84,2,1186800,22683
135,2021-10-09,261.0,199.76,2,1186800,22683
136,2021-10-10,245.0,143.41,2,1186800,22683
137,2021-10-11,94.0,155.19,2,1196593,22718
138,2021-10-12,55.0,156.03,2,1196593,22718
139,2021-10-13,102.0,162.47,2,1207442,22843
140,2021-10-14,98.0,170.85,2,1207442,22843
141,2021-10-15,29.0,200.55,2,1217412,22948
142,2021-10-16,160.0,200.0,2,1217412,22948
143,2021-10-17,226.0,148.99,2,1217412,22948
144,2021-10-18,78.0,153.63,2,1226740,22996
145,2021-10-19,86.0,158.73,2,1226740,22996
146,2021-10-20,94.0,160.48,2,1235506,23151
147,2021-10-21,67.0,164.66,2,1235506,23151
148,2021-10-22,52.0,199.37,2,1244670,23286
149,2021-10-23,146.0,194.95,2,1244670,23286
150,2021-10-24,124.0,135.84,2,1244670,23286
151,2021-10-25,-12.0,144.12,2,1253227,23342
152,2021-10-26,37.0,155.81,2,1253227,23342
153,2021-10-27,43.0,156.0,2,1263000,23502
154,2021-10-28,86.0,166.29,2,1263000,23502
155,2021-10-29,20.0,192.96,2,1272713,23638
156,2021-10-30,83.0,190.31,2,1272713,23638
157,2021-10-31,173.0,133.09,2,1272713,23638
158,2021-11-01,8.0,144.07,2,1283087,23706
159,2021-11-02,7.0,147.87,2,1283087,23706
160,2021-11-03,28.0,149.35,2,1295049,23855
161,2021-11-04,36.0,151.8,2,1295049,23855
162,2021-11-05,13.0,181.11,2,1307187,23951
163,2021-11-06,88.0,169.67,2,1307187,23951
164,2021-11-07,163.0,123.95,2,1307187,23951
165,2021-11-08,42.0,137.39,2,1317252,24003
166,2021-11-09,15.0,141.84,2,1317252,24003
167,2021-11-10,42.0,149.99,2,1326606,24193
168,2021-11-11,39.0,156.78,2,1326606,24193
169,2021-11-12,-5.0,180.64,2,1344352,24284
170,2021-11-13,47.0,170.48,2,1344352,24284
171,2021-11-14,47.0,116.72,2,1344352,24284
172,2021-11-15,-19.0,140.26,2,1367468,24384
173,2021-11-16,9.0,144.56,2,1367468,24384
174,2021-11-17,28.0,147.55,2,1385354,24659
175,2021-11-18,27.0,153.02,2,1385354,24659
176,2021-11-19,4.0,181.72,2,1405810,24814
177,2021-11-20,35.0,166.2,2,1405810,24814
178,2021-11-21,41.0,118.29,2,1405810,24814
179,2021-11-22,10.0,145.79,2,1424537,24900
180,2021-11-23,37.0,161.23,2,1424537,24900
181,2021-11-24,111.0,173.48,2,1444554,25213
182,2021-11-25,-217.0,94.84,2,1444554,25213
183,2021-11-26,-92.0,152.45,2,1444554,25213
184,2021-11-27,-25.0,154.34,2,1444554,25213
185,2021-11-28,9.0,117.25,2,1444554,25213
186,2021-11-29,-6.0,138.71,2,1472288,25369
187,2021-11-30,-20.0,146.03,2,1472288,25369
188,2021-12-01,15.0,144.31,2,1492148,25766
189,2021-12-02,27.0,143.0,2,1492148,25766
190,2021-12-03,-19.0,171.87,2,1514467,26077
191,2021-12-04,49.0,165.73,2,1514467,26077
192,2021-12-05,-28.0,114.67,2,1514467,26077
