,date,mobility_sum,apple_mobility,distance,cases,deaths
0,2021-05-27,8.0,138.53,2,600501,7496
1,2021-05-28,214.0,178.14,2,600860,7501
2,2021-05-29,160.0,150.54,2,601198,7511
3,2021-05-30,65.0,122.37,2,601477,7519
4,2021-05-31,184.0,130.5,2,601477,7519
5,2021-06-01,255.0,149.04,2,601610,7520
6,2021-06-02,273.0,152.87,2,601738,7520
7,2021-06-03,258.0,161.54,2,601974,7530
8,2021-06-04,267.0,188.71,2,602227,7538
9,2021-06-05,301.0,185.18,2,602521,7554
10,2021-06-06,344.0,150.58,2,602779,7558
11,2021-06-07,234.0,152.73,2,602973,7560
12,2021-06-08,218.0,159.11,2,603098,7562
13,2021-06-09,263.0,164.23,2,603237,7570
14,2021-06-10,232.0,172.02,2,603398,7577
15,2021-06-11,243.0,192.53,2,603559,7589
16,2021-06-12,382.0,193.02,2,603707,7596
17,2021-06-13,343.0,157.19,2,603853,7605
18,2021-06-14,286.0,161.62,2,603969,7610
19,2021-06-15,309.0,167.91,2,604059,7611
20,2021-06-16,333.0,170.13,2,604145,7616
21,2021-06-17,263.0,176.57,2,604277,7620
22,2021-06-18,285.0,203.03,2,604384,7624
23,2021-06-19,313.0,188.65,2,604499,7629
24,2021-06-20,53.0,137.26,2,604602,7638
25,2021-06-21,255.0,159.55,2,604701,7642
26,2021-06-22,306.0,164.74,2,604780,7643
27,2021-06-23,319.0,169.14,2,604851,7648
28,2021-06-24,260.0,176.82,2,604972,7654
29,2021-06-25,279.0,200.81,2,605064,7665
30,2021-06-26,172.0,183.15,2,605133,7671
31,2021-06-27,235.0,154.21,2,605230,7675
32,2021-06-28,190.0,154.63,2,605311,7680
33,2021-06-29,234.0,163.91,2,605390,7680
34,2021-06-30,346.0,172.07,2,605458,7687
35,2021-07-01,267.0,178.84,2,605541,7692
36,2021-07-02,273.0,187.31,2,605642,7698
37,2021-07-03,273.0,150.39,2,605753,7703
38,2021-07-04,218.0,127.8,2,605753,7703
39,2021-07-05,288.0,147.29,2,605753,7703
40,2021-07-06,94.0,150.33,2,605896,7708
41,2021-07-07,246.0,164.02,2,606127,7708
42,2021-07-08,280.0,173.85,2,606251,7710
43,2021-07-09,243.0,195.87,2,606390,7715
44,2021-07-10,226.0,184.97,2,606390,7715
45,2021-07-11,313.0,152.99,2,606390,7715
46,2021-07-12,289.0,162.26,2,606577,7717
47,2021-07-13,271.0,167.34,2,606963,7720
48,2021-07-14,127.0,160.86,2,607162,7723
49,2021-07-15,290.0,182.74,2,607371,7725
50,2021-07-16,265.0,203.57,2,607617,7728
