,date,mobility_sum,apple_mobility,distance,cases,deaths
0,2021-05-27,72.0,153.38,2,614040,9664
1,2021-05-28,183.0,195.35,2,614659,9672
2,2021-05-29,203.0,180.36,2,615075,9672
3,2021-05-30,445.0,147.73,2,615279,9674
4,2021-05-31,112.0,135.53,2,615408,9676
5,2021-06-01,24.0,150.12,2,615552,9676
6,2021-06-02,78.0,154.67,2,616056,9710
7,2021-06-03,154.0,168.93,2,616722,9718
8,2021-06-04,192.0,197.19,2,617349,9732
9,2021-06-05,210.0,186.87,2,617754,9737
10,2021-06-06,273.0,145.98,2,617768,9737
11,2021-06-07,119.0,152.03,2,618233,9739
12,2021-06-08,115.0,156.03,2,618901,9766
13,2021-06-09,120.0,159.66,2,619528,9780
14,2021-06-10,158.0,172.46,2,620200,9789
15,2021-06-11,167.0,194.54,2,620940,9802
16,2021-06-12,206.0,187.68,2,621385,9803
17,2021-06-13,324.0,149.33,2,621670,9803
18,2021-06-14,130.0,158.36,2,622197,9806
19,2021-06-15,151.0,162.11,2,622790,9825
20,2021-06-16,132.0,166.22,2,623594,9828
21,2021-06-17,163.0,174.16,2,624399,9833
22,2021-06-18,184.0,198.94,2,625417,9835
23,2021-06-19,228.0,185.49,2,625880,9846
24,2021-06-20,313.0,141.07,2,626206,9846
25,2021-06-21,100.0,155.24,2,626799,9850
26,2021-06-22,151.0,161.3,2,627617,9862
27,2021-06-23,108.0,165.39,2,628434,9870
28,2021-06-24,160.0,172.42,2,629625,9872
29,2021-06-25,189.0,199.81,2,630716,9885
30,2021-06-26,170.0,189.39,2,631292,9888
31,2021-06-27,238.0,153.46,2,631715,9888
32,2021-06-28,106.0,155.04,2,632504,9889
33,2021-06-29,104.0,158.02,2,633549,9928
34,2021-06-30,92.0,160.72,2,634733,9933
35,2021-07-01,142.0,176.6,2,636120,9938
36,2021-07-02,230.0,200.54,2,637390,9953
37,2021-07-03,291.0,172.21,2,637613,9962
38,2021-07-04,424.0,136.74,2,638583,9963
39,2021-07-05,118.0,148.93,2,639225,9963
40,2021-07-06,135.0,160.44,2,640488,9964
41,2021-07-07,118.0,165.76,2,642064,9993
42,2021-07-08,181.0,173.57,2,643666,10000
43,2021-07-09,177.0,194.9,2,646210,10009
44,2021-07-10,171.0,172.34,2,647348,10016
45,2021-07-11,289.0,141.82,2,648163,10016
46,2021-07-12,105.0,155.44,2,648835,10017
47,2021-07-13,134.0,157.56,2,651166,10068
48,2021-07-14,133.0,161.37,2,653318,10083
49,2021-07-15,156.0,168.43,2,656203,10095
50,2021-07-16,160.0,199.4,2,659027,10103
51,2021-07-17,184.0,191.24,2,661038,10111
52,2021-07-18,306.0,153.68,2,662027,10111
53,2021-07-19,130.0,159.61,2,663552,10116
54,2021-07-20,140.0,160.35,2,665981,10153
55,2021-07-21,137.0,162.72,2,668695,10164
56,2021-07-22,184.0,172.46,2,671940,10179
57,2021-07-23,204.0,196.68,2,674977,10193
58,2021-07-24,219.0,185.21,2,677560,10203
59,2021-07-25,301.0,144.13,2,678909,10203
60,2021-07-26,121.0,153.47,2,680646,10194
61,2021-07-27,122.0,155.82,2,683116,10251
62,2021-07-28,97.0,155.9,2,686177,10276
63,2021-07-29,150.0,164.54,2,689392,10283
64,2021-07-30,184.0,190.74,2,693384,10294
65,2021-07-31,190.0,172.9,2,695726,10310
66,2021-08-01,280.0,142.85,2,697481,10313
67,2021-08-02,109.0,149.85,2,699242,10320
68,2021-08-03,144.0,154.04,2,701784,10403
69,2021-08-04,110.0,156.28,2,706153,10432
70,2021-08-05,141.0,157.74,2,710194,10459
71,2021-08-06,172.0,187.88,2,713623,10481
72,2021-08-07,196.0,183.58,2,715882,10490
73,2021-08-08,258.0,140.27,2,717419,10491
74,2021-08-09,100.0,147.71,2,719236,10496
75,2021-08-10,100.0,147.82,2,721795,10625
76,2021-08-11,50.0,153.52,2,725729,10642
77,2021-08-12,127.0,159.0,2,729404,10661
78,2021-08-13,149.0,186.52,2,732545,10675
79,2021-08-14,184.0,178.8,2,735210,10693
80,2021-08-15,258.0,141.43,2,736739,10694
81,2021-08-16,81.0,148.04,2,738745,10697
82,2021-08-17,73.0,150.12,2,740846,10807
83,2021-08-18,65.0,155.9,2,744002,10819
84,2021-08-19,124.0,162.81,2,747448,10832
85,2021-08-20,114.0,187.16,2,750664,10855
86,2021-08-21,110.0,177.25,2,752688,10877
87,2021-08-22,172.0,137.23,2,754268,10880
88,2021-08-23,42.0,143.5,2,756277,10885
89,2021-08-24,39.0,143.55,2,758724,11042
90,2021-08-25,36.0,144.06,2,761494,11066
91,2021-08-26,66.0,149.79,2,764431,11081
92,2021-08-27,96.0,183.48,2,767331,11110
93,2021-08-28,121.0,174.05,2,769507,11123
94,2021-08-29,132.0,128.68,2,770568,11128
95,2021-08-30,45.0,136.63,2,773082,11138
96,2021-08-31,36.0,140.9,2,774864,11271
97,2021-09-01,39.0,142.78,2,777724,11306
