,date,mobility_sum,apple_mobility,distance,cases,deaths
0,2021-05-27,59.0,184.15,0,317276,7304
1,2021-05-28,74.0,215.32,0,317407,7310
2,2021-05-29,59.0,200.58,0,317407,7310
3,2021-05-30,38.0,152.36,0,317407,7310
4,2021-05-31,-49.0,145.47,0,317713,7316
5,2021-06-01,42.0,170.26,0,317755,7318
6,2021-06-02,36.0,161.76,0,317856,7322
7,2021-06-03,84.0,177.08,0,318048,7324
8,2021-06-04,40.0,209.5,0,318189,7325
9,2021-06-05,41.0,201.53,0,318189,7325
10,2021-06-06,-36.0,139.05,0,318189,7325
11,2021-06-07,-10.0,159.1,0,318521,7333
12,2021-06-08,35.0,160.33,0,318578,7343
13,2021-06-09,35.0,162.15,0,318685,7347
14,2021-06-10,-13.0,175.5,0,318879,7348
15,2021-06-11,39.0,211.35,0,319115,7353
16,2021-06-12,23.0,215.1,0,319115,7353
17,2021-06-13,24.0,153.2,0,319115,7353
18,2021-06-14,16.0,170.85,0,319381,7354
19,2021-06-15,48.0,170.61,0,319428,7361
20,2021-06-16,50.0,173.51,0,319511,7368
21,2021-06-17,43.0,184.91,0,319704,7369
22,2021-06-18,33.0,212.11,0,319948,7371
23,2021-06-19,44.0,190.49,0,319948,7371
24,2021-06-20,-2.0,139.05,0,319948,7371
25,2021-06-21,-21.0,162.1,0,320107,7378
26,2021-06-22,28.0,164.14,0,320174,7390
27,2021-06-23,34.0,170.5,0,320292,7390
28,2021-06-24,31.0,183.57,0,320594,7391
29,2021-06-25,6.0,219.9,0,320837,7395
30,2021-06-26,19.0,228.53,0,320837,7395
31,2021-06-27,38.0,161.1,0,320837,7395
32,2021-06-28,-21.0,167.94,0,321138,7401
33,2021-06-29,-1.0,164.19,0,321408,7412
34,2021-06-30,38.0,169.5,0,321764,7412
35,2021-07-01,55.0,184.55,0,321944,7415
36,2021-07-02,16.0,215.82,0,322186,7419
37,2021-07-03,11.0,197.77,0,322186,7419
38,2021-07-04,-13.0,139.92,0,322186,7419
39,2021-07-05,-51.0,159.23,0,322186,7419
40,2021-07-06,26.0,166.18,0,322835,7425
41,2021-07-07,15.0,163.98,0,323214,7436
42,2021-07-08,29.0,180.5,0,323641,7437
43,2021-07-09,23.0,206.49,0,324057,7439
44,2021-07-10,11.0,206.4,0,324057,7439
45,2021-07-11,-12.0,144.31,0,324057,7439
46,2021-07-12,-29.0,161.48,0,324853,7441
47,2021-07-13,9.0,164.2,0,325072,7451
48,2021-07-14,54.0,170.14,0,325713,7456
49,2021-07-15,62.0,180.16,0,326270,7460
50,2021-07-16,-16.0,207.69,0,326804,7465
51,2021-07-17,15.0,205.0,0,326804,7465
52,2021-07-18,-25.0,147.47,0,326804,7465
53,2021-07-19,-31.0,161.09,0,329130,7468
54,2021-07-20,7.0,158.15,0,329703,7477
55,2021-07-21,35.0,164.91,0,330664,7485
56,2021-07-22,26.0,177.43,0,331863,7494
57,2021-07-23,3.0,203.78,0,333180,7502
58,2021-07-24,9.0,206.16,0,333180,7502
59,2021-07-25,-18.0,145.89,0,333180,7502
60,2021-07-26,-20.0,163.71,0,336788,7508
61,2021-07-27,-1.0,161.82,0,338079,7523
62,2021-07-28,28.0,163.49,0,339954,7529
63,2021-07-29,33.0,173.96,0,341862,7533
64,2021-07-30,0.0,209.06,0,343505,7543
65,2021-07-31,4.0,206.46,0,343505,7543
66,2021-08-01,-5.0,145.86,0,343505,7543
67,2021-08-02,-14.0,155.55,0,348496,7556
68,2021-08-03,43.0,160.41,0,350070,7590
69,2021-08-04,58.0,161.07,0,352891,7597
70,2021-08-05,48.0,161.29,0,356055,7613
71,2021-08-06,4.0,189.32,0,358149,7621
72,2021-08-07,7.0,194.24,0,358149,7621
73,2021-08-08,-7.0,138.82,0,358149,7621
74,2021-08-09,-25.0,151.82,0,365061,7649
75,2021-08-10,20.0,149.69,0,368549,7685
76,2021-08-11,-22.0,149.7,0,371712,7710
77,2021-08-12,-33.0,158.97,0,376124,7730
78,2021-08-13,3.0,190.96,0,381147,7761
79,2021-08-14,-17.0,189.84,0,381147,7761
80,2021-08-15,-40.0,134.03,0,381147,7761
81,2021-08-16,-34.0,154.45,0,388986,7813
82,2021-08-17,6.0,153.42,0,392309,7880
83,2021-08-18,-22.0,154.69,0,396394,7916
84,2021-08-19,-34.0,160.34,0,401201,7937
85,2021-08-20,5.0,188.12,0,406249,7991
86,2021-08-21,-34.0,179.11,0,406249,7991
87,2021-08-22,-70.0,129.76,0,406249,7991
88,2021-08-23,-63.0,150.96,0,413498,8047
89,2021-08-24,-7.0,149.67,0,416789,8158
90,2021-08-25,-27.0,148.95,0,420174,8180
