,date,mobility_sum,apple_mobility,distance,cases,deaths
0,2021-05-27,216.0,261.35,2,111713,1610
1,2021-05-28,170.0,298.1,2,111822,1612
2,2021-05-29,258.0,283.66,2,111883,1613
3,2021-05-30,300.0,247.95,2,111907,1613
4,2021-05-31,180.0,243.82,2,111928,1613
5,2021-06-01,233.0,264.15,2,111949,1613
6,2021-06-02,197.0,270.48,2,112109,1621
7,2021-06-03,265.0,285.04,2,112236,1627
8,2021-06-04,175.0,316.87,2,112366,1632
9,2021-06-05,264.0,311.42,2,112366,1632
10,2021-06-06,277.0,270.61,2,112366,1632
11,2021-06-07,247.0,292.29,2,112488,1633
12,2021-06-08,209.0,287.9,2,112625,1634
13,2021-06-09,212.0,299.78,2,112699,1636
14,2021-06-10,222.0,309.86,2,112798,1638
15,2021-06-11,175.0,348.64,2,112868,1641
16,2021-06-12,227.0,334.63,2,112868,1641
17,2021-06-13,356.0,301.82,2,112868,1641
18,2021-06-14,233.0,314.48,2,112959,1643
19,2021-06-15,209.0,317.3,2,113057,1647
20,2021-06-16,193.0,322.42,2,113128,1649
21,2021-06-17,277.0,338.73,2,113200,1651
22,2021-06-18,175.0,377.16,2,113275,1651
23,2021-06-19,227.0,343.26,2,113275,1651
24,2021-06-20,203.0,300.79,2,113275,1651
25,2021-06-21,252.0,335.36,2,113333,1652
26,2021-06-22,235.0,335.68,2,113449,1655
27,2021-06-23,169.0,345.63,2,113511,1657
28,2021-06-24,254.0,373.56,2,113578,1661
29,2021-06-25,177.0,403.85,2,113636,1662
30,2021-06-26,217.0,377.39,2,113636,1662
31,2021-06-27,333.0,332.09,2,113636,1662
32,2021-06-28,238.0,347.95,2,113684,1662
33,2021-06-29,217.0,340.19,2,113797,1665
34,2021-06-30,193.0,349.91,2,113862,1665
35,2021-07-01,271.0,366.62,2,113928,1666
36,2021-07-02,165.0,396.92,2,113981,1666
37,2021-07-03,167.0,347.35,2,113981,1666
38,2021-07-04,431.0,290.97,2,113981,1666
39,2021-07-05,155.0,355.72,2,113981,1666
40,2021-07-06,208.0,372.66,2,114059,1668
41,2021-07-07,146.0,366.57,2,114211,1671
42,2021-07-08,282.0,385.43,2,114298,1672
43,2021-07-09,135.0,409.74,2,114348,1673
44,2021-07-10,210.0,381.85,2,114348,1673
45,2021-07-11,287.0,347.6,2,114348,1673
46,2021-07-12,239.0,359.22,2,114433,1674
47,2021-07-13,212.0,350.48,2,114523,1676
48,2021-07-14,196.0,364.25,2,114617,1683
49,2021-07-15,262.0,389.73,2,114685,1686
50,2021-07-16,154.0,427.53,2,114772,1691
51,2021-07-17,234.0,391.89,2,114772,1691
52,2021-07-18,291.0,357.33,2,114772,1691
53,2021-07-19,214.0,379.79,2,114851,1692
54,2021-07-20,184.0,357.69,2,115007,1693
55,2021-07-21,172.0,357.31,2,115111,1694
56,2021-07-22,241.0,371.61,2,115252,1695
57,2021-07-23,158.0,395.33,2,115364,1695
58,2021-07-24,371.0,365.64,2,115364,1695
59,2021-07-25,286.0,334.63,2,115364,1695
60,2021-07-26,204.0,351.16,2,115516,1695
61,2021-07-27,185.0,339.54,2,115776,1699
62,2021-07-28,153.0,345.14,2,115999,1704
63,2021-07-29,239.0,357.92,2,116256,1704
64,2021-07-30,167.0,387.11,2,116480,1704
65,2021-07-31,230.0,364.25,2,116480,1704
66,2021-08-01,332.0,330.7,2,116480,1704
67,2021-08-02,223.0,341.1,2,116746,1708
68,2021-08-03,205.0,331.4,2,117146,1716
69,2021-08-04,157.0,335.09,2,117442,1718
70,2021-08-05,234.0,344.93,2,117725,1720
71,2021-08-06,132.0,370.04,2,117995,1722
72,2021-08-07,197.0,345.06,2,117995,1722
73,2021-08-08,259.0,309.81,2,117995,1722
74,2021-08-09,233.0,326.63,2,118382,1723
75,2021-08-10,238.0,320.17,2,118867,1726
76,2021-08-11,159.0,324.41,2,119234,1726
77,2021-08-12,243.0,336.26,2,119630,1729
78,2021-08-13,176.0,372.32,2,119974,1730
79,2021-08-14,213.0,339.75,2,119974,1730
80,2021-08-15,252.0,300.65,2,119974,1730
81,2021-08-16,175.0,301.62,2,120436,1736
82,2021-08-17,170.0,298.16,2,121058,1743
83,2021-08-18,73.0,302.69,2,121494,1749
84,2021-08-19,144.0,317.47,2,121989,1752
85,2021-08-20,84.0,345.41,2,122430,1756
86,2021-08-21,190.0,331.36,2,122430,1756
87,2021-08-22,274.0,301.57,2,122430,1756
88,2021-08-23,196.0,311.07,2,123075,1760
89,2021-08-24,182.0,295.09,2,123788,1768
90,2021-08-25,125.0,291.33,2,124392,1773
91,2021-08-26,196.0,295.99,2,125024,1781
92,2021-08-27,136.0,326.0,2,125730,1783
93,2021-08-28,199.0,306.9,2,125730,1783
94,2021-08-29,276.0,258.75,2,125730,1783
95,2021-08-30,198.0,262.8,2,126452,1787
96,2021-08-31,174.0,258.57,2,127248,1800
97,2021-09-01,125.0,262.92,2,128216,1803
98,2021-09-02,229.0,277.79,2,128955,1807
99,2021-09-03,124.0,335.78,2,129607,1811
100,2021-09-04,157.0,312.84,2,129607,1811
101,2021-09-05,209.0,276.35,2,129607,1811
102,2021-09-06,109.0,264.49,2,129607,1811
103,2021-09-07,170.0,267.1,2,130830,1819
104,2021-09-08,115.0,272.41,2,131877,1828
105,2021-09-09,165.0,277.53,2,132871,1830
106,2021-09-10,122.0,313.43,2,133839,1834
107,2021-09-11,279.0,300.55,2,133839,1834
108,2021-09-12,236.0,250.62,2,133839,1834
