,date,mobility_sum,apple_mobility,distance,cases,deaths
0,2021-05-27,-2.0,171.71,2,1001048,13075
1,2021-05-28,3.0,196.82,2,1001817,13100
2,2021-05-29,14.0,176.33,2,1001825,13101
3,2021-05-30,-55.0,142.27,2,1001893,13101
4,2021-05-31,34.0,138.8,2,1001893,13101
5,2021-06-01,52.0,161.42,2,1003793,13118
6,2021-06-02,-65.0,159.62,2,1004203,13127
7,2021-06-03,-55.0,162.52,2,1004699,13147
8,2021-06-04,-24.0,192.3,2,1005366,13168
9,2021-06-05,22.0,191.99,2,1005366,13168
10,2021-06-06,-6.0,143.24,2,1005427,13168
11,2021-06-07,15.0,155.85,2,1006658,13216
12,2021-06-08,16.0,161.45,2,1007015,13229
13,2021-06-09,-21.0,162.8,2,1007567,13252
14,2021-06-10,-64.0,169.33,2,1008036,13268
15,2021-06-11,-37.0,191.97,2,1008457,13287
16,2021-06-12,-4.0,188.4,2,1008494,13287
17,2021-06-13,10.0,148.31,2,1008494,13287
18,2021-06-14,25.0,163.39,2,1009630,13311
19,2021-06-15,45.0,165.6,2,1009956,13316
20,2021-06-16,-2.0,168.08,2,1010306,13333
21,2021-06-17,23.0,176.42,2,1010698,13339
22,2021-06-18,11.0,202.65,2,1010890,13359
23,2021-06-19,11.0,198.55,2,1010919,13359
24,2021-06-20,-24.0,132.09,2,1010919,13359
25,2021-06-21,2.0,163.45,2,1011643,13386
26,2021-06-22,-47.0,157.13,2,1011980,13401
27,2021-06-23,12.0,169.59,2,1012441,13413
28,2021-06-24,14.0,180.59,2,1012883,13426
29,2021-06-25,-30.0,202.01,2,1013279,13432
30,2021-06-26,-16.0,199.64,2,1013282,13432
31,2021-06-27,2.0,151.2,2,1013290,13432
32,2021-06-28,2.0,163.94,2,1014140,13439
33,2021-06-29,1.0,166.94,2,1014376,13443
34,2021-06-30,-7.0,173.07,2,1014682,13450
35,2021-07-01,8.0,180.58,2,1014967,13447
36,2021-07-02,-30.0,194.91,2,1015363,13447
37,2021-07-03,71.0,185.84,2,1015417,13447
38,2021-07-04,-38.0,140.14,2,1015417,13447
39,2021-07-05,20.0,151.52,2,1015417,13447
40,2021-07-06,18.0,167.4,2,1016742,13468
