,date,mobility_sum,apple_mobility,distance,cases,deaths
0,2021-05-27,-131.0,177.37,2,109851,1541
1,2021-05-28,-123.0,205.08,2,109900,1543
2,2021-05-29,-116.0,184.03,2,109946,1543
3,2021-05-30,-82.0,153.81,2,109966,1543
4,2021-05-31,-183.0,143.45,2,109975,1543
5,2021-06-01,-129.0,172.68,2,109993,1543
6,2021-06-02,-130.0,181.91,2,110076,1543
7,2021-06-03,-125.0,191.86,2,110129,1546
8,2021-06-04,-117.0,209.05,2,110182,1546
9,2021-06-05,-111.0,182.83,2,110209,1547
10,2021-06-06,-118.0,146.47,2,110230,1547
11,2021-06-07,-116.0,177.48,2,110246,1547
12,2021-06-08,-140.0,177.88,2,110285,1547
13,2021-06-09,-113.0,189.07,2,110329,1548
14,2021-06-10,-132.0,195.65,2,110382,1548
15,2021-06-11,-127.0,210.76,2,110417,1551
16,2021-06-12,-114.0,189.05,2,110457,1551
17,2021-06-13,-85.0,158.07,2,110463,1551
18,2021-06-14,-108.0,186.58,2,110471,1551
19,2021-06-15,-112.0,189.47,2,110504,1552
20,2021-06-16,-128.0,192.12,2,110523,1553
21,2021-06-17,-116.0,205.83,2,110551,1554
22,2021-06-18,-118.0,223.54,2,110575,1554
23,2021-06-19,-135.0,196.53,2,110590,1554
24,2021-06-20,-100.0,150.39,2,110598,1554
25,2021-06-21,-121.0,184.89,2,110602,1554
26,2021-06-22,-123.0,191.52,2,110629,1557
27,2021-06-23,-114.0,194.67,2,110645,1557
28,2021-06-24,-118.0,204.85,2,110658,1558
29,2021-06-25,-126.0,222.69,2,110675,1558
30,2021-06-26,-123.0,200.96,2,110688,1559
31,2021-06-27,-103.0,162.81,2,110694,1559
32,2021-06-28,-111.0,186.34,2,110697,1559
33,2021-06-29,-140.0,190.44,2,110711,1559
34,2021-06-30,-107.0,195.36,2,110738,1559
35,2021-07-01,-101.0,206.41,2,110749,1559
36,2021-07-02,-91.0,215.72,2,110760,1559
37,2021-07-03,-78.0,156.36,2,110765,1559
38,2021-07-04,219.0,131.65,2,110767,1559
39,2021-07-05,-181.0,157.09,2,110776,1559
40,2021-07-06,-146.0,187.49,2,110782,1559
41,2021-07-07,-136.0,194.65,2,110810,1559
42,2021-07-08,-129.0,204.26,2,110839,1561
43,2021-07-09,-135.0,229.02,2,110852,1563
44,2021-07-10,-125.0,199.64,2,110879,1563
45,2021-07-11,-95.0,168.34,2,110888,1563
46,2021-07-12,-130.0,192.25,2,110889,1563
47,2021-07-13,-125.0,197.17,2,110930,1563
48,2021-07-14,-111.0,206.45,2,110957,1567
49,2021-07-15,-102.0,215.0,2,110989,1567
50,2021-07-16,-106.0,242.66,2,111006,1567
51,2021-07-17,-115.0,210.04,2,111031,1568
52,2021-07-18,-94.0,177.87,2,111039,1568
53,2021-07-19,-115.0,198.52,2,111050,1568
54,2021-07-20,-125.0,201.99,2,111098,1568
55,2021-07-21,-112.0,204.23,2,111124,1569
56,2021-07-22,-109.0,212.07,2,111158,1569
57,2021-07-23,-112.0,228.11,2,111201,1569
58,2021-07-24,-103.0,205.11,2,111246,1569
59,2021-07-25,-79.0,168.3,2,111258,1569
60,2021-07-26,-112.0,187.22,2,111296,1569
61,2021-07-27,-125.0,192.12,2,111362,1569
62,2021-07-28,-117.0,195.7,2,111442,1569
63,2021-07-29,-108.0,206.88,2,111517,1569
64,2021-07-30,-107.0,229.83,2,111601,1570
65,2021-07-31,-111.0,199.04,2,111675,1570
66,2021-08-01,-64.0,166.81,2,111705,1570
67,2021-08-02,-112.0,185.15,2,111730,1570
68,2021-08-03,-119.0,185.67,2,111868,1571
69,2021-08-04,-111.0,192.14,2,111964,1572
70,2021-08-05,-102.0,190.3,2,112081,1572
71,2021-08-06,-108.0,218.25,2,112200,1573
72,2021-08-07,-99.0,186.93,2,112316,1573
73,2021-08-08,-73.0,160.59,2,112367,1573
74,2021-08-09,-110.0,186.57,2,112393,1573
75,2021-08-10,-123.0,187.24,2,112591,1573
76,2021-08-11,-128.0,201.27,2,112775,1574
77,2021-08-12,-118.0,198.02,2,112925,1576
78,2021-08-13,-119.0,220.81,2,113094,1576
79,2021-08-14,-108.0,197.05,2,113256,1576
80,2021-08-15,-91.0,161.29,2,113361,1576
81,2021-08-16,-115.0,185.04,2,113435,1576
82,2021-08-17,-125.0,182.48,2,113704,1579
83,2021-08-18,-129.0,186.69,2,113956,1579
84,2021-08-19,-134.0,199.73,2,114210,1580
85,2021-08-20,-135.0,225.42,2,114512,1581
86,2021-08-21,-116.0,224.94,2,114721,1582
87,2021-08-22,-118.0,163.8,2,114837,1582
88,2021-08-23,-124.0,190.3,2,114946,1582
89,2021-08-24,-139.0,185.46,2,115343,1584
90,2021-08-25,-127.0,183.73,2,115700,1587
91,2021-08-26,-130.0,179.93,2,116054,1588
92,2021-08-27,-109.0,207.69,2,116337,1592
93,2021-08-28,-110.0,193.36,2,116698,1592
94,2021-08-29,-83.0,148.19,2,116870,1592
95,2021-08-30,-119.0,169.41,2,117009,1592
96,2021-08-31,-128.0,170.48,2,117529,1592
97,2021-09-01,-118.0,171.53,2,117987,1593
98,2021-09-02,-107.0,180.15,2,118523,1594
99,2021-09-03,-100.0,227.07,2,118963,1596
100,2021-09-04,-114.0,183.45,2,119383,1596
101,2021-09-05,153.0,145.26,2,119588,1596
102,2021-09-06,-179.0,144.96,2,119724,1596
103,2021-09-07,-137.0,172.6,2,119995,1596
104,2021-09-08,-126.0,170.8,2,120634,1599
105,2021-09-09,-121.0,186.3,2,121249,1603
106,2021-09-10,-130.0,225.82,2,121881,1603
107,2021-09-11,-122.0,203.97,2,122383,1605
