,date,mobility_sum,apple_mobility,distance,cases,deaths
0,2021-05-27,176.0,193.1,2,223264,2378
1,2021-05-28,210.0,224.08,2,223638,2494
2,2021-05-29,252.0,214.72,2,223667,2495
3,2021-05-30,103.0,167.37,2,223666,2495
4,2021-05-31,256.0,149.85,2,223676,2495
5,2021-06-01,222.0,182.0,2,223796,2497
6,2021-06-02,220.0,189.9,2,223824,2500
7,2021-06-03,224.0,197.33,2,223871,2504
8,2021-06-04,259.0,228.04,2,223906,2512
9,2021-06-05,306.0,227.08,2,223906,2512
10,2021-06-06,225.0,173.27,2,223912,2512
11,2021-06-07,218.0,183.78,2,224000,2513
12,2021-06-08,216.0,185.66,2,224043,2515
13,2021-06-09,195.0,190.45,2,224068,2516
14,2021-06-10,177.0,199.58,2,224092,2516
15,2021-06-11,189.0,218.28,2,224144,2517
16,2021-06-12,280.0,225.78,2,224144,2517
17,2021-06-13,216.0,174.72,2,224144,2517
18,2021-06-14,197.0,186.87,2,224216,2517
19,2021-06-15,205.0,192.41,2,224237,2517
20,2021-06-16,183.0,195.64,2,224267,2517
21,2021-06-17,165.0,209.43,2,224313,2517
22,2021-06-18,228.0,242.79,2,224336,2518
23,2021-06-19,288.0,238.88,2,224343,2519
24,2021-06-20,279.0,173.9,2,224343,2519
25,2021-06-21,237.0,196.44,2,224427,2519
26,2021-06-22,197.0,196.58,2,224443,2519
27,2021-06-23,185.0,203.93,2,224492,2519
28,2021-06-24,152.0,205.33,2,224525,2519
29,2021-06-25,215.0,245.39,2,224552,2519
30,2021-06-26,259.0,233.26,2,224570,2519
31,2021-06-27,264.0,183.15,2,224570,2519
32,2021-06-28,210.0,191.07,2,224650,2519
33,2021-06-29,197.0,199.04,2,224725,2520
34,2021-06-30,186.0,203.95,2,224753,2520
35,2021-07-01,239.0,214.46,2,224802,2520
36,2021-07-02,264.0,232.43,2,224848,2520
37,2021-07-03,266.0,199.24,2,224848,2520
38,2021-07-04,145.0,151.67,2,224854,2520
39,2021-07-05,212.0,172.44,2,224854,2520
40,2021-07-06,191.0,189.11,2,224973,2521
41,2021-07-07,178.0,190.82,2,225043,2521
42,2021-07-08,197.0,204.33,2,225108,2523
43,2021-07-09,245.0,239.02,2,225181,2524
44,2021-07-10,204.0,217.82,2,225191,2524
45,2021-07-11,220.0,183.57,2,225200,2524
46,2021-07-12,207.0,191.64,2,225371,2524
47,2021-07-13,172.0,192.1,2,225473,2527
