,date,mobility_sum,apple_mobility,distance,cases,deaths
0,2021-05-27,113.0,162.26,2,98613,1349
1,2021-05-28,141.0,191.2,2,98650,1351
2,2021-05-29,78.0,181.41,2,98699,1352
3,2021-05-30,24.0,151.09,2,98726,1353
4,2021-05-31,162.0,153.84,2,98726,1353
5,2021-06-01,265.0,151.02,2,98767,1353
6,2021-06-02,222.0,155.96,2,98791,1353
7,2021-06-03,255.0,160.69,2,98840,1354
8,2021-06-04,195.0,191.41,2,98877,1355
9,2021-06-05,142.0,207.02,2,98877,1355
10,2021-06-06,405.0,176.88,2,98877,1355
11,2021-06-07,117.0,158.17,2,98941,1357
12,2021-06-08,203.0,153.97,2,98944,1357
13,2021-06-09,213.0,163.44,2,98996,1357
14,2021-06-10,141.0,169.59,2,99040,1360
15,2021-06-11,152.0,198.48,2,99068,1360
16,2021-06-12,470.0,214.17,2,99068,1360
17,2021-06-13,354.0,184.91,2,99068,1360
18,2021-06-14,151.0,155.57,2,99143,1363
19,2021-06-15,183.0,163.02,2,99178,1364
20,2021-06-16,287.0,177.71,2,99196,1364
21,2021-06-17,138.0,186.7,2,99225,1366
22,2021-06-18,68.0,221.7,2,99254,1367
23,2021-06-19,131.0,220.37,2,99254,1367
24,2021-06-20,452.0,185.88,2,99254,1367
25,2021-06-21,85.0,180.12,2,99329,1367
26,2021-06-22,194.0,171.88,2,99348,1368
27,2021-06-23,60.0,186.29,2,99366,1369
28,2021-06-24,143.0,195.29,2,99392,1369
29,2021-06-25,254.0,217.91,2,99403,1371
30,2021-06-26,77.0,221.88,2,99403,1371
31,2021-06-27,400.0,199.99,2,99403,1371
32,2021-06-28,109.0,182.11,2,99455,1371
33,2021-06-29,86.0,182.63,2,99481,1371
34,2021-06-30,211.0,183.39,2,99504,1372
35,2021-07-01,275.0,190.31,2,99527,1372
36,2021-07-02,155.0,211.5,2,99555,1372
37,2021-07-03,188.0,196.9,2,99555,1372
38,2021-07-04,293.0,167.55,2,99555,1372
39,2021-07-05,166.0,203.28,2,99555,1372
40,2021-07-06,105.0,203.07,2,99626,1373
41,2021-07-07,66.0,189.19,2,99652,1374
42,2021-07-08,257.0,190.22,2,99685,1374
43,2021-07-09,103.0,205.06,2,99708,1375
44,2021-07-10,159.0,229.1,2,99708,1375
45,2021-07-11,334.0,199.08,2,99708,1375
46,2021-07-12,209.0,175.95,2,99770,1375
47,2021-07-13,223.0,182.01,2,99800,1381
48,2021-07-14,237.0,187.26,2,99840,1381
49,2021-07-15,189.0,205.26,2,99875,1381
50,2021-07-16,106.0,236.36,2,99907,1381
51,2021-07-17,446.0,229.11,2,99907,1381
52,2021-07-18,171.0,194.02,2,99907,1381
53,2021-07-19,86.0,184.89,2,99966,1382
54,2021-07-20,118.0,191.41,2,100025,1384
55,2021-07-21,306.0,191.81,2,100072,1384
56,2021-07-22,170.0,206.64,2,100106,1385
57,2021-07-23,393.0,240.71,2,100152,1385
58,2021-07-24,210.0,247.81,2,100152,1385
59,2021-07-25,199.0,205.56,2,100152,1385
60,2021-07-26,136.0,191.68,2,100286,1385
61,2021-07-27,100.0,187.41,2,100398,1386
62,2021-07-28,359.0,194.73,2,100465,1386
63,2021-07-29,93.0,197.89,2,100554,1387
64,2021-07-30,386.0,235.8,2,100657,1387
65,2021-07-31,175.0,245.12,2,100657,1387
66,2021-08-01,380.0,211.02,2,100657,1387
67,2021-08-02,132.0,189.01,2,100986,1387
68,2021-08-03,152.0,190.41,2,101155,1388
69,2021-08-04,322.0,194.36,2,101277,1389
70,2021-08-05,214.0,189.18,2,101505,1389
71,2021-08-06,113.0,239.52,2,101662,1389
72,2021-08-07,147.0,240.39,2,101662,1389
73,2021-08-08,384.0,207.57,2,101662,1389
74,2021-08-09,166.0,191.87,2,102117,1389
75,2021-08-10,157.0,189.77,2,102205,1391
76,2021-08-11,102.0,195.46,2,102353,1393
77,2021-08-12,158.0,201.22,2,102659,1394
78,2021-08-13,128.0,231.45,2,102901,1395
79,2021-08-14,184.0,231.78,2,102901,1395
80,2021-08-15,441.0,217.35,2,102901,1395
