,date,mobility_sum,apple_mobility,distance,cases,deaths
0,2021-05-27,121.0,163.14,0,1015368,26173
1,2021-05-28,27.0,172.66,0,1015634,26185
2,2021-05-29,-16.0,147.62,0,1015889,26201
3,2021-05-30,20.0,122.32,0,1016135,26207
4,2021-05-31,137.0,133.55,0,1016332,26212
5,2021-06-01,117.0,145.07,0,1016490,26219
6,2021-06-02,97.0,146.64,0,1016763,26239
7,2021-06-03,23.0,143.21,0,1017044,26253
8,2021-06-04,35.0,176.9,0,1017337,26265
9,2021-06-05,180.0,191.83,0,1017695,26273
10,2021-06-06,187.0,163.68,0,1017904,26279
11,2021-06-07,98.0,148.54,0,1018112,26285
12,2021-06-08,30.0,146.78,0,1018307,26295
13,2021-06-09,78.0,150.27,0,1018491,26309
14,2021-06-10,120.0,161.07,0,1018833,26322
15,2021-06-11,60.0,182.15,0,1019107,26324
16,2021-06-12,137.0,183.93,0,1019356,26327
17,2021-06-13,139.0,149.37,0,1019563,26330
18,2021-06-14,78.0,144.63,0,1019794,26334
19,2021-06-15,119.0,156.3,0,1020043,26345
20,2021-06-16,125.0,162.23,0,1020326,26352
21,2021-06-17,113.0,171.38,0,1020564,26364
22,2021-06-18,92.0,197.52,0,1020830,26368
23,2021-06-19,132.0,195.17,0,1021038,26372
24,2021-06-20,157.0,154.61,0,1021182,26374
25,2021-06-21,84.0,159.06,0,1021323,26377
26,2021-06-22,2.0,152.11,0,1021554,26392
27,2021-06-23,113.0,166.13,0,1021822,26403
28,2021-06-24,107.0,174.24,0,1022094,26417
29,2021-06-25,84.0,196.64,0,1022443,26428
30,2021-06-26,126.0,194.61,0,1022680,26434
31,2021-06-27,157.0,160.74,0,1022830,26437
32,2021-06-28,100.0,163.54,0,1022977,26438
33,2021-06-29,71.0,166.55,0,1023200,26444
34,2021-06-30,79.0,167.83,0,1023395,26452
35,2021-07-01,70.0,164.17,0,1023613,26463
36,2021-07-02,73.0,184.39,0,1023923,26468
37,2021-07-03,65.0,165.63,0,1024113,26473
38,2021-07-04,185.0,149.96,0,1024225,26473
39,2021-07-05,141.0,163.57,0,1024311,26477
40,2021-07-06,55.0,163.68,0,1024465,26477
41,2021-07-07,82.0,167.86,0,1024748,26490
42,2021-07-08,38.0,168.57,0,1025079,26493
43,2021-07-09,38.0,186.64,0,1025477,26496
44,2021-07-10,138.0,194.24,0,1025788,26501
45,2021-07-11,124.0,149.41,0,1026071,26505
46,2021-07-12,61.0,154.6,0,1026286,26509
47,2021-07-13,62.0,159.46,0,1026649,26517
48,2021-07-14,82.0,164.5,0,1027014,26520
49,2021-07-15,99.0,175.9,0,1027460,26529
50,2021-07-16,53.0,196.01,0,1027954,26531
51,2021-07-17,60.0,189.58,0,1028503,26536
52,2021-07-18,144.0,154.52,0,1028931,26539
53,2021-07-19,105.0,162.05,0,1029243,26545
54,2021-07-20,113.0,165.04,0,1029901,26557
55,2021-07-21,79.0,160.9,0,1030600,26562
56,2021-07-22,101.0,172.57,0,1031346,26564
57,2021-07-23,77.0,196.08,0,1032255,26568
58,2021-07-24,144.0,198.85,0,1033116,26573
59,2021-07-25,135.0,152.78,0,1033712,26575
60,2021-07-26,109.0,158.57,0,1034233,26579
61,2021-07-27,90.0,160.87,0,1035027,26586
62,2021-07-28,89.0,161.2,0,1035975,26589
63,2021-07-29,8.0,156.84,0,1037052,26590
64,2021-07-30,84.0,191.14,0,1038171,26595
65,2021-07-31,156.0,193.11,0,1039353,26602
66,2021-08-01,105.0,146.04,0,1040281,26607
67,2021-08-02,109.0,156.73,0,1041159,26606
