,date,mobility_sum,apple_mobility,distance,cases,deaths
0,2021-05-27,54.0,169.58,2,202701,4261
1,2021-05-28,47.0,196.18,2,202821,4265
2,2021-05-29,48.0,187.8,2,202821,4265
3,2021-05-30,71.0,155.37,2,202821,4265
4,2021-05-31,-13.0,145.86,2,202821,4265
5,2021-06-01,80.0,156.91,2,203151,4266
6,2021-06-02,62.0,157.5,2,203222,4270
7,2021-06-03,60.0,164.55,2,203330,4275
8,2021-06-04,45.0,187.34,2,203472,4282
9,2021-06-05,68.0,180.43,2,203472,4282
10,2021-06-06,80.0,149.55,2,203472,4282
11,2021-06-07,42.0,159.18,2,203686,4288
12,2021-06-08,60.0,159.91,2,203748,4289
13,2021-06-09,54.0,160.64,2,203823,4294
14,2021-06-10,55.0,168.59,2,203919,4297
15,2021-06-11,44.0,193.2,2,204044,4299
16,2021-06-12,42.0,188.68,2,204044,4299
17,2021-06-13,50.0,154.68,2,204044,4299
18,2021-06-14,43.0,162.23,2,204271,4304
19,2021-06-15,47.0,164.83,2,204392,4304
20,2021-06-16,40.0,169.46,2,204472,4307
21,2021-06-17,55.0,178.63,2,204577,4312
22,2021-06-18,38.0,199.35,2,204698,4318
23,2021-06-19,39.0,190.41,2,204698,4318
24,2021-06-20,54.0,145.1,2,204698,4318
25,2021-06-21,35.0,164.45,2,204961,4328
26,2021-06-22,48.0,167.8,2,205058,4332
27,2021-06-23,40.0,170.11,2,205134,4334
28,2021-06-24,38.0,176.98,2,205215,4336
29,2021-06-25,42.0,199.98,2,205290,4337
30,2021-06-26,62.0,197.17,2,205290,4337
31,2021-06-27,46.0,158.32,2,205290,4337
32,2021-06-28,1.0,162.88,2,205438,4338
33,2021-06-29,-13.0,165.06,2,205484,4340
34,2021-06-30,28.0,173.32,2,205542,4342
35,2021-07-01,64.0,188.77,2,205629,4345
36,2021-07-02,35.0,209.61,2,205715,4346
37,2021-07-03,15.0,187.33,2,205715,4346
38,2021-07-04,37.0,148.51,2,205715,4346
39,2021-07-05,-41.0,163.34,2,205715,4346
40,2021-07-06,36.0,171.35,2,205915,4348
41,2021-07-07,40.0,176.59,2,205996,4349
42,2021-07-08,26.0,184.76,2,206128,4355
43,2021-07-09,3.0,204.68,2,206252,4356
44,2021-07-10,3.0,200.39,2,206252,4356
