,date,mobility_sum,apple_mobility,distance,cases,deaths
0,2021-05-27,97.0,168.63,2,323481,5578
1,2021-05-28,28.0,196.22,2,323748,5586
2,2021-05-29,8.0,199.98,2,323748,5586
3,2021-05-30,50.0,174.73,2,323748,5586
4,2021-05-31,43.0,176.12,2,323748,5586
5,2021-06-01,93.0,165.38,2,324262,5590
6,2021-06-02,101.0,160.11,2,324681,5593
7,2021-06-03,89.0,165.16,2,325031,5599
8,2021-06-04,69.0,193.9,2,325392,5600
9,2021-06-05,24.0,181.64,2,325392,5600
10,2021-06-06,60.0,153.32,2,325392,5600
11,2021-06-07,65.0,160.64,2,326019,5607
12,2021-06-08,52.0,158.96,2,326366,5610
13,2021-06-09,38.0,159.87,2,326583,5617
14,2021-06-10,90.0,169.11,2,326878,5621
15,2021-06-11,52.0,186.73,2,327140,5622
16,2021-06-12,57.0,179.9,2,327140,5622
17,2021-06-13,65.0,154.83,2,327140,5622
18,2021-06-14,64.0,164.52,2,327579,5626
19,2021-06-15,68.0,162.15,2,327831,5631
20,2021-06-16,98.0,167.27,2,328194,5635
21,2021-06-17,96.0,169.89,2,328490,5642
22,2021-06-18,43.0,190.95,2,328875,5649
23,2021-06-19,21.0,182.31,2,328875,5649
24,2021-06-20,45.0,150.0,2,328875,5649
25,2021-06-21,56.0,169.58,2,329515,5646
26,2021-06-22,59.0,169.47,2,329915,5653
27,2021-06-23,96.0,169.74,2,330362,5654
28,2021-06-24,17.0,176.55,2,330810,5664
29,2021-06-25,44.0,199.7,2,331614,5667
30,2021-06-26,22.0,188.07,2,331614,5667
31,2021-06-27,40.0,161.34,2,331614,5667
32,2021-06-28,45.0,170.47,2,332529,5670
33,2021-06-29,65.0,168.21,2,333154,5678
34,2021-06-30,85.0,174.78,2,333712,5681
35,2021-07-01,52.0,183.01,2,334255,5692
36,2021-07-02,47.0,202.43,2,334763,5697
37,2021-07-03,6.0,190.54,2,334763,5697
38,2021-07-04,64.0,162.59,2,334763,5697
39,2021-07-05,43.0,179.94,2,334763,5697
40,2021-07-06,50.0,175.06,2,336109,5702
41,2021-07-07,50.0,172.85,2,336562,5705
42,2021-07-08,92.0,181.68,2,337259,5707
43,2021-07-09,45.0,199.57,2,338072,5720
44,2021-07-10,40.0,188.88,2,338072,5720
45,2021-07-11,31.0,157.78,2,338072,5720
46,2021-07-12,63.0,168.28,2,339745,5730
47,2021-07-13,85.0,166.58,2,340600,5731
48,2021-07-14,98.0,170.37,2,341292,5737
49,2021-07-15,55.0,178.87,2,342230,5752
50,2021-07-16,66.0,196.41,2,343096,5758
51,2021-07-17,23.0,183.85,2,343096,5758
52,2021-07-18,35.0,158.7,2,343096,5758
53,2021-07-19,51.0,170.93,2,345163,5761
54,2021-07-20,69.0,168.85,2,346167,5761
55,2021-07-21,120.0,174.15,2,347098,5789
56,2021-07-22,107.0,179.5,2,348040,5797
57,2021-07-23,53.0,194.71,2,349043,5817
58,2021-07-24,17.0,181.63,2,349043,5817
59,2021-07-25,-19.0,154.76,2,349043,5817
60,2021-07-26,15.0,166.08,2,351443,5837
61,2021-07-27,88.0,179.49,2,352567,5854
62,2021-07-28,92.0,170.25,2,353746,5874
63,2021-07-29,61.0,167.1,2,355091,5900
64,2021-07-30,46.0,184.95,2,356401,5912
65,2021-07-31,-1.0,175.47,2,356401,5912
66,2021-08-01,38.0,157.32,2,356401,5912
67,2021-08-02,60.0,168.33,2,358932,5918
68,2021-08-03,98.0,161.82,2,360147,5929
69,2021-08-04,114.0,161.28,2,361140,5953
70,2021-08-05,109.0,167.27,2,362275,5979
71,2021-08-06,12.0,190.02,2,363574,6005
72,2021-08-07,6.0,172.89,2,363574,6005
73,2021-08-08,7.0,148.21,2,363574,6005
74,2021-08-09,37.0,165.35,2,366584,6040
75,2021-08-10,61.0,162.81,2,367709,6080
76,2021-08-11,52.0,166.58,2,368625,6096
77,2021-08-12,61.0,167.73,2,369846,6120
78,2021-08-13,19.0,191.09,2,371126,6160
79,2021-08-14,36.0,179.8,2,371126,6160
80,2021-08-15,1.0,146.44,2,371126,6160
81,2021-08-16,21.0,158.65,2,373649,6190
82,2021-08-17,24.0,158.8,2,374651,6223
83,2021-08-18,43.0,158.78,2,376080,6248
84,2021-08-19,74.0,163.25,2,377493,6259
85,2021-08-20,6.0,186.44,2,378700,6280
86,2021-08-21,-13.0,176.87,2,378700,6280
87,2021-08-22,-35.0,143.32,2,378700,6280
88,2021-08-23,-31.0,155.83,2,381766,6306
89,2021-08-24,-18.0,153.12,2,382773,6352
90,2021-08-25,9.0,152.97,2,384135,6376
91,2021-08-26,16.0,159.73,2,385272,6398
92,2021-08-27,-10.0,180.8,2,386559,6433
93,2021-08-28,15.0,166.43,2,386559,6433
94,2021-08-29,-27.0,133.14,2,386559,6433
95,2021-08-30,23.0,152.52,2,389358,6479
96,2021-08-31,65.0,151.43,2,390600,6510
97,2021-09-01,62.0,162.75,2,392052,6539
98,2021-09-02,68.0,162.42,2,393188,6565
99,2021-09-03,-8.0,188.0,2,394595,6583
100,2021-09-04,13.0,183.12,2,394595,6583
101,2021-09-05,-11.0,153.79,2,394595,6583
102,2021-09-06,-1.0,146.02,2,394595,6583
103,2021-09-07,47.0,155.54,2,397788,6604
104,2021-09-08,70.0,151.8,2,399234,6637
105,2021-09-09,44.0,156.83,2,400349,6681
106,2021-09-10,-1.0,180.22,2,401901,6702
107,2021-09-11,39.0,171.29,2,401901,6702
108,2021-09-12,47.0,139.62,2,401901,6702
109,2021-09-13,21.0,157.86,2,404851,6728
110,2021-09-14,61.0,154.61,2,406212,6763
111,2021-09-15,62.0,156.79,2,407258,6789
112,2021-09-16,64.0,165.36,2,408733,6821
113,2021-09-17,2.0,188.88,2,410104,6845
114,2021-09-18,-13.0,180.29,2,410104,6845
115,2021-09-19,-9.0,139.18,2,410104,6845
116,2021-09-20,22.0,157.45,2,412317,6880
117,2021-09-21,13.0,154.4,2,413547,6918
118,2021-09-22,70.0,155.69,2,414371,6948
119,2021-09-23,53.0,162.15,2,415424,6983
120,2021-09-24,6.0,190.73,2,416496,7015
121,2021-09-25,-24.0,183.29,2,416496,7015
122,2021-09-26,-4.0,143.19,2,416496,7015
123,2021-09-27,16.0,155.36,2,418477,7045
124,2021-09-28,61.0,151.74,2,419379,7073
125,2021-09-29,44.0,153.47,2,420179,7107
126,2021-09-30,12.0,163.09,2,421319,7150
127,2021-10-01,5.0,191.91,2,422329,7166
128,2021-10-02,48.0,180.5,2,422329,7166
129,2021-10-03,-19.0,141.94,2,422329,7166
