,date,mobility_sum,apple_mobility,distance,cases,deaths
0,2021-05-27,98.0,153.13,0,2097465,52685
1,2021-05-28,3.0,158.24,0,2098395,52710
2,2021-05-29,-35.0,138.93,0,2099261,52724
3,2021-05-30,-131.0,114.99,0,2100109,52740
4,2021-05-31,-45.0,119.24,0,2100633,52758
5,2021-06-01,12.0,136.26,0,2101111,52784
6,2021-06-02,19.0,140.28,0,2101514,52793
7,2021-06-03,33.0,137.68,0,2102003,52811
8,2021-06-04,26.0,166.37,0,2102760,52840
9,2021-06-05,171.0,178.76,0,2103612,52852
10,2021-06-06,75.0,143.15,0,2104103,52885
11,2021-06-07,53.0,138.37,0,2104622,52895
12,2021-06-08,-8.0,138.98,0,2105081,52906
13,2021-06-09,28.0,146.59,0,2105507,52914
14,2021-06-10,110.0,155.93,0,2106056,52927
15,2021-06-11,68.0,174.91,0,2106742,52942
16,2021-06-12,113.0,174.21,0,2107172,52958
17,2021-06-13,48.0,139.44,0,2107535,52968
18,2021-06-14,10.0,135.28,0,2107912,52977
19,2021-06-15,75.0,148.57,0,2108249,52993
20,2021-06-16,49.0,153.97,0,2108535,52995
21,2021-06-17,122.0,165.71,0,2108978,53009
22,2021-06-18,69.0,189.28,0,2109393,53017
23,2021-06-19,100.0,180.29,0,2109782,53024
24,2021-06-20,62.0,141.06,0,2110069,53026
25,2021-06-21,65.0,146.54,0,2110346,53034
26,2021-06-22,-11.0,148.16,0,2110612,53048
27,2021-06-23,55.0,161.71,0,2110862,53056
28,2021-06-24,123.0,169.8,0,2111245,53052
29,2021-06-25,76.0,191.12,0,2111588,53060
30,2021-06-26,97.0,186.76,0,2111933,53066
31,2021-06-27,44.0,156.29,0,2112307,53081
32,2021-06-28,78.0,153.91,0,2112628,53089
33,2021-06-29,30.0,156.43,0,2112872,53093
34,2021-06-30,12.0,157.38,0,2113147,53095
35,2021-07-01,61.0,159.61,0,2113544,53107
36,2021-07-02,35.0,172.42,0,2114018,53109
37,2021-07-03,27.0,154.86,0,2114297,53109
38,2021-07-04,73.0,145.06,0,2114609,53118
39,2021-07-05,30.0,140.96,0,2114985,53122
40,2021-07-06,-23.0,152.13,0,2115292,53127
41,2021-07-07,20.0,161.69,0,2115633,53134
42,2021-07-08,46.0,161.56,0,2116270,53138
43,2021-07-09,31.0,177.27,0,2117024,53142
44,2021-07-10,123.0,181.69,0,2117754,53149
45,2021-07-11,23.0,140.16,0,2118565,53151
46,2021-07-12,52.0,146.77,0,2119207,53153
47,2021-07-13,38.0,152.89,0,2119875,53159
48,2021-07-14,26.0,157.93,0,2120600,53170
49,2021-07-15,123.0,173.14,0,2121529,53175
50,2021-07-16,73.0,187.26,0,2122158,53176
51,2021-07-17,47.0,170.08,0,2123579,53181
52,2021-07-18,43.0,144.77,0,2124722,53191
53,2021-07-19,77.0,152.02,0,2125663,53195
54,2021-07-20,25.0,156.51,0,2126775,53200
55,2021-07-21,19.0,155.14,0,2127867,53207
56,2021-07-22,119.0,167.35,0,2129478,53214
57,2021-07-23,100.0,186.86,0,2131176,53216
58,2021-07-24,128.0,183.92,0,2133044,53219
59,2021-07-25,20.0,143.6,0,2135076,53228
60,2021-07-26,92.0,151.63,0,2136602,53235
61,2021-07-27,15.0,152.54,0,2138250,53236
62,2021-07-28,27.0,156.04,0,2140050,53248
63,2021-07-29,42.0,153.02,0,2142694,53250
64,2021-07-30,89.0,185.71,0,2145309,53257
65,2021-07-31,123.0,181.12,0,2148445,53266
66,2021-08-01,24.0,140.49,0,2151035,53274
67,2021-08-02,109.0,149.86,0,2153243,53281
68,2021-08-03,18.0,152.18,0,2156305,53294
69,2021-08-04,11.0,153.84,0,2159139,53301
70,2021-08-05,61.0,155.88,0,2162581,53315
71,2021-08-06,83.0,184.89,0,2166341,53318
