,date,mobility_sum,apple_mobility,distance,cases,deaths
0,2021-05-27,157.0,168.45,1,1100312,19753
1,2021-05-28,130.0,176.52,1,1100972,19861
2,2021-05-29,84.0,168.65,1,1101557,19861
3,2021-05-30,128.0,141.48,1,1101934,19861
4,2021-05-31,108.0,125.93,1,1101934,19861
5,2021-06-01,135.0,158.01,1,1102556,19861
6,2021-06-02,-25.0,152.64,1,1102890,19923
7,2021-06-03,146.0,162.81,1,1103380,19923
8,2021-06-04,155.0,197.33,1,1104001,19980
9,2021-06-05,278.0,191.35,1,1104380,19980
10,2021-06-06,242.0,146.42,1,1104648,19980
11,2021-06-07,166.0,155.14,1,1104903,19980
12,2021-06-08,95.0,160.76,1,1105329,20021
13,2021-06-09,96.0,161.09,1,1105720,20021
14,2021-06-10,132.0,172.14,1,1106064,20021
15,2021-06-11,136.0,194.83,1,1106411,20091
16,2021-06-12,281.0,191.43,1,1106796,20091
17,2021-06-13,209.0,147.88,1,1107047,20091
18,2021-06-14,161.0,162.9,1,1107225,20091
19,2021-06-15,136.0,168.02,1,1107521,20122
20,2021-06-16,140.0,172.13,1,1107902,20122
21,2021-06-17,173.0,181.7,1,1108146,20122
22,2021-06-18,95.0,187.82,1,1108528,20166
23,2021-06-19,221.0,181.03,1,1108736,20166
24,2021-06-20,172.0,136.31,1,1108902,20166
25,2021-06-21,91.0,157.04,1,1109025,20166
26,2021-06-22,127.0,168.66,1,1109374,20213
27,2021-06-23,126.0,170.49,1,1109697,20213
28,2021-06-24,187.0,180.46,1,1110000,20213
29,2021-06-25,134.0,197.49,1,1110292,20281
30,2021-06-26,231.0,194.17,1,1110546,20281
31,2021-06-27,211.0,151.02,1,1110700,20281
32,2021-06-28,128.0,162.13,1,1110847,20281
33,2021-06-29,62.0,165.21,1,1111124,20309
34,2021-06-30,140.0,165.26,1,1111324,20309
35,2021-07-01,152.0,174.87,1,1111903,20309
36,2021-07-02,158.0,197.91,1,1112088,20344
37,2021-07-03,261.0,175.11,1,1112289,20344
38,2021-07-04,130.0,139.1,1,1112289,20344
39,2021-07-05,92.0,142.91,1,1112499,20344
40,2021-07-06,104.0,166.88,1,1112689,20344
41,2021-07-07,196.0,166.48,1,1113006,20366
42,2021-07-08,88.0,173.64,1,1113383,20366
43,2021-07-09,100.0,199.21,1,1113737,20380
44,2021-07-10,238.0,187.73,1,1114036,20380
45,2021-07-11,197.0,136.46,1,1114267,20380
46,2021-07-12,88.0,157.39,1,1114491,20380
47,2021-07-13,151.0,163.65,1,1114835,20411
48,2021-07-14,222.0,171.68,1,1115242,20411
49,2021-07-15,132.0,180.98,1,1115789,20411
50,2021-07-16,148.0,196.08,1,1116322,20437
51,2021-07-17,148.0,185.95,1,1116808,20437
52,2021-07-18,243.0,152.62,1,1117109,20437
53,2021-07-19,137.0,164.04,1,1117769,20437
54,2021-07-20,91.0,168.91,1,1118513,20449
55,2021-07-21,102.0,171.07,1,1119298,20449
56,2021-07-22,134.0,179.03,1,1120120,20449
