,date,mobility_sum,apple_mobility,distance,cases,deaths
0,2021-05-27,9.0,152.68,2,452633,7291
1,2021-05-28,116.0,205.91,2,452777,7291
2,2021-05-29,110.0,176.99,2,452777,7291
3,2021-05-30,56.0,138.37,2,452777,7291
4,2021-05-31,-108.0,124.4,2,453172,7291
5,2021-06-01,71.0,159.19,2,453243,7291
6,2021-06-02,111.0,164.22,2,453285,7316
7,2021-06-03,135.0,176.03,2,453400,7316
8,2021-06-04,112.0,203.07,2,453552,7316
9,2021-06-05,122.0,186.18,2,453552,7316
10,2021-06-06,43.0,139.92,2,453552,7316
11,2021-06-07,13.0,158.62,2,453890,7316
12,2021-06-08,100.0,165.08,2,453970,7316
13,2021-06-09,112.0,165.47,2,454094,7325
14,2021-06-10,83.0,177.0,2,454216,7325
15,2021-06-11,33.0,199.23,2,454394,7325
16,2021-06-12,107.0,183.75,2,454394,7325
17,2021-06-13,30.0,141.29,2,454394,7325
18,2021-06-14,51.0,161.85,2,454884,7325
19,2021-06-15,77.0,165.33,2,454929,7325
20,2021-06-16,93.0,166.32,2,455145,7354
21,2021-06-17,67.0,174.44,2,455354,7354
22,2021-06-18,67.0,198.93,2,455535,7354
23,2021-06-19,110.0,180.6,2,455535,7354
24,2021-06-20,9.0,130.27,2,455535,7354
25,2021-06-21,22.0,153.62,2,455986,7354
26,2021-06-22,99.0,165.87,2,456148,7354
27,2021-06-23,110.0,166.8,2,456413,7384
28,2021-06-24,67.0,175.57,2,456686,7384
29,2021-06-25,3.0,200.11,2,456910,7384
30,2021-06-26,48.0,171.94,2,456910,7384
31,2021-06-27,-8.0,132.2,2,456910,7384
32,2021-06-28,3.0,151.41,2,457490,7384
33,2021-06-29,22.0,152.46,2,457575,7384
34,2021-06-30,69.0,160.87,2,457851,7388
35,2021-07-01,19.0,164.34,2,458150,7388
36,2021-07-02,108.0,196.25,2,458483,7388
37,2021-07-03,96.0,163.11,2,458483,7388
38,2021-07-04,44.0,130.24,2,458483,7388
39,2021-07-05,-4.0,144.06,2,458483,7388
40,2021-07-06,74.0,161.96,2,459524,7388
41,2021-07-07,84.0,164.37,2,459675,7406
42,2021-07-08,76.0,174.03,2,460131,7406
43,2021-07-09,28.0,194.99,2,460682,7406
44,2021-07-10,59.0,175.17,2,460682,7406
45,2021-07-11,20.0,134.93,2,460682,7406
46,2021-07-12,52.0,158.96,2,461893,7406
47,2021-07-13,77.0,161.2,2,462070,7406
48,2021-07-14,93.0,164.2,2,463152,7417
49,2021-07-15,77.0,173.64,2,463857,7417
50,2021-07-16,22.0,195.17,2,464607,7417
51,2021-07-17,61.0,176.88,2,464607,7417
52,2021-07-18,14.0,136.45,2,464607,7417
53,2021-07-19,43.0,158.68,2,466733,7417
54,2021-07-20,79.0,160.69,2,467198,7417
55,2021-07-21,93.0,162.43,2,468401,7454
56,2021-07-22,86.0,171.11,2,469982,7454
57,2021-07-23,31.0,192.14,2,471176,7454
58,2021-07-24,67.0,177.19,2,471176,7454
59,2021-07-25,-15.0,137.26,2,471176,7454
60,2021-07-26,20.0,157.4,2,474845,7454
61,2021-07-27,42.0,159.92,2,475578,7454
62,2021-07-28,66.0,160.99,2,477052,7485
63,2021-07-29,44.0,168.85,2,478858,7485
64,2021-07-30,27.0,193.48,2,480635,7485
65,2021-07-31,64.0,175.09,2,480635,7485
66,2021-08-01,8.0,132.58,2,480635,7485
67,2021-08-02,62.0,155.59,2,486232,7485
68,2021-08-03,87.0,157.14,2,487178,7485
69,2021-08-04,92.0,158.33,2,489338,7531
70,2021-08-05,70.0,159.5,2,491680,7531
71,2021-08-06,28.0,188.7,2,493983,7531
72,2021-08-07,66.0,175.54,2,493983,7531
73,2021-08-08,1.0,131.28,2,493983,7531
74,2021-08-09,29.0,155.93,2,500311,7531
