,date,mobility_sum,apple_mobility,distance,cases,deaths
0,2021-05-27,0.0,148.88,2,200219,2679
1,2021-05-28,29.0,185.55,2,200632,2681
2,2021-05-29,11.0,167.62,2,201005,2682
3,2021-05-30,-6.0,147.66,2,201260,2684
4,2021-05-31,-28.0,148.35,2,201561,2700
5,2021-06-01,-10.0,150.65,2,201701,2703
6,2021-06-02,38.0,155.13,2,202078,2706
7,2021-06-03,1.0,159.72,2,202286,2711
8,2021-06-04,21.0,183.5,2,202762,2717
9,2021-06-05,13.0,166.78,2,203033,2718
10,2021-06-06,18.0,134.87,2,203252,2719
11,2021-06-07,-23.0,144.16,2,203411,2724
12,2021-06-08,-15.0,149.4,2,203679,2729
13,2021-06-09,30.0,161.25,2,204016,2746
14,2021-06-10,29.0,164.74,2,204317,2751
15,2021-06-11,-4.0,183.25,2,204653,2756
16,2021-06-12,19.0,174.71,2,204898,2759
17,2021-06-13,-47.0,145.34,2,205030,2759
18,2021-06-14,-30.0,156.14,2,205154,2759
19,2021-06-15,-14.0,158.08,2,205459,2764
20,2021-06-16,58.0,171.73,2,205780,2775
21,2021-06-17,13.0,184.16,2,206038,2776
22,2021-06-18,39.0,208.15,2,206299,2780
23,2021-06-19,43.0,185.64,2,206581,2783
24,2021-06-20,90.0,153.78,2,206777,2784
25,2021-06-21,-34.0,182.16,2,206854,2786
26,2021-06-22,-3.0,171.51,2,207106,2786
27,2021-06-23,35.0,178.88,2,207417,2790
28,2021-06-24,-4.0,187.35,2,207617,2791
29,2021-06-25,13.0,209.45,2,207884,2792
30,2021-06-26,-58.0,182.36,2,208071,2794
31,2021-06-27,-26.0,158.91,2,208192,2794
32,2021-06-28,-58.0,163.37,2,208310,2796
33,2021-06-29,-47.0,168.68,2,208504,2799
34,2021-06-30,29.0,174.3,2,208680,2803
35,2021-07-01,49.0,184.66,2,208900,2808
36,2021-07-02,10.0,205.34,2,209082,2811
37,2021-07-03,2.0,173.39,2,209082,2811
38,2021-07-04,60.0,139.78,2,209082,2811
39,2021-07-05,-42.0,165.25,2,209082,2811
40,2021-07-06,-1.0,176.66,2,209561,2812
41,2021-07-07,19.0,176.89,2,209800,2818
42,2021-07-08,-4.0,186.69,2,210042,2819
43,2021-07-09,17.0,211.73,2,210287,2822
44,2021-07-10,19.0,190.84,2,210287,2822
45,2021-07-11,81.0,165.98,2,210287,2822
46,2021-07-12,-8.0,176.39,2,210794,2826
47,2021-07-13,7.0,176.47,2,211112,2829
48,2021-07-14,36.0,185.96,2,211357,2830
49,2021-07-15,15.0,192.82,2,211654,2837
50,2021-07-16,19.0,218.33,2,212030,2848
51,2021-07-17,42.0,196.82,2,212030,2848
52,2021-07-18,5.0,171.49,2,212030,2848
53,2021-07-19,-4.0,177.52,2,212755,2857
54,2021-07-20,11.0,176.52,2,213339,2863
55,2021-07-21,17.0,180.33,2,213730,2864
56,2021-07-22,0.0,190.28,2,214263,2865
57,2021-07-23,1.0,211.09,2,214869,2867
58,2021-07-24,13.0,191.49,2,214869,2867
59,2021-07-25,79.0,166.73,2,214869,2867
60,2021-07-26,-4.0,172.95,2,215853,2867
61,2021-07-27,6.0,171.01,2,216875,2872
62,2021-07-28,8.0,176.95,2,217690,2878
63,2021-07-29,-24.0,184.76,2,218689,2884
64,2021-07-30,5.0,200.43,2,219756,2886
65,2021-07-31,12.0,181.92,2,219755,2886
66,2021-08-01,98.0,164.7,2,219755,2886
67,2021-08-02,-9.0,168.82,2,221799,2890
68,2021-08-03,10.0,169.09,2,223364,2899
69,2021-08-04,9.0,175.52,2,224547,2904
70,2021-08-05,21.0,179.44,2,225919,2912
