,date,mobility_sum,apple_mobility,distance,cases,deaths
0,2021-05-27,160.0,159.56,0,1204359,27219
1,2021-05-28,8.0,170.29,0,1205240,27242
2,2021-05-29,87.0,149.41,0,1205950,27257
3,2021-05-30,-29.0,122.87,0,1206440,27263
4,2021-05-31,154.0,122.74,0,1206755,27268
5,2021-06-01,138.0,144.59,0,1207596,27270
6,2021-06-02,122.0,149.21,0,1208133,27315
7,2021-06-03,42.0,149.74,0,1208879,27349
8,2021-06-04,96.0,181.19,0,1209492,27380
9,2021-06-05,247.0,182.51,0,1209878,27404
10,2021-06-06,146.0,143.13,0,1210213,27408
11,2021-06-07,67.0,147.73,0,1210691,27414
12,2021-06-08,93.0,149.79,0,1211114,27446
13,2021-06-09,58.0,155.97,0,1211487,27472
14,2021-06-10,77.0,165.88,0,1212155,27493
15,2021-06-11,-35.0,183.54,0,1212529,27510
16,2021-06-12,201.0,183.3,0,1212822,27526
17,2021-06-13,67.0,141.7,0,1213003,27540
18,2021-06-14,67.0,149.61,0,1213350,27543
19,2021-06-15,138.0,156.79,0,1213772,27566
20,2021-06-16,131.0,162.33,0,1214051,27582
21,2021-06-17,129.0,168.0,0,1214395,27597
22,2021-06-18,88.0,189.47,0,1214620,27612
23,2021-06-19,160.0,177.42,0,1214797,27612
24,2021-06-20,111.0,136.82,0,1214901,27621
25,2021-06-21,18.0,149.26,0,1215116,27623
26,2021-06-22,4.0,149.93,0,1215239,27655
27,2021-06-23,154.0,164.28,0,1215374,27662
28,2021-06-24,130.0,170.12,0,1215735,27675
29,2021-06-25,89.0,192.9,0,1215889,27685
30,2021-06-26,249.0,185.27,0,1216036,27691
31,2021-06-27,106.0,149.45,0,1216140,27702
32,2021-06-28,61.0,157.08,0,1216293,27705
33,2021-06-29,66.0,160.08,0,1216430,27717
34,2021-06-30,61.0,162.25,0,1216579,27725
35,2021-07-01,25.0,165.74,0,1216965,27684
36,2021-07-02,78.0,185.04,0,1217115,27692
37,2021-07-03,224.0,161.09,0,1217282,27702
38,2021-07-04,190.0,133.91,0,1217393,27704
39,2021-07-05,105.0,140.92,0,1217492,27704
40,2021-07-06,87.0,157.48,0,1217567,27705
41,2021-07-07,83.0,163.22,0,1217707,27715
42,2021-07-08,24.0,164.93,0,1218097,27726
43,2021-07-09,58.0,193.0,0,1218291,27734
44,2021-07-10,246.0,187.24,0,1218500,27742
45,2021-07-11,39.0,143.05,0,1218649,27746
46,2021-07-12,35.0,153.73,0,1218886,27747
47,2021-07-13,100.0,158.48,0,1219161,27756
48,2021-07-14,93.0,165.71,0,1219405,27769
49,2021-07-15,98.0,172.92,0,1219722,27779
50,2021-07-16,48.0,194.59,0,1220060,27786
51,2021-07-17,158.0,178.12,0,1220385,27790
52,2021-07-18,115.0,147.12,0,1220670,27792
53,2021-07-19,70.0,157.31,0,1221350,27795
54,2021-07-20,123.0,160.73,0,1221836,27805
55,2021-07-21,92.0,168.26,0,1222311,27813
56,2021-07-22,136.0,172.99,0,1223026,27819
57,2021-07-23,96.0,191.28,0,1223476,27820
58,2021-07-24,231.0,182.59,0,1224059,27823
59,2021-07-25,80.0,144.47,0,1224441,27827
60,2021-07-26,57.0,154.37,0,1225327,27827
61,2021-07-27,98.0,156.59,0,1226157,27831
62,2021-07-28,96.0,164.09,0,1226720,27838
63,2021-07-29,46.0,159.51,0,1228104,27842
64,2021-07-30,74.0,190.13,0,1229002,27850
65,2021-07-31,244.0,182.12,0,1229002,27850
66,2021-08-01,30.0,137.02,0,1230824,27855
67,2021-08-02,85.0,152.45,0,1232238,27857
68,2021-08-03,147.0,154.06,0,1233461,27868
69,2021-08-04,94.0,158.13,0,1235196,27883
70,2021-08-05,99.0,159.79,0,1236887,27890
71,2021-08-06,58.0,187.27,0,1238552,27898
72,2021-08-07,198.0,177.3,0,1240072,27902
73,2021-08-08,95.0,145.15,0,1240072,27902
74,2021-08-09,44.0,152.97,0,1242724,27903
75,2021-08-10,46.0,154.35,0,1244753,27914
76,2021-08-11,19.0,160.26,0,1246528,27925
77,2021-08-12,57.0,168.72,0,1248787,27941
78,2021-08-13,-4.0,190.35,0,1250885,27957
79,2021-08-14,188.0,182.8,0,1252812,27966
80,2021-08-15,108.0,147.98,0,1254794,27966
81,2021-08-16,21.0,151.91,0,1256689,27966
82,2021-08-17,35.0,154.44,0,1258774,27993
83,2021-08-18,-23.0,160.4,0,1261160,28018
84,2021-08-19,60.0,175.97,0,1265068,28040
85,2021-08-20,-1.0,193.62,0,1267612,28059
86,2021-08-21,176.0,190.38,0,1270001,28075
87,2021-08-22,-42.0,142.04,0,1271900,28076
88,2021-08-23,32.0,158.47,0,1274337,28076
89,2021-08-24,79.0,162.16,0,1277105,28098
90,2021-08-25,60.0,164.72,0,1281199,28131
91,2021-08-26,60.0,168.09,0,1284532,28158
92,2021-08-27,-17.0,190.8,0,1288041,28180
93,2021-08-28,146.0,180.36,0,1291831,28208
94,2021-08-29,74.0,139.07,0,1294730,28213
95,2021-08-30,21.0,148.57,0,1297119,28214
96,2021-08-31,83.0,151.22,0,1300368,28235
97,2021-09-01,-155.0,140.21,0,1303699,28235
98,2021-09-02,79.0,184.4,0,1308284,28325
99,2021-09-03,59.0,204.63,0,1311722,28352
100,2021-09-04,165.0,181.73,0,1316505,28380
101,2021-09-05,-12.0,139.99,0,1319681,28395
102,2021-09-06,99.0,132.04,0,1322184,28398
103,2021-09-07,89.0,154.2,0,1324720,28408
104,2021-09-08,69.0,154.59,0,1329111,28446
105,2021-09-09,31.0,159.72,0,1333308,28498
106,2021-09-10,52.0,189.54,0,1338313,28535
107,2021-09-11,184.0,186.4,0,1343444,28566
108,2021-09-12,88.0,138.07,0,1347569,28566
109,2021-09-13,28.0,147.37,0,1350719,28568
110,2021-09-14,87.0,151.35,0,1354451,28651
111,2021-09-15,44.0,156.02,0,1359263,28696
112,2021-09-16,58.0,160.58,0,1365049,28768
113,2021-09-17,19.0,197.19,0,1370247,28812
114,2021-09-18,259.0,198.59,0,1375864,28845
115,2021-09-19,98.0,148.82,0,1380364,28862
116,2021-09-20,49.0,147.63,0,1382933,28864
117,2021-09-21,86.0,149.92,0,1387872,28932
118,2021-09-22,-19.0,151.11,0,1392266,28998
119,2021-09-23,10.0,152.94,0,1397755,29030
120,2021-09-24,57.0,200.54,0,1402826,29064
121,2021-09-25,202.0,196.13,0,1407792,29128
122,2021-09-26,114.0,146.23,0,1412039,29141
123,2021-09-27,52.0,148.63,0,1415049,29151
124,2021-09-28,51.0,144.37,0,1420478,29226
125,2021-09-29,83.0,153.45,0,1425048,29323
126,2021-09-30,74.0,162.66,0,1429940,29400
127,2021-10-01,57.0,197.49,0,1435292,29437
128,2021-10-02,232.0,197.7,0,1438684,29488
129,2021-10-03,120.0,144.61,0,1444973,29519
130,2021-10-04,20.0,146.06,0,1449368,29531
131,2021-10-05,54.0,149.35,0,1453387,29611
132,2021-10-06,49.0,154.49,0,1458445,29722
133,2021-10-07,76.0,163.56,0,1464264,29814
134,2021-10-08,40.0,203.16,0,1469847,29907
135,2021-10-09,225.0,198.75,0,1475457,29907
136,2021-10-10,45.0,147.47,0,1479364,29907
137,2021-10-11,30.0,152.54,0,1482236,29907
138,2021-10-12,60.0,151.37,0,1486134,30058
139,2021-10-13,60.0,155.4,0,1491146,30228
140,2021-10-14,89.0,171.33,0,1496399,30336
141,2021-10-15,50.0,199.19,0,1502124,30418
142,2021-10-16,131.0,189.72,0,1506609,30418
143,2021-10-17,66.0,151.97,0,1510430,30418
144,2021-10-18,12.0,146.97,0,1513332,30523
145,2021-10-19,90.0,152.74,0,1517231,30587
146,2021-10-20,77.0,155.72,0,1520815,30721
147,2021-10-21,84.0,161.64,0,1525813,30815
148,2021-10-22,54.0,196.07,0,1530309,30903
