,date,mobility_sum,apple_mobility,distance,cases,deaths
0,2021-05-27,228.0,171.12,1,151691,2708
1,2021-05-28,134.0,181.97,1,151743,2708
2,2021-05-29,79.0,161.53,1,151743,2708
3,2021-05-30,-31.0,133.53,1,151743,2708
4,2021-05-31,73.0,129.99,1,151743,2708
5,2021-06-01,123.0,155.89,1,151844,2712
6,2021-06-02,179.0,162.06,1,151895,2712
7,2021-06-03,116.0,161.68,1,151936,2715
8,2021-06-04,108.0,186.06,1,151992,2717
9,2021-06-05,336.0,204.01,1,151992,2717
10,2021-06-06,192.0,177.68,1,151992,2717
11,2021-06-07,150.0,166.94,1,152074,2717
12,2021-06-08,89.0,165.62,1,152106,2719
13,2021-06-09,161.0,169.23,1,152153,2722
14,2021-06-10,157.0,176.2,1,152187,2722
15,2021-06-11,220.0,200.76,1,152213,2722
16,2021-06-12,225.0,194.6,1,152213,2722
17,2021-06-13,347.0,166.49,1,152213,2722
18,2021-06-14,144.0,150.15,1,152273,2722
19,2021-06-15,103.0,162.16,1,152306,2723
20,2021-06-16,138.0,173.5,1,152333,2723
21,2021-06-17,167.0,184.56,1,152359,2724
22,2021-06-18,166.0,214.48,1,152383,2724
23,2021-06-19,304.0,208.48,1,152383,2724
24,2021-06-20,217.0,163.12,1,152383,2724
25,2021-06-21,137.0,168.44,1,152429,2724
26,2021-06-22,13.0,167.51,1,152443,2726
27,2021-06-23,160.0,184.47,1,152481,2726
28,2021-06-24,193.0,192.55,1,152501,2727
29,2021-06-25,115.0,210.76,1,152514,2728
30,2021-06-26,281.0,207.02,1,152514,2728
31,2021-06-27,397.0,170.78,1,152514,2728
32,2021-06-28,152.0,180.59,1,152567,2728
33,2021-06-29,87.0,186.39,1,152589,2728
34,2021-06-30,92.0,185.89,1,152613,2730
35,2021-07-01,54.0,185.34,1,152618,2730
36,2021-07-02,11.0,196.21,1,152643,2730
37,2021-07-03,62.0,176.17,1,152643,2730
38,2021-07-04,171.0,157.42,1,152643,2730
39,2021-07-05,250.0,169.43,1,152643,2730
40,2021-07-06,108.0,178.44,1,152698,2730
41,2021-07-07,126.0,190.66,1,152738,2730
42,2021-07-08,113.0,182.95,1,152748,2730
43,2021-07-09,31.0,180.71,1,152729,2730
44,2021-07-10,249.0,203.32,1,152729,2730
45,2021-07-11,185.0,167.63,1,152729,2730
46,2021-07-12,67.0,165.32,1,152819,2731
47,2021-07-13,106.0,176.9,1,152842,2731
48,2021-07-14,119.0,185.3,1,152873,2732
49,2021-07-15,206.0,202.26,1,152927,2736
50,2021-07-16,100.0,223.48,1,152971,2736
51,2021-07-17,196.0,210.94,1,152971,2736
52,2021-07-18,292.0,164.5,1,152971,2736
53,2021-07-19,119.0,171.79,1,153103,2737
54,2021-07-20,158.0,191.71,1,153168,2738
55,2021-07-21,99.0,180.67,1,153269,2738
56,2021-07-22,205.0,196.77,1,153355,2739
57,2021-07-23,145.0,220.29,1,153447,2739
58,2021-07-24,346.0,222.99,1,153447,2739
59,2021-07-25,153.0,156.23,1,153447,2739
60,2021-07-26,178.0,184.04,1,153697,2739
61,2021-07-27,144.0,188.53,1,153802,2739
62,2021-07-28,119.0,179.86,1,153954,2739
63,2021-07-29,105.0,184.06,1,154153,2739
64,2021-07-30,157.0,222.16,1,154339,2740
65,2021-07-31,333.0,214.89,1,154339,2740
66,2021-08-01,214.0,172.14,1,154339,2740
67,2021-08-02,196.0,178.76,1,154790,2740
68,2021-08-03,159.0,178.95,1,154985,2740
69,2021-08-04,47.0,176.08,1,155287,2743
70,2021-08-05,4.0,169.26,1,155527,2743
71,2021-08-06,149.0,222.3,1,155825,2743
72,2021-08-07,306.0,214.86,1,155825,2743
73,2021-08-08,365.0,168.55,1,155825,2743
74,2021-08-09,111.0,159.96,1,155825,2743
75,2021-08-10,127.0,177.12,1,156539,2744
76,2021-08-11,114.0,187.67,1,156824,2744
77,2021-08-12,132.0,194.05,1,157188,2744
78,2021-08-13,99.0,217.93,1,157589,2744
79,2021-08-14,213.0,202.7,1,157589,2744
80,2021-08-15,253.0,176.65,1,157589,2744
81,2021-08-16,170.0,173.34,1,158283,2747
82,2021-08-17,124.0,176.98,1,158614,2747
83,2021-08-18,97.0,182.23,1,159019,2748
84,2021-08-19,35.0,173.87,1,159355,2752
85,2021-08-20,108.0,201.11,1,159710,2753
86,2021-08-21,253.0,200.04,1,159710,2753
87,2021-08-22,-136.0,81.17,1,159710,2753
88,2021-08-23,11.0,154.11,1,160329,2757
89,2021-08-24,104.0,180.86,1,160565,2759
90,2021-08-25,100.0,189.45,1,160948,2760
91,2021-08-26,120.0,194.23,1,161303,2762
92,2021-08-27,78.0,209.57,1,161701,2764
93,2021-08-28,262.0,206.02,1,161701,2764
94,2021-08-29,191.0,161.23,1,161701,2764
95,2021-08-30,101.0,167.15,1,162325,2769
96,2021-08-31,102.0,175.96,1,162617,2770
97,2021-09-01,163.0,172.86,1,162969,2772
98,2021-09-02,162.0,186.12,1,163388,2772
99,2021-09-03,124.0,219.89,1,163742,2773
100,2021-09-04,407.0,211.97,1,163742,2773
101,2021-09-05,291.0,172.39,1,163742,2773
102,2021-09-06,184.0,161.06,1,163742,2773
103,2021-09-07,109.0,187.12,1,164648,2778
104,2021-09-08,71.0,186.73,1,165083,2782
105,2021-09-09,76.0,181.45,1,165454,2787
106,2021-09-10,108.0,218.02,1,165849,2793
107,2021-09-11,321.0,207.18,1,165849,2793
108,2021-09-12,240.0,159.42,1,165849,2793
109,2021-09-13,123.0,168.12,1,166811,2802
110,2021-09-14,91.0,171.84,1,167245,2808
111,2021-09-15,71.0,178.98,1,167653,2809
112,2021-09-16,26.0,177.13,1,167975,2810
113,2021-09-17,143.0,210.86,1,168449,2812
114,2021-09-18,278.0,211.73,1,168449,2812
115,2021-09-19,260.0,163.51,1,168449,2812
116,2021-09-20,112.0,165.7,1,169350,2815
117,2021-09-21,88.0,168.15,1,169686,2816
118,2021-09-22,73.0,170.41,1,170009,2818
119,2021-09-23,140.0,178.35,1,170293,2820
120,2021-09-24,159.0,201.53,1,170700,2823
121,2021-09-25,199.0,207.0,1,170700,2823
122,2021-09-26,164.0,160.38,1,170700,2823
123,2021-09-27,104.0,163.19,1,171451,2832
124,2021-09-28,49.0,158.25,1,171751,2834
125,2021-09-29,119.0,171.23,1,172064,2836
126,2021-09-30,133.0,185.0,1,172361,2838
127,2021-10-01,184.0,223.2,1,172719,2838
128,2021-10-02,373.0,231.68,1,172719,2838
129,2021-10-03,141.0,166.32,1,172719,2838
130,2021-10-04,13.0,151.23,1,173357,2843
131,2021-10-05,106.0,163.8,1,173603,2845
132,2021-10-06,133.0,171.55,1,173937,2848
133,2021-10-07,161.0,184.15,1,174171,2852
134,2021-10-08,159.0,224.05,1,174570,2854
135,2021-10-09,197.0,215.99,1,174570,2854
136,2021-10-10,8.0,164.47,1,174570,2854
137,2021-10-11,161.0,160.6,1,174570,2854
138,2021-10-12,74.0,165.85,1,175487,2856
139,2021-10-13,122.0,172.86,1,175777,2857
140,2021-10-14,172.0,186.2,1,176090,2860
141,2021-10-15,150.0,220.03,1,176405,2860
142,2021-10-16,271.0,228.39,1,176405,2860
143,2021-10-17,59.0,170.89,1,176405,2860
144,2021-10-18,100.0,161.27,1,177052,2861
145,2021-10-19,98.0,164.96,1,177280,2867
146,2021-10-20,102.0,170.23,1,177508,2869
147,2021-10-21,166.0,181.84,1,177804,2871
148,2021-10-22,133.0,221.38,1,177998,2872
149,2021-10-23,240.0,218.96,1,177998,2872
150,2021-10-24,34.0,160.87,1,177998,2872
151,2021-10-25,38.0,154.99,1,178461,2874
152,2021-10-26,-48.0,149.36,1,178646,2876
153,2021-10-27,-59.0,154.6,1,178907,2877
154,2021-10-28,77.0,181.68,1,179171,2878
155,2021-10-29,76.0,211.05,1,179405,2878
156,2021-10-30,-32.0,190.21,1,179405,2878
157,2021-10-31,18.0,152.2,1,179405,2878
158,2021-11-01,66.0,153.17,1,179963,2879
159,2021-11-02,39.0,155.81,1,180187,2881
160,2021-11-03,48.0,157.67,1,180488,2881
161,2021-11-04,45.0,165.85,1,180809,2881
162,2021-11-05,45.0,191.71,1,181079,2881
163,2021-11-06,115.0,190.63,1,181079,2881
164,2021-11-07,-28.0,136.84,1,181079,2881
165,2021-11-08,52.0,141.78,1,181835,2882
166,2021-11-09,91.0,152.47,1,182175,2884
167,2021-11-10,57.0,170.01,1,182486,2887
168,2021-11-11,22.0,167.44,1,182486,2887
169,2021-11-12,-63.0,190.49,1,183257,2890
170,2021-11-13,77.0,195.04,1,183257,2890
171,2021-11-14,-58.0,139.97,1,183257,2890
172,2021-11-15,18.0,162.39,1,184220,2896
173,2021-11-16,16.0,157.68,1,184777,2901
174,2021-11-17,31.0,162.06,1,185254,2902
175,2021-11-18,85.0,173.51,1,185799,2903
176,2021-11-19,31.0,204.39,1,186387,2906
177,2021-11-20,41.0,191.89,1,186387,2906
178,2021-11-21,-68.0,139.05,1,186387,2906
179,2021-11-22,12.0,157.88,1,187531,2913
180,2021-11-23,55.0,182.59,1,188135,2913
181,2021-11-24,97.0,187.66,1,188561,2915
182,2021-11-25,-214.0,96.51,1,188561,2915
183,2021-11-26,-84.0,155.45,1,188561,2915
184,2021-11-27,-9.0,164.81,1,188561,2915
185,2021-11-28,-132.0,130.75,1,188561,2915
186,2021-11-29,-6.0,147.64,1,190975,2927
187,2021-11-30,-20.0,158.58,1,191763,2932
188,2021-12-01,14.0,159.26,1,192741,2935
189,2021-12-02,8.0,160.01,1,193714,2939
190,2021-12-03,3.0,193.28,1,194858,2941
191,2021-12-04,6.0,189.9,1,194858,2941
192,2021-12-05,-67.0,137.38,1,194858,2941
