,date,mobility_sum,apple_mobility,distance,cases,deaths
0,2021-05-27,79.0,188.74,2,592243,9711
1,2021-05-28,91.0,222.35,2,592651,9726
2,2021-05-29,129.0,211.99,2,592912,9728
3,2021-05-30,87.0,167.35,2,593092,9732
4,2021-05-31,44.0,156.74,2,593262,9736
5,2021-06-01,75.0,176.36,2,593262,9736
6,2021-06-02,61.0,173.9,2,593526,9739
7,2021-06-03,56.0,183.91,2,593628,9739
8,2021-06-04,96.0,212.03,2,593727,9744
9,2021-06-05,191.0,210.46,2,593948,9752
10,2021-06-06,113.0,156.67,2,594130,9754
11,2021-06-07,2.0,172.27,2,594225,9754
12,2021-06-08,71.0,176.05,2,594345,9754
13,2021-06-09,65.0,183.58,2,594574,9761
14,2021-06-10,61.0,199.02,2,594659,9761
15,2021-06-11,99.0,224.36,2,594805,9776
16,2021-06-12,147.0,223.34,2,594805,9776
17,2021-06-13,153.0,169.41,2,594877,9780
18,2021-06-14,61.0,184.5,2,595201,9790
19,2021-06-15,90.0,188.15,2,595285,9790
20,2021-06-16,86.0,194.57,2,595310,9786
21,2021-06-17,93.0,206.01,2,595361,9790
22,2021-06-18,130.0,234.87,2,595448,9792
23,2021-06-19,182.0,230.49,2,595448,9792
24,2021-06-20,28.0,154.2,2,595448,9792
25,2021-06-21,49.0,187.18,2,595750,9801
26,2021-06-22,28.0,183.03,2,595813,9804
27,2021-06-23,76.0,189.85,2,595901,9804
28,2021-06-24,70.0,203.87,2,596032,9805
29,2021-06-25,105.0,227.63,2,596144,9819
30,2021-06-26,135.0,227.75,2,596144,9819
31,2021-06-27,102.0,172.31,2,596144,9819
32,2021-06-28,48.0,186.34,2,596616,9814
33,2021-06-29,46.0,183.97,2,596712,9817
34,2021-06-30,65.0,191.71,2,596840,9819
35,2021-07-01,88.0,203.9,2,597021,9826
36,2021-07-02,70.0,223.42,2,597261,9830
37,2021-07-03,186.0,219.29,2,597261,9830
38,2021-07-04,100.0,159.35,2,597261,9830
39,2021-07-05,31.0,178.5,2,597961,9841
40,2021-07-06,62.0,188.62,2,598093,9841
41,2021-07-07,59.0,183.38,2,598229,9843
42,2021-07-08,16.0,184.64,2,598511,9844
43,2021-07-09,89.0,219.67,2,598918,9846
44,2021-07-10,175.0,226.89,2,598918,9846
45,2021-07-11,117.0,165.22,2,598918,9846
46,2021-07-12,51.0,186.46,2,600027,9856
47,2021-07-13,82.0,186.94,2,600283,9856
48,2021-07-14,65.0,192.14,2,600607,9860
49,2021-07-15,88.0,204.14,2,601232,9865
50,2021-07-16,110.0,229.9,2,601803,9862
51,2021-07-17,185.0,230.43,2,601803,9862
52,2021-07-18,116.0,166.84,2,601803,9862
53,2021-07-19,7.0,183.36,2,603641,9857
54,2021-07-20,45.0,181.44,2,603973,9860
55,2021-07-21,77.0,190.55,2,604650,9870
56,2021-07-22,80.0,202.21,2,605590,9876
57,2021-07-23,102.0,224.34,2,606833,9878
58,2021-07-24,158.0,227.83,2,606833,9878
59,2021-07-25,122.0,168.56,2,606833,9878
60,2021-07-26,28.0,183.72,2,610477,9882
61,2021-07-27,61.0,184.13,2,611594,9883
62,2021-07-28,56.0,187.78,2,613033,9894
63,2021-07-29,68.0,197.22,2,614912,9904
64,2021-07-30,92.0,220.15,2,617148,9904
65,2021-07-31,154.0,220.1,2,617148,9904
66,2021-08-01,94.0,165.27,2,617148,9904
67,2021-08-02,57.0,180.28,2,623947,9915
68,2021-08-03,20.0,176.93,2,626038,9917
69,2021-08-04,62.0,184.17,2,628202,9930
70,2021-08-05,55.0,184.47,2,631037,9939
71,2021-08-06,72.0,210.92,2,634310,9950
72,2021-08-07,110.0,205.79,2,634310,9950
73,2021-08-08,108.0,158.78,2,634310,9950
74,2021-08-09,37.0,178.19,2,643621,9981
75,2021-08-10,39.0,181.96,2,645859,9992
76,2021-08-11,20.0,186.92,2,648508,10007
77,2021-08-12,38.0,196.71,2,651787,10019
78,2021-08-13,48.0,221.69,2,656313,10039
79,2021-08-14,78.0,215.18,2,656313,10039
80,2021-08-15,82.0,164.12,2,656313,10039
81,2021-08-16,-4.0,178.96,2,667352,10108
82,2021-08-17,-3.0,170.91,2,669638,10115
83,2021-08-18,34.0,181.64,2,673172,10140
84,2021-08-19,21.0,189.95,2,676431,10182
85,2021-08-20,64.0,213.91,2,681659,10213
86,2021-08-21,115.0,195.32,2,681659,10213
87,2021-08-22,76.0,143.98,2,681659,10213
88,2021-08-23,39.0,169.26,2,695489,10314
89,2021-08-24,51.0,167.92,2,699197,10324
90,2021-08-25,18.0,167.79,2,702894,10357
91,2021-08-26,41.0,174.76,2,707435,10413
92,2021-08-27,57.0,200.09,2,714265,10452
93,2021-08-28,143.0,191.31,2,714265,10452
94,2021-08-29,75.0,140.89,2,714265,10452
95,2021-08-30,43.0,159.6,2,730685,10562
96,2021-08-31,33.0,160.81,2,735287,10598
97,2021-09-01,-6.0,161.33,2,740634,10684
98,2021-09-02,74.0,176.31,2,746157,10743
99,2021-09-03,80.0,219.88,2,752378,10781
100,2021-09-04,125.0,197.16,2,752378,10781
101,2021-09-05,91.0,162.21,2,752378,10781
102,2021-09-06,22.0,152.23,2,769402,10945
103,2021-09-07,77.0,162.02,2,773185,10972
104,2021-09-08,37.0,160.78,2,776342,10996
105,2021-09-09,56.0,171.36,2,779898,11050
106,2021-09-10,102.0,200.11,2,784052,11149
107,2021-09-11,177.0,189.72,2,784052,11149
108,2021-09-12,92.0,139.74,2,784052,11149
109,2021-09-13,63.0,155.6,2,802328,11306
110,2021-09-14,85.0,159.73,2,806597,11349
111,2021-09-15,61.0,164.4,2,809779,11483
112,2021-09-16,36.0,173.96,2,814254,11532
113,2021-09-17,79.0,205.82,2,819204,11614
114,2021-09-18,182.0,194.16,2,819204,11614
115,2021-09-19,87.0,142.79,2,819204,11614
116,2021-09-20,44.0,153.49,2,830260,11721
117,2021-09-21,-30.0,154.94,2,832466,11828
118,2021-09-22,2.0,161.55,2,834880,11913
119,2021-09-23,85.0,179.78,2,838079,11957
120,2021-09-24,102.0,213.36,2,841600,12080
121,2021-09-25,174.0,206.8,2,841600,12080
122,2021-09-26,116.0,148.55,2,841600,12080
123,2021-09-27,78.0,161.34,2,850188,12213
124,2021-09-28,96.0,164.9,2,852006,12259
125,2021-09-29,55.0,167.97,2,854874,12372
126,2021-09-30,74.0,180.71,2,857386,12472
127,2021-10-01,97.0,216.52,2,860369,12570
128,2021-10-02,194.0,204.27,2,860369,12570
129,2021-10-03,99.0,150.62,2,860369,12570
130,2021-10-04,65.0,159.38,2,867315,12702
131,2021-10-05,71.0,161.2,2,868574,12729
132,2021-10-06,65.0,166.77,2,869838,12784
133,2021-10-07,74.0,181.18,2,872011,12856
134,2021-10-08,57.0,210.13,2,874013,12929
135,2021-10-09,190.0,203.21,2,874013,12929
136,2021-10-10,115.0,155.93,2,874013,12929
137,2021-10-11,84.0,170.7,2,879012,13034
138,2021-10-12,96.0,174.28,2,879985,13056
139,2021-10-13,67.0,176.31,2,880984,13093
140,2021-10-14,94.0,190.31,2,882455,13114
141,2021-10-15,96.0,223.9,2,883982,13232
142,2021-10-16,189.0,221.98,2,883982,13232
143,2021-10-17,113.0,159.66,2,883982,13232
144,2021-10-18,70.0,167.97,2,887535,13319
145,2021-10-19,82.0,169.92,2,888189,13321
146,2021-10-20,59.0,172.52,2,889096,13368
147,2021-10-21,63.0,185.35,2,890003,13412
148,2021-10-22,103.0,219.85,2,891072,13472
149,2021-10-23,160.0,209.79,2,891072,13472
150,2021-10-24,120.0,154.86,2,891072,13472
151,2021-10-25,55.0,162.34,2,893626,13559
