,date,mobility_sum,apple_mobility,distance,cases,deaths
0,2021-05-27,163.0,261.02,2,124105,2004
1,2021-05-28,243.0,325.63,2,124162,2010
2,2021-05-29,523.0,327.22,2,124162,2010
3,2021-05-30,356.0,282.73,2,124162,2010
4,2021-05-31,576.0,265.76,2,124191,2014
5,2021-06-01,354.0,268.1,2,124191,2014
6,2021-06-02,346.0,271.3,2,124227,2019
7,2021-06-03,390.0,292.33,2,124242,2020
8,2021-06-04,311.0,340.33,2,124261,2022
9,2021-06-05,504.0,336.28,2,124261,2022
10,2021-06-06,387.0,288.84,2,124261,2022
11,2021-06-07,383.0,295.17,2,124273,2022
12,2021-06-08,341.0,289.18,2,124302,2023
13,2021-06-09,320.0,300.36,2,124314,2023
14,2021-06-10,303.0,317.35,2,124335,2026
15,2021-06-11,324.0,356.04,2,124343,2026
16,2021-06-12,564.0,347.25,2,124343,2026
17,2021-06-13,417.0,310.53,2,124356,2026
18,2021-06-14,573.0,308.17,2,124356,2026
19,2021-06-15,373.0,304.37,2,124377,2026
20,2021-06-16,367.0,313.29,2,124382,2026
21,2021-06-17,416.0,329.58,2,124393,2027
22,2021-06-18,375.0,374.68,2,124393,2027
23,2021-06-19,616.0,357.17,2,124393,2027
24,2021-06-20,371.0,307.36,2,124393,2027
25,2021-06-21,596.0,318.5,2,124411,2027
26,2021-06-22,410.0,312.6,2,124446,2027
27,2021-06-23,356.0,323.64,2,124468,2029
28,2021-06-24,400.0,347.26,2,124478,2029
29,2021-06-25,358.0,402.83,2,124492,2030
30,2021-06-26,554.0,378.77,2,124492,2030
31,2021-06-27,444.0,330.33,2,124492,2030
32,2021-06-28,374.0,314.05,2,124512,2030
33,2021-06-29,350.0,309.95,2,124521,2033
34,2021-06-30,339.0,318.03,2,124536,2035
35,2021-07-01,408.0,344.4,2,124561,2038
36,2021-07-02,386.0,380.58,2,124582,2038
37,2021-07-03,633.0,341.25,2,124582,2038
38,2021-07-04,399.0,294.3,2,124582,2038
39,2021-07-05,310.0,319.84,2,124582,2038
40,2021-07-06,302.0,312.81,2,124582,2038
41,2021-07-07,359.0,321.87,2,124641,2039
42,2021-07-08,353.0,340.59,2,124641,2039
43,2021-07-09,447.0,382.14,2,124641,2039
44,2021-07-10,612.0,356.01,2,124641,2039
45,2021-07-11,507.0,322.37,2,124641,2039
46,2021-07-12,437.0,317.31,2,124641,2039
47,2021-07-13,395.0,310.33,2,124641,2039
48,2021-07-14,289.0,316.17,2,124750,2040
49,2021-07-15,421.0,345.12,2,124750,2040
50,2021-07-16,359.0,397.48,2,124750,2040
51,2021-07-17,601.0,383.25,2,124750,2040
52,2021-07-18,500.0,334.23,2,124750,2040
53,2021-07-19,460.0,326.9,2,124750,2040
54,2021-07-20,379.0,318.13,2,124750,2040
55,2021-07-21,369.0,324.5,2,124948,2041
56,2021-07-22,370.0,335.63,2,124948,2041
57,2021-07-23,334.0,379.92,2,124948,2041
58,2021-07-24,598.0,370.6,2,124948,2041
59,2021-07-25,399.0,327.79,2,124948,2041
60,2021-07-26,394.0,321.61,2,124948,2041
61,2021-07-27,324.0,314.52,2,124948,2041
62,2021-07-28,279.0,318.07,2,125216,2043
63,2021-07-29,353.0,334.15,2,125216,2043
64,2021-07-30,234.0,371.18,2,125216,2043
65,2021-07-31,577.0,354.93,2,125216,2043
66,2021-08-01,458.0,311.98,2,125216,2043
67,2021-08-02,405.0,305.36,2,125216,2043
68,2021-08-03,389.0,298.83,2,125216,2043
69,2021-08-04,361.0,310.65,2,125592,2050
70,2021-08-05,397.0,333.58,2,125592,2050
71,2021-08-06,373.0,384.65,2,125592,2050
72,2021-08-07,694.0,377.06,2,125592,2050
73,2021-08-08,469.0,336.1,2,125592,2050
74,2021-08-09,451.0,332.02,2,125592,2050
75,2021-08-10,408.0,324.96,2,125592,2050
76,2021-08-11,383.0,326.54,2,126454,2051
77,2021-08-12,404.0,334.12,2,126607,2051
78,2021-08-13,388.0,365.04,2,126746,2052
79,2021-08-14,543.0,338.4,2,126746,2052
80,2021-08-15,410.0,283.42,2,126746,2052
81,2021-08-16,345.0,281.27,2,126925,2053
82,2021-08-17,299.0,276.37,2,127320,2055
83,2021-08-18,292.0,278.92,2,127696,2056
84,2021-08-19,295.0,299.07,2,127991,2057
85,2021-08-20,243.0,338.38,2,128295,2057
86,2021-08-21,547.0,320.07,2,128295,2057
87,2021-08-22,349.0,263.83,2,128295,2057
88,2021-08-23,294.0,265.46,2,128626,2057
89,2021-08-24,262.0,255.49,2,129411,2057
90,2021-08-25,254.0,247.26,2,129866,2059
91,2021-08-26,243.0,261.79,2,130337,2060
92,2021-08-27,292.0,314.15,2,130776,2062
93,2021-08-28,412.0,298.38,2,130776,2062
94,2021-08-29,414.0,249.34,2,130776,2062
95,2021-08-30,230.0,229.13,2,131239,2067
96,2021-08-31,267.0,233.92,2,132259,2069
97,2021-09-01,242.0,230.93,2,132837,2069
98,2021-09-02,156.0,251.51,2,133372,2071
99,2021-09-03,303.0,335.18,2,133855,2072
100,2021-09-04,567.0,310.79,2,133855,2072
101,2021-09-05,311.0,275.43,2,133855,2072
102,2021-09-06,313.0,255.16,2,133855,2072
103,2021-09-07,276.0,240.28,2,134308,2074
104,2021-09-08,232.0,236.92,2,135538,2077
105,2021-09-09,274.0,258.6,2,136157,2079
106,2021-09-10,240.0,296.81,2,136772,2084
107,2021-09-11,396.0,290.3,2,136772,2084
108,2021-09-12,353.0,234.73,2,136772,2084
109,2021-09-13,227.0,232.03,2,137300,2088
110,2021-09-14,281.0,235.73,2,138292,2092
111,2021-09-15,243.0,238.62,2,138860,2093
112,2021-09-16,253.0,260.1,2,139412,2096
113,2021-09-17,274.0,310.0,2,139956,2100
114,2021-09-18,399.0,318.28,2,139956,2100
115,2021-09-19,325.0,242.07,2,139956,2100
116,2021-09-20,226.0,225.08,2,140402,2105
117,2021-09-21,251.0,232.86,2,141141,2108
118,2021-09-22,234.0,236.96,2,141745,2109
119,2021-09-23,272.0,257.16,2,142330,2115
120,2021-09-24,241.0,298.6,2,142800,2125
121,2021-09-25,388.0,297.72,2,142800,2125
122,2021-09-26,406.0,230.84,2,142800,2125
123,2021-09-27,275.0,222.3,2,143183,2129
124,2021-09-28,229.0,221.19,2,143995,2133
125,2021-09-29,292.0,217.57,2,144546,2133
126,2021-09-30,350.0,234.92,2,145018,2142
127,2021-10-01,355.0,280.8,2,145474,2145
128,2021-10-02,305.0,292.7,2,145474,2145
129,2021-10-03,398.0,222.83,2,145474,2145
130,2021-10-04,255.0,216.14,2,145839,2160
131,2021-10-05,243.0,216.06,2,146594,2161
132,2021-10-06,314.0,213.61,2,146995,2167
133,2021-10-07,339.0,230.74,2,147469,2170
134,2021-10-08,313.0,283.11,2,147820,2171
135,2021-10-09,220.0,275.28,2,147820,2171
136,2021-10-10,346.0,209.15,2,147820,2171
137,2021-10-11,277.0,216.73,2,147820,2171
138,2021-10-12,130.0,201.91,2,148249,2177
139,2021-10-13,83.0,192.33,2,149337,2177
140,2021-10-14,246.0,222.04,2,149678,2182
141,2021-10-15,244.0,277.44,2,149996,2189
142,2021-10-16,205.0,267.56,2,149996,2189
143,2021-10-17,287.0,207.93,2,149996,2189
144,2021-10-18,246.0,210.7,2,150350,2202
145,2021-10-19,163.0,208.24,2,151088,2203
146,2021-10-20,169.0,203.69,2,151554,2205
147,2021-10-21,273.0,244.87,2,151971,2214
148,2021-10-22,279.0,289.04,2,152308,2218
149,2021-10-23,145.0,284.98,2,152308,2218
150,2021-10-24,228.0,198.2,2,152308,2218
151,2021-10-25,235.0,187.63,2,152603,2220
152,2021-10-26,167.0,183.98,2,153321,2228
153,2021-10-27,179.0,187.52,2,153774,2231
154,2021-10-28,181.0,209.24,2,154086,2234
155,2021-10-29,216.0,249.23,2,154482,2235
156,2021-10-30,153.0,244.86,2,154482,2235
157,2021-10-31,139.0,171.44,2,154482,2235
158,2021-11-01,174.0,170.26,2,154885,2241
159,2021-11-02,156.0,182.02,2,155603,2249
160,2021-11-03,169.0,177.71,2,156123,2253
161,2021-11-04,30.0,195.82,2,156564,2260
162,2021-11-05,57.0,233.72,2,156995,2267
163,2021-11-06,105.0,214.51,2,156995,2267
164,2021-11-07,154.0,162.62,2,156995,2267
165,2021-11-08,119.0,164.8,2,157396,2267
166,2021-11-09,140.0,175.27,2,158267,2270
167,2021-11-10,145.0,186.04,2,158822,2277
168,2021-11-11,86.0,203.51,2,158822,2277
169,2021-11-12,25.0,220.63,2,159343,2281
170,2021-11-13,54.0,229.0,2,159343,2281
171,2021-11-14,114.0,177.8,2,159343,2281
172,2021-11-15,194.0,176.18,2,160088,2289
