,date,mobility_sum,apple_mobility,distance,cases,deaths
0,2021-05-27,140.0,177.03,1,847710,12328
1,2021-05-28,89.0,199.0,1,847993,12341
2,2021-05-29,106.0,183.59,1,848003,12341
3,2021-05-30,212.0,151.04,1,848010,12341
4,2021-05-31,25.0,139.78,1,848020,12341
5,2021-06-01,120.0,157.3,1,848552,12356
6,2021-06-02,36.0,157.41,1,848881,12365
7,2021-06-03,118.0,171.32,1,849162,12372
8,2021-06-04,126.0,198.55,1,849410,12376
9,2021-06-05,188.0,189.22,1,849400,12376
10,2021-06-06,100.0,141.84,1,849400,12376
11,2021-06-07,100.0,159.72,1,849732,12379
12,2021-06-08,114.0,159.9,1,849905,12392
13,2021-06-09,70.0,161.9,1,850096,12394
14,2021-06-10,112.0,173.02,1,850276,12396
15,2021-06-11,105.0,198.44,1,852148,12398
16,2021-06-12,217.0,194.51,1,852165,12398
17,2021-06-13,147.0,155.12,1,852206,12398
18,2021-06-14,152.0,170.08,1,852237,12398
19,2021-06-15,142.0,173.19,1,852649,12403
20,2021-06-16,162.0,177.35,1,852863,12405
21,2021-06-17,161.0,188.46,1,853042,12412
22,2021-06-18,150.0,213.47,1,853104,12415
23,2021-06-19,234.0,196.23,1,853104,12415
24,2021-06-20,226.0,146.41,1,853104,12415
25,2021-06-21,83.0,161.75,1,853362,12423
26,2021-06-22,146.0,171.16,1,853476,12433
27,2021-06-23,144.0,177.72,1,853636,12438
28,2021-06-24,124.0,186.67,1,853701,12442
29,2021-06-25,129.0,211.63,1,853779,12449
30,2021-06-26,182.0,199.8,1,853786,12449
31,2021-06-27,156.0,155.8,1,853786,12449
32,2021-06-28,95.0,167.45,1,854011,12456
33,2021-06-29,90.0,167.94,1,854043,12463
34,2021-06-30,119.0,174.52,1,854211,12466
35,2021-07-01,94.0,179.57,1,854430,12472
36,2021-07-02,155.0,207.44,1,854656,12483
37,2021-07-03,189.0,182.41,1,854661,12483
38,2021-07-04,243.0,144.7,1,854661,12483
39,2021-07-05,56.0,155.52,1,854661,12483
40,2021-07-06,116.0,170.66,1,855377,12489
41,2021-07-07,100.0,172.02,1,855807,12495
42,2021-07-08,127.0,183.45,1,856204,12504
43,2021-07-09,128.0,202.41,1,856843,12508
44,2021-07-10,198.0,193.32,1,856874,12508
45,2021-07-11,104.0,145.92,1,856874,12508
46,2021-07-12,65.0,166.97,1,857933,12519
47,2021-07-13,105.0,168.63,1,858502,12526
48,2021-07-14,131.0,174.69,1,859116,12535
49,2021-07-15,143.0,188.18,1,859655,12538
50,2021-07-16,119.0,209.55,1,860701,12538
51,2021-07-17,145.0,195.62,1,860728,12544
52,2021-07-18,145.0,149.63,1,860728,12544
53,2021-07-19,95.0,167.86,1,862341,12548
54,2021-07-20,133.0,170.4,1,863228,12555
55,2021-07-21,137.0,172.48,1,864643,12559
56,2021-07-22,131.0,186.64,1,865869,12573
57,2021-07-23,148.0,205.42,1,867413,12580
58,2021-07-24,222.0,196.44,1,867449,12580
59,2021-07-25,129.0,150.92,1,867449,12580
60,2021-07-26,79.0,164.51,1,871023,12596
61,2021-07-27,116.0,168.11,1,872825,12616
62,2021-07-28,111.0,170.78,1,875114,12628
63,2021-07-29,122.0,178.92,1,877512,12636
64,2021-07-30,125.0,206.83,1,879801,12638
65,2021-07-31,186.0,203.13,1,879858,12638
66,2021-08-01,137.0,150.68,1,879858,12638
67,2021-08-02,101.0,164.9,1,886436,12664
68,2021-08-03,125.0,169.51,1,888787,12680
69,2021-08-04,122.0,169.07,1,892607,12689
70,2021-08-05,129.0,174.0,1,895577,12703
71,2021-08-06,116.0,201.35,1,899452,12731
72,2021-08-07,183.0,193.09,1,899546,12731
73,2021-08-08,170.0,145.57,1,899546,12731
74,2021-08-09,90.0,161.87,1,908739,12747
75,2021-08-10,110.0,163.07,1,912164,12787
76,2021-08-11,114.0,164.37,1,916320,12794
77,2021-08-12,120.0,174.06,1,921060,12812
78,2021-08-13,80.0,196.68,1,926097,12840
79,2021-08-14,185.0,186.51,1,926097,12840
80,2021-08-15,149.0,138.52,1,926097,12840
81,2021-08-16,80.0,159.23,1,939006,12884
82,2021-08-17,111.0,158.02,1,942488,12916
83,2021-08-18,65.0,159.29,1,947511,12943
84,2021-08-19,99.0,167.28,1,953304,12995
85,2021-08-20,109.0,191.07,1,960942,13041
86,2021-08-21,150.0,176.6,1,961018,13041
87,2021-08-22,119.0,139.03,1,961129,13041
88,2021-08-23,79.0,157.26,1,980507,13102
89,2021-08-24,74.0,157.0,1,985126,13132
90,2021-08-25,81.0,156.35,1,985990,13132
91,2021-08-26,99.0,162.19,1,995914,13201
92,2021-08-27,88.0,187.65,1,1003567,13241
93,2021-08-28,159.0,181.06,1,1003638,13241
94,2021-08-29,108.0,131.47,1,1003724,13241
95,2021-08-30,27.0,143.75,1,1023395,13322
96,2021-08-31,-9.0,143.3,1,1032434,13378
97,2021-09-01,75.0,154.08,1,1041816,13410
98,2021-09-02,137.0,169.84,1,1044847,13446
99,2021-09-03,111.0,197.0,1,1051250,13522
100,2021-09-04,162.0,179.84,1,1051363,13522
101,2021-09-05,77.0,143.89,1,1051443,13522
102,2021-09-06,15.0,138.0,1,1051599,13522
103,2021-09-07,100.0,153.94,1,1085109,13612
104,2021-09-08,80.0,152.46,1,1090264,13693
105,2021-09-09,171.0,163.72,1,1094159,13767
106,2021-09-10,122.0,188.73,1,1099118,13778
107,2021-09-11,175.0,180.54,1,1099118,13778
108,2021-09-12,161.0,136.85,1,1099118,13778
109,2021-09-13,74.0,150.39,1,1128123,13894
110,2021-09-14,84.0,152.65,1,1133200,14020
111,2021-09-15,64.0,152.88,1,1140315,14107
112,2021-09-16,152.0,169.76,1,1144848,14173
113,2021-09-17,60.0,197.14,1,1151186,14225
114,2021-09-18,81.0,181.58,1,1151186,14225
115,2021-09-19,56.0,135.56,1,1151186,14225
116,2021-09-20,2.0,147.38,1,1163270,14334
117,2021-09-21,50.0,151.09,1,1163270,14334
118,2021-09-22,63.0,156.55,1,1172596,14560
119,2021-09-23,151.0,171.8,1,1176400,14623
120,2021-09-24,165.0,200.72,1,1181691,14707
121,2021-09-25,200.0,195.49,1,1181691,14707
122,2021-09-26,299.0,147.37,1,1181691,14707
123,2021-09-27,88.0,158.11,1,1189429,14834
124,2021-09-28,96.0,159.28,1,1192736,14934
125,2021-09-29,98.0,164.56,1,1196307,14977
126,2021-09-30,166.0,173.9,1,1200264,15026
127,2021-10-01,113.0,211.05,1,1203531,15082
128,2021-10-02,149.0,193.72,1,1203531,15082
129,2021-10-03,89.0,141.64,1,1203531,15082
130,2021-10-04,76.0,157.57,1,1209620,15200
131,2021-10-05,47.0,156.71,1,1212729,15277
132,2021-10-06,54.0,159.61,1,1215820,15317
133,2021-10-07,119.0,177.74,1,1218190,15378
134,2021-10-08,120.0,216.69,1,1220612,15428
135,2021-10-09,175.0,206.94,1,1220612,15428
136,2021-10-10,150.0,158.88,1,1220612,15428
137,2021-10-11,76.0,164.36,1,1225049,15452
138,2021-10-12,89.0,164.06,1,1227638,15554
139,2021-10-13,69.0,165.37,1,1229933,15601
140,2021-10-14,104.0,181.28,1,1231913,15636
141,2021-10-15,73.0,205.48,1,1233914,15696
142,2021-10-16,124.0,208.07,1,1233914,15696
143,2021-10-17,133.0,160.11,1,1233914,15696
