,date,mobility_sum,apple_mobility,distance,cases,deaths
0,2021-05-27,98.0,156.53,1,2945297,51572
1,2021-05-28,47.0,180.05,1,2946950,51625
2,2021-05-29,106.0,171.07,1,2947615,51660
3,2021-05-30,64.0,136.28,1,2947780,51672
4,2021-05-31,-22.0,121.74,1,2947933,51673
5,2021-06-01,41.0,141.55,1,2948635,51689
6,2021-06-02,51.0,146.26,1,2950982,51741
7,2021-06-03,28.0,149.45,1,2954086,51798
8,2021-06-04,41.0,170.96,1,2955722,51845
9,2021-06-05,59.0,163.72,1,2957016,51874
10,2021-06-06,48.0,125.96,1,2957646,51891
11,2021-06-07,13.0,137.66,1,2958465,51908
12,2021-06-08,30.0,145.49,1,2960310,51949
13,2021-06-09,55.0,149.58,1,2967261,51986
14,2021-06-10,81.0,158.12,1,2969114,52019
15,2021-06-11,54.0,180.99,1,2970252,52064
16,2021-06-12,78.0,174.09,1,2971075,52096
17,2021-06-13,55.0,133.64,1,2971498,52105
18,2021-06-14,27.0,146.48,1,2972381,52116
19,2021-06-15,47.0,150.29,1,2973462,52147
20,2021-06-16,50.0,154.32,1,2975716,52185
21,2021-06-17,74.0,161.23,1,2976499,52219
22,2021-06-18,49.0,184.36,1,2977580,52266
23,2021-06-19,76.0,172.5,1,2979299,52281
24,2021-06-20,62.0,123.15,1,2979672,52292
25,2021-06-21,21.0,144.38,1,2980325,52300
26,2021-06-22,43.0,148.03,1,2982215,52328
27,2021-06-23,58.0,152.34,1,2983351,52363
28,2021-06-24,68.0,160.14,1,2985029,52396
29,2021-06-25,31.0,183.85,1,2986713,52426
30,2021-06-26,63.0,173.94,1,2988213,52449
31,2021-06-27,33.0,131.47,1,2988389,52458
32,2021-06-28,5.0,139.03,1,2989253,52464
33,2021-06-29,5.0,143.77,1,2990978,52494
34,2021-06-30,58.0,150.62,1,2993964,52518
35,2021-07-01,91.0,159.7,1,2995274,52554
36,2021-07-02,59.0,177.86,1,2997152,52597
37,2021-07-03,79.0,155.35,1,2998381,52621
38,2021-07-04,81.0,122.84,1,2998600,52634
39,2021-07-05,-22.0,128.91,1,2999137,52634
40,2021-07-06,34.0,143.91,1,3000308,52656
41,2021-07-07,50.0,147.44,1,3004368,52681
42,2021-07-08,58.0,154.11,1,3006725,52715
43,2021-07-09,-3.0,170.93,1,3009125,52751
44,2021-07-10,50.0,166.21,1,3010721,52768
45,2021-07-11,17.0,126.21,1,3011151,52772
46,2021-07-12,10.0,142.91,1,3012965,52796
47,2021-07-13,40.0,146.31,1,3018297,52824
48,2021-07-14,52.0,150.24,1,3023065,52855
49,2021-07-15,57.0,158.43,1,3026074,52892
50,2021-07-16,23.0,180.18,1,3030756,52919
51,2021-07-17,55.0,173.11,1,3033389,52947
52,2021-07-18,45.0,133.59,1,3035135,52956
53,2021-07-19,-20.0,144.77,1,3037688,52966
54,2021-07-20,25.0,147.73,1,3042473,52992
55,2021-07-21,46.0,150.69,1,3050283,53035
56,2021-07-22,60.0,156.22,1,3057841,53070
57,2021-07-23,35.0,177.72,1,3064653,53118
58,2021-07-24,52.0,169.33,1,3069699,53141
59,2021-07-25,39.0,129.78,1,3071097,53156
60,2021-07-26,19.0,143.51,1,3076397,53171
61,2021-07-27,28.0,145.35,1,3088278,53210
62,2021-07-28,29.0,147.23,1,3097047,53275
63,2021-07-29,41.0,155.21,1,3112522,53309
64,2021-07-30,10.0,176.24,1,3126717,53367
65,2021-07-31,31.0,165.44,1,3132348,53402
66,2021-08-01,7.0,125.21,1,3135695,53420
67,2021-08-02,-36.0,139.86,1,3143940,53450
68,2021-08-03,29.0,143.78,1,3164075,53514
69,2021-08-04,45.0,146.47,1,3175724,53579
70,2021-08-05,40.0,145.74,1,3193258,53656
71,2021-08-06,16.0,172.29,1,3217817,53730
72,2021-08-07,87.0,163.09,1,3229082,53788
73,2021-08-08,24.0,124.19,1,3231454,53816
74,2021-08-09,7.0,140.87,1,3243166,53853
75,2021-08-10,21.0,143.03,1,3263345,53953
76,2021-08-11,23.0,144.28,1,3285199,54061
77,2021-08-12,38.0,150.83,1,3298392,54200
78,2021-08-13,13.0,174.64,1,3316208,54345
79,2021-08-14,29.0,162.69,1,3327117,54441
80,2021-08-15,12.0,122.01,1,3333059,54488
81,2021-08-16,4.0,144.11,1,3346889,54537
82,2021-08-17,9.0,144.91,1,3372386,54643
83,2021-08-18,14.0,142.1,1,3392291,54819
84,2021-08-19,25.0,151.21,1,3410867,55031
85,2021-08-20,11.0,174.55,1,3433517,55229
86,2021-08-21,43.0,166.69,1,3451738,55390
87,2021-08-22,-8.0,122.46,1,3455618,55450
88,2021-08-23,8.0,140.48,1,3466970,55509
89,2021-08-24,8.0,142.62,1,3488035,55719
90,2021-08-25,24.0,142.69,1,3511447,55967
91,2021-08-26,10.0,148.42,1,3527090,56228
92,2021-08-27,1.0,170.78,1,3548371,56519
93,2021-08-28,45.0,165.2,1,3558939,56741
94,2021-08-29,-5.0,122.55,1,3562808,56850
95,2021-08-30,-7.0,141.44,1,3582287,56975
96,2021-08-31,9.0,146.44,1,3604438,57205
97,2021-09-01,38.0,147.8,1,3630865,57533
98,2021-09-02,38.0,153.89,1,3650334,57869
99,2021-09-03,36.0,185.45,1,3677129,58157
100,2021-09-04,43.0,166.77,1,3693335,58422
101,2021-09-05,19.0,130.12,1,3696245,58572
102,2021-09-06,-57.0,120.59,1,3700956,58619
103,2021-09-07,7.0,140.79,1,3710719,58788
104,2021-09-08,28.0,141.44,1,3752776,59090
105,2021-09-09,45.0,150.2,1,3784830,59492
106,2021-09-10,7.0,171.89,1,3802905,59905
107,2021-09-11,29.0,163.65,1,3813319,60221
108,2021-09-12,19.0,116.34,1,3815818,60357
109,2021-09-13,4.0,125.86,1,3833311,60475
110,2021-09-14,27.0,122.89,1,3857592,60790
111,2021-09-15,42.0,142.58,1,3880333,61207
112,2021-09-16,40.0,150.75,1,3897271,61573
113,2021-09-17,31.0,178.43,1,3915675,61931
114,2021-09-18,42.0,170.9,1,3925228,62226
115,2021-09-19,7.0,120.39,1,3926755,62323
116,2021-09-20,2.0,137.01,1,3938756,62432
117,2021-09-21,21.0,141.71,1,3954709,62778
118,2021-09-22,43.0,145.38,1,3972002,63162
119,2021-09-23,59.0,155.36,1,3982646,63608
120,2021-09-24,22.0,184.63,1,3999392,64016
121,2021-09-25,72.0,179.48,1,4005238,64274
122,2021-09-26,35.0,126.99,1,4011213,64419
123,2021-09-27,21.0,140.39,1,4021667,64538
124,2021-09-28,23.0,140.72,1,4035865,64806
125,2021-09-29,26.0,139.61,1,4050122,65191
126,2021-09-30,47.0,145.42,1,4059956,65532
127,2021-10-01,26.0,167.78,1,4069475,65858
128,2021-10-02,26.0,160.33,1,4075826,66106
129,2021-10-03,16.0,117.92,1,4076957,66234
130,2021-10-04,24.0,130.81,1,4084775,66367
131,2021-10-05,40.0,136.59,1,4095417,66638
132,2021-10-06,44.0,138.94,1,4108141,67015
133,2021-10-07,64.0,149.49,1,4116095,67267
134,2021-10-08,31.0,180.64,1,4123946,67659
135,2021-10-09,60.0,172.25,1,4128945,67889
136,2021-10-10,25.0,123.87,1,4129954,67994
137,2021-10-11,33.0,137.18,1,4135402,68057
138,2021-10-12,-3.0,133.83,1,4145150,68287
139,2021-10-13,10.0,134.97,1,4154847,68587
140,2021-10-14,25.0,151.28,1,4160441,68811
141,2021-10-15,27.0,187.14,1,4167271,69071
142,2021-10-16,89.0,184.79,1,4170584,69273
143,2021-10-17,27.0,129.7,1,4171446,69373
144,2021-10-18,27.0,140.86,1,4176433,69442
145,2021-10-19,38.0,145.7,1,4182689,69649
146,2021-10-20,36.0,148.55,1,4188539,69904
147,2021-10-21,46.0,159.36,1,4194234,70128
148,2021-10-22,26.0,192.34,1,4198500,70355
149,2021-10-23,90.0,188.26,1,4201408,70531
150,2021-10-24,31.0,133.66,1,4202609,70593
151,2021-10-25,29.0,142.77,1,4207000,70665
152,2021-10-26,29.0,147.81,1,4212519,70815
153,2021-10-27,25.0,145.64,1,4216736,71052
154,2021-10-28,56.0,162.39,1,4222837,71214
155,2021-10-29,34.0,191.93,1,4227048,71404
156,2021-10-30,37.0,190.49,1,4230019,71465
157,2021-10-31,73.0,132.24,1,4230417,71517
158,2021-11-01,26.0,139.24,1,4233754,71587
159,2021-11-02,42.0,146.6,1,4238926,71708
160,2021-11-03,-51.0,138.01,1,4243192,71862
161,2021-11-04,15.0,150.49,1,4246805,71987
162,2021-11-05,23.0,179.8,1,4249894,72125
163,2021-11-06,52.0,167.08,1,4252114,72235
164,2021-11-07,17.0,122.19,1,4252903,72278
165,2021-11-08,-3.0,135.84,1,4255308,72337
166,2021-11-09,17.0,143.9,1,4261017,72439
167,2021-11-10,37.0,153.05,1,4263381,72462
168,2021-11-11,42.0,162.07,1,4269263,72744
169,2021-11-12,29.0,192.05,1,4272527,73014
170,2021-11-13,61.0,184.99,1,4275336,73082
171,2021-11-14,27.0,133.31,1,4275822,73110
172,2021-11-15,-3.0,147.13,1,4279225,73160
173,2021-11-16,26.0,151.77,1,4284307,73235
174,2021-11-17,36.0,154.89,1,4288395,73357
175,2021-11-18,27.0,162.58,1,4292678,73497
176,2021-11-19,4.0,196.34,1,4296648,73591
177,2021-11-20,43.0,186.51,1,4298114,73664
178,2021-11-21,16.0,133.14,1,4298896,73689
179,2021-11-22,34.0,160.28,1,4303004,73736
180,2021-11-23,52.0,171.6,1,4306962,73832
181,2021-11-24,97.0,179.4,1,4312664,73921
182,2021-11-25,-167.0,98.42,1,4312993,73922
183,2021-11-26,-43.0,151.63,1,4313033,73923
184,2021-11-27,-38.0,148.36,1,4313070,73923
185,2021-11-28,11.0,130.83,1,4313064,73923
186,2021-11-29,7.0,144.22,1,4321519,74069
187,2021-11-30,30.0,150.69,1,4327626,74145
188,2021-12-01,33.0,152.06,1,4332011,74244
189,2021-12-02,38.0,155.32,1,4336327,74346
190,2021-12-03,35.0,189.62,1,4340505,74422
191,2021-12-04,27.0,182.8,1,4342425,74485
192,2021-12-05,23.0,129.19,1,4343389,74512
