,date,mobility_sum,apple_mobility,distance,cases,deaths
0,2021-05-27,161.0,200.14,2,405457,2294
1,2021-05-28,112.0,231.88,2,405729,2297
2,2021-05-29,102.0,203.37,2,405921,2301
3,2021-05-30,115.0,145.44,2,406097,2301
4,2021-05-31,152.0,173.71,2,406240,2302
5,2021-06-01,119.0,188.9,2,406352,2302
6,2021-06-02,161.0,189.34,2,406552,2305
7,2021-06-03,136.0,205.77,2,406895,2308
8,2021-06-04,75.0,227.61,2,407183,2311
9,2021-06-05,119.0,218.08,2,407489,2311
10,2021-06-06,119.0,142.2,2,407712,2311
11,2021-06-07,150.0,189.04,2,407886,2313
12,2021-06-08,138.0,191.8,2,408138,2316
13,2021-06-09,138.0,195.8,2,408499,2318
14,2021-06-10,127.0,206.79,2,408812,2319
15,2021-06-11,100.0,227.77,2,409078,2319
16,2021-06-12,170.0,222.47,2,409435,2323
17,2021-06-13,111.0,147.07,2,409629,2323
18,2021-06-14,136.0,194.93,2,409798,2323
19,2021-06-15,107.0,197.44,2,410035,2323
20,2021-06-16,100.0,205.06,2,410447,2324
21,2021-06-17,111.0,216.11,2,410816,2324
22,2021-06-18,63.0,243.63,2,411141,2326
23,2021-06-19,168.0,228.67,2,411431,2328
24,2021-06-20,107.0,141.79,2,411680,2330
25,2021-06-21,106.0,195.33,2,411840,2330
26,2021-06-22,97.0,194.34,2,412089,2333
27,2021-06-23,106.0,201.62,2,412616,2336
28,2021-06-24,112.0,211.16,2,413078,2337
29,2021-06-25,122.0,245.65,2,413387,2351
30,2021-06-26,206.0,226.93,2,413739,2355
31,2021-06-27,86.0,155.0,2,414021,2363
32,2021-06-28,97.0,196.7,2,414275,2365
33,2021-06-29,71.0,195.48,2,414636,2368
34,2021-06-30,96.0,201.53,2,415210,2371
35,2021-07-01,112.0,211.44,2,415750,2375
36,2021-07-02,94.0,231.8,2,416181,2378
37,2021-07-03,191.0,202.87,2,416181,2378
38,2021-07-04,65.0,138.43,2,416181,2378
39,2021-07-05,231.0,181.69,2,416181,2378
40,2021-07-06,57.0,197.71,2,417330,2385
41,2021-07-07,71.0,201.05,2,417724,2387
42,2021-07-08,75.0,210.94,2,418392,2389
43,2021-07-09,53.0,228.19,2,419047,2393
44,2021-07-10,100.0,216.05,2,419047,2393
45,2021-07-11,83.0,147.66,2,419047,2393
46,2021-07-12,85.0,196.35,2,420285,2399
47,2021-07-13,69.0,192.04,2,420756,2402
48,2021-07-14,101.0,198.79,2,421393,2407
49,2021-07-15,92.0,206.61,2,422046,2410
50,2021-07-16,55.0,229.46,2,422714,2413
51,2021-07-17,136.0,231.45,2,422690,2413
52,2021-07-18,110.0,156.48,2,422690,2413
53,2021-07-19,80.0,192.56,2,424242,2416
54,2021-07-20,130.0,195.57,2,424801,2420
55,2021-07-21,141.0,200.51,2,425674,2424
56,2021-07-22,142.0,210.57,2,426489,2425
57,2021-07-23,100.0,221.83,2,426489,2425
58,2021-07-24,138.0,197.02,2,426489,2425
59,2021-07-25,59.0,147.38,2,426489,2425
60,2021-07-26,76.0,191.58,2,428758,2434
61,2021-07-27,72.0,187.91,2,429372,2441
62,2021-07-28,59.0,193.23,2,430215,2447
63,2021-07-29,78.0,202.18,2,431328,2450
64,2021-07-30,42.0,220.46,2,432539,2451
65,2021-07-31,77.0,213.27,2,432539,2451
66,2021-08-01,105.0,143.07,2,432539,2451
67,2021-08-02,73.0,185.25,2,434783,2466
68,2021-08-03,87.0,190.91,2,435511,2471
69,2021-08-04,82.0,194.07,2,436562,2479
70,2021-08-05,83.0,207.42,2,437658,2486
71,2021-08-06,58.0,223.58,2,438551,2494
72,2021-08-07,154.0,212.89,2,438551,2494
73,2021-08-08,61.0,142.13,2,438551,2494
74,2021-08-09,86.0,184.27,2,440570,2503
75,2021-08-10,73.0,187.47,2,441204,2511
76,2021-08-11,77.0,194.5,2,442319,2518
77,2021-08-12,83.0,209.67,2,443562,2521
78,2021-08-13,98.0,231.41,2,444463,2525
79,2021-08-14,94.0,223.15,2,444459,2525
80,2021-08-15,50.0,141.97,2,444459,2525
81,2021-08-16,53.0,185.97,2,446882,2537
82,2021-08-17,32.0,186.21,2,447845,2537
83,2021-08-18,-30.0,181.87,2,449334,2549
84,2021-08-19,-28.0,191.44,2,450616,2563
85,2021-08-20,106.0,223.98,2,451732,2572
86,2021-08-21,67.0,214.28,2,451732,2572
87,2021-08-22,46.0,137.82,2,451732,2572
88,2021-08-23,79.0,198.72,2,454450,2584
89,2021-08-24,68.0,190.57,2,455591,2593
90,2021-08-25,85.0,192.26,2,457176,2605
91,2021-08-26,92.0,197.39,2,458667,2615
92,2021-08-27,54.0,227.16,2,459953,2623
93,2021-08-28,164.0,223.02,2,459953,2623
94,2021-08-29,55.0,133.35,2,459953,2623
95,2021-08-30,79.0,177.87,2,463284,2628
96,2021-08-31,89.0,178.01,2,464502,2634
97,2021-09-01,94.0,182.26,2,466188,2640
98,2021-09-02,78.0,194.89,2,467876,2652
99,2021-09-03,85.0,240.36,2,469510,2658
100,2021-09-04,89.0,208.94,2,469510,2658
101,2021-09-05,50.0,140.09,2,469510,2658
102,2021-09-06,95.0,173.8,2,469510,2658
103,2021-09-07,51.0,180.41,2,474169,2685
104,2021-09-08,81.0,183.79,2,475709,2693
105,2021-09-09,76.0,192.28,2,477875,2703
106,2021-09-10,72.0,228.09,2,480064,2724
107,2021-09-11,120.0,222.81,2,480064,2724
108,2021-09-12,43.0,131.27,2,480064,2724
109,2021-09-13,76.0,172.28,2,484278,2740
110,2021-09-14,61.0,175.48,2,485554,2753
111,2021-09-15,87.0,185.28,2,487439,2764
112,2021-09-16,124.0,196.92,2,489324,2779
113,2021-09-17,55.0,232.75,2,491073,2787
114,2021-09-18,131.0,226.3,2,491073,2787
115,2021-09-19,20.0,133.01,2,491073,2787
116,2021-09-20,66.0,177.45,2,494466,2804
117,2021-09-21,118.0,176.87,2,495796,2829
118,2021-09-22,79.0,182.21,2,497521,2841
119,2021-09-23,87.0,195.94,2,499120,2860
120,2021-09-24,41.0,235.8,2,500792,2869
121,2021-09-25,172.0,238.51,2,500792,2869
122,2021-09-26,76.0,138.14,2,500792,2869
123,2021-09-27,82.0,174.25,2,503968,2892
124,2021-09-28,42.0,174.44,2,505100,2905
125,2021-09-29,64.0,185.78,2,506887,2920
126,2021-09-30,84.0,195.44,2,508593,2932
127,2021-10-01,69.0,239.05,2,510308,2943
128,2021-10-02,137.0,221.2,2,510308,2943
129,2021-10-03,74.0,140.73,2,510308,2943
130,2021-10-04,78.0,176.18,2,513608,2951
131,2021-10-05,46.0,180.49,2,514873,2962
132,2021-10-06,46.0,184.04,2,516848,2974
133,2021-10-07,30.0,195.68,2,518654,2983
134,2021-10-08,-41.0,222.75,2,520291,2994
135,2021-10-09,-11.0,224.34,2,520291,2994
136,2021-10-10,19.0,141.16,2,520291,2994
137,2021-10-11,22.0,169.46,2,520291,2994
138,2021-10-12,-24.0,170.5,2,524663,3025
139,2021-10-13,5.0,186.04,2,526507,3042
140,2021-10-14,-18.0,188.5,2,527760,3050
141,2021-10-15,-13.0,218.13,2,529253,3067
142,2021-10-16,16.0,217.75,2,529253,3067
143,2021-10-17,19.0,140.47,2,529253,3067
144,2021-10-18,-21.0,167.74,2,532289,3090
145,2021-10-19,-20.0,168.26,2,533632,3095
146,2021-10-20,17.0,179.64,2,535042,3106
147,2021-10-21,35.0,194.95,2,537383,3118
148,2021-10-22,-2.0,232.55,2,539002,3128
149,2021-10-23,-14.0,216.31,2,539002,3128
150,2021-10-24,-44.0,124.89,2,539002,3128
151,2021-10-25,-11.0,162.98,2,542639,3149
152,2021-10-26,-8.0,167.14,2,544253,3159
153,2021-10-27,1.0,175.83,2,546323,3181
154,2021-10-28,26.0,190.3,2,548185,3190
155,2021-10-29,26.0,226.32,2,549998,3208
156,2021-10-30,50.0,214.42,2,549998,3208
157,2021-10-31,28.0,122.04,2,549998,3208
158,2021-11-01,-2.0,156.16,2,553175,3237
159,2021-11-02,-29.0,160.63,2,554425,3248
160,2021-11-03,12.0,163.23,2,556578,3262
161,2021-11-04,-4.0,171.32,2,558845,3276
162,2021-11-05,-5.0,204.71,2,560717,3286
163,2021-11-06,-16.0,195.89,2,560717,3286
164,2021-11-07,-18.0,114.01,2,560717,3286
165,2021-11-08,-16.0,149.03,2,564689,3300
166,2021-11-09,-55.0,158.81,2,566249,3313
167,2021-11-10,-16.0,169.99,2,567782,3325
168,2021-11-11,-34.0,182.29,2,567782,3325
169,2021-11-12,-11.0,213.78,2,571628,3347
170,2021-11-13,-4.0,208.2,2,571628,3347
171,2021-11-14,3.0,121.64,2,571628,3347
172,2021-11-15,1.0,159.78,2,576130,3373
173,2021-11-16,-29.0,164.86,2,577368,3386
174,2021-11-17,-16.0,170.34,2,579497,3398
175,2021-11-18,-29.0,181.79,2,581288,3411
176,2021-11-19,-40.0,213.83,2,583054,3428
177,2021-11-20,-29.0,207.49,2,583054,3428
178,2021-11-21,-13.0,126.22,2,583054,3428
179,2021-11-22,4.0,175.98,2,586883,3442
180,2021-11-23,8.0,193.56,2,588036,3457
181,2021-11-24,34.0,206.26,2,589842,3470
182,2021-11-25,-202.0,102.47,2,589842,3470
183,2021-11-26,-104.0,172.36,2,592258,3487
184,2021-11-27,66.0,179.49,2,592258,3487
185,2021-11-28,-6.0,133.57,2,592258,3487
186,2021-11-29,-2.0,161.98,2,594738,3508
187,2021-11-30,-17.0,163.3,2,595933,3528
188,2021-12-01,-2.0,166.16,2,598230,3545
189,2021-12-02,0.0,169.66,2,600211,3545
190,2021-12-03,14.0,211.93,2,602086,3564
191,2021-12-04,39.0,208.81,2,602086,3564
192,2021-12-05,5.0,117.44,2,602086,3564
