,date,mobility_sum,apple_mobility,distance,cases,deaths
0,2021-05-27,97.0,160.13,1,674439,11152
1,2021-05-28,95.0,180.64,1,674843,11156
2,2021-05-29,61.0,159.3,1,675165,11160
3,2021-05-30,58.0,130.94,1,675392,11173
4,2021-05-31,223.0,139.75,1,675538,11186
5,2021-06-01,60.0,148.59,1,675597,11194
6,2021-06-02,40.0,146.37,1,675783,11206
7,2021-06-03,-4.0,148.48,1,676041,11216
8,2021-06-04,38.0,178.0,1,676300,11222
9,2021-06-05,188.0,188.0,1,676586,11229
10,2021-06-06,178.0,146.54,1,676741,11236
11,2021-06-07,51.0,144.86,1,676831,11245
12,2021-06-08,84.0,145.79,1,677013,11253
13,2021-06-09,40.0,146.54,1,677210,11260
14,2021-06-10,66.0,154.51,1,677425,11270
15,2021-06-11,44.0,178.29,1,677530,11283
16,2021-06-12,118.0,182.22,1,677671,11293
17,2021-06-13,197.0,147.43,1,677744,11307
18,2021-06-14,81.0,152.41,1,677812,11318
19,2021-06-15,103.0,154.21,1,677949,11328
20,2021-06-16,115.0,160.5,1,678226,11330
21,2021-06-17,139.0,170.43,1,678392,11336
22,2021-06-18,131.0,201.54,1,678506,11342
23,2021-06-19,196.0,192.06,1,678595,11343
24,2021-06-20,139.0,144.28,1,678649,11351
25,2021-06-21,52.0,152.63,1,678765,11360
26,2021-06-22,13.0,145.49,1,678909,11367
27,2021-06-23,71.0,163.11,1,679137,11368
28,2021-06-24,112.0,167.91,1,679330,11378
29,2021-06-25,92.0,191.74,1,679472,11389
30,2021-06-26,102.0,190.26,1,679680,11392
31,2021-06-27,146.0,154.11,1,679828,11396
32,2021-06-28,51.0,155.62,1,679917,11402
33,2021-06-29,59.0,156.43,1,680065,11412
34,2021-06-30,79.0,162.68,1,680340,11415
35,2021-07-01,42.0,172.55,1,680564,11419
36,2021-07-02,16.0,191.62,1,680744,11423
37,2021-07-03,207.0,179.52,1,680904,11423
38,2021-07-04,260.0,142.72,1,681072,11427
39,2021-07-05,106.0,152.99,1,681194,11431
40,2021-07-06,59.0,157.94,1,681326,11434
41,2021-07-07,74.0,160.58,1,681599,11436
42,2021-07-08,-20.0,154.78,1,681890,11441
43,2021-07-09,41.0,191.64,1,682147,11448
44,2021-07-10,173.0,194.69,1,682433,11450
45,2021-07-11,106.0,149.68,1,682673,11450
46,2021-07-12,34.0,156.93,1,682856,11450
47,2021-07-13,74.0,157.28,1,683202,11459
48,2021-07-14,57.0,161.76,1,683614,11467
49,2021-07-15,75.0,170.01,1,684054,11471
50,2021-07-16,70.0,198.35,1,684499,11477
51,2021-07-17,179.0,196.07,1,684499,11477
52,2021-07-18,109.0,153.49,1,684499,11477
