,date,mobility_sum,apple_mobility,distance,cases,deaths
0,2021-05-27,143.0,149.43,1,24182,255
1,2021-05-28,76.0,180.46,1,24190,255
2,2021-05-29,173.0,191.05,1,24200,255
3,2021-05-30,99.0,163.85,1,24209,255
4,2021-05-31,54.0,146.28,1,24220,255
5,2021-06-01,164.0,152.15,1,24224,255
6,2021-06-02,160.0,148.66,1,24232,255
7,2021-06-03,90.0,148.89,1,24240,255
8,2021-06-04,153.0,179.31,1,24252,256
9,2021-06-05,137.0,179.47,1,24252,256
10,2021-06-06,208.0,159.62,1,24252,256
11,2021-06-07,153.0,150.83,1,24282,256
12,2021-06-08,105.0,150.74,1,24295,256
13,2021-06-09,162.0,157.43,1,24300,256
14,2021-06-10,163.0,160.5,1,24314,256
15,2021-06-11,127.0,188.07,1,24320,256
16,2021-06-12,211.0,192.46,1,24320,256
17,2021-06-13,216.0,173.72,1,24320,256
18,2021-06-14,50.0,152.68,1,24331,256
19,2021-06-15,94.0,158.95,1,24339,256
20,2021-06-16,157.0,168.64,1,24348,256
21,2021-06-17,201.0,179.06,1,24357,256
22,2021-06-18,133.0,203.67,1,24360,256
23,2021-06-19,162.0,204.89,1,24360,256
24,2021-06-20,260.0,174.92,1,24360,256
25,2021-06-21,97.0,172.26,1,24368,256
26,2021-06-22,114.0,173.39,1,24371,256
27,2021-06-23,200.0,181.73,1,24379,256
28,2021-06-24,218.0,193.98,1,24385,256
29,2021-06-25,170.0,216.59,1,24392,256
30,2021-06-26,104.0,211.8,1,24392,256
31,2021-06-27,233.0,193.59,1,24392,256
32,2021-06-28,141.0,180.53,1,24402,256
33,2021-06-29,204.0,180.95,1,24406,256
34,2021-06-30,113.0,177.82,1,24410,256
35,2021-07-01,228.0,196.11,1,24412,257
36,2021-07-02,61.0,212.32,1,24419,258
37,2021-07-03,250.0,208.11,1,24419,258
38,2021-07-04,269.0,181.17,1,24419,258
39,2021-07-05,388.0,201.59,1,24419,258
40,2021-07-06,234.0,190.7,1,24433,258
41,2021-07-07,189.0,193.22,1,24440,258
42,2021-07-08,117.0,195.44,1,24445,258
43,2021-07-09,127.0,224.93,1,24457,258
44,2021-07-10,248.0,231.64,1,24457,258
45,2021-07-11,221.0,198.73,1,24457,258
46,2021-07-12,177.0,191.19,1,24489,258
47,2021-07-13,109.0,189.0,1,24497,258
48,2021-07-14,163.0,193.32,1,24516,258
49,2021-07-15,272.0,205.0,1,24529,258
50,2021-07-16,200.0,234.22,1,24550,258
51,2021-07-17,141.0,224.38,1,24550,258
52,2021-07-18,92.0,198.39,1,24550,258
53,2021-07-19,175.0,197.3,1,24579,259
54,2021-07-20,128.0,190.82,1,24590,259
55,2021-07-21,149.0,196.63,1,24609,259
56,2021-07-22,261.0,205.93,1,24647,259
57,2021-07-23,233.0,234.08,1,24676,259
58,2021-07-24,270.0,232.81,1,24676,259
59,2021-07-25,171.0,204.75,1,24676,259
60,2021-07-26,203.0,195.16,1,24748,259
61,2021-07-27,103.0,191.23,1,24760,259
62,2021-07-28,276.0,199.97,1,24804,259
63,2021-07-29,143.0,202.33,1,24830,259
64,2021-07-30,152.0,234.82,1,24889,260
65,2021-07-31,233.0,235.71,1,24889,260
66,2021-08-01,-11.0,199.49,1,24889,260
67,2021-08-02,187.0,197.79,1,25038,260
68,2021-08-03,279.0,198.36,1,25077,260
69,2021-08-04,275.0,203.6,1,25129,260
70,2021-08-05,261.0,201.83,1,25219,260
71,2021-08-06,238.0,240.92,1,25320,260
72,2021-08-07,207.0,238.12,1,25320,260
73,2021-08-08,123.0,214.61,1,25320,260
74,2021-08-09,209.0,197.97,1,25571,262
75,2021-08-10,260.0,197.05,1,25663,263
76,2021-08-11,165.0,201.16,1,25757,263
77,2021-08-12,201.0,204.78,1,25883,264
78,2021-08-13,185.0,240.02,1,26040,264
79,2021-08-14,197.0,234.13,1,26040,264
80,2021-08-15,193.0,213.14,1,26040,264
81,2021-08-16,260.0,196.27,1,26040,264
82,2021-08-17,134.0,190.85,1,26397,264
83,2021-08-18,169.0,194.41,1,26494,267
84,2021-08-19,51.0,200.44,1,26663,268
85,2021-08-20,201.0,227.69,1,26778,270
86,2021-08-21,200.0,222.7,1,26778,270
87,2021-08-22,168.0,189.02,1,27050,270
88,2021-08-23,121.0,184.85,1,27132,270
89,2021-08-24,211.0,187.94,1,27237,270
90,2021-08-25,216.0,193.28,1,27355,271
91,2021-08-26,196.0,210.23,1,27504,273
92,2021-08-27,206.0,240.34,1,27648,275
93,2021-08-28,153.0,229.48,1,27835,275
94,2021-08-29,34.0,193.88,1,27972,275
95,2021-08-30,128.0,168.25,1,28044,275
96,2021-08-31,189.0,166.94,1,28200,276
97,2021-09-01,139.0,167.64,1,28399,277
98,2021-09-02,163.0,179.12,1,28542,279
99,2021-09-03,151.0,232.1,1,28703,280
100,2021-09-04,228.0,247.97,1,28884,281
101,2021-09-05,204.0,205.31,1,28994,282
102,2021-09-06,99.0,181.33,1,29125,282
103,2021-09-07,172.0,165.99,1,29325,282
104,2021-09-08,106.0,158.06,1,29436,282
105,2021-09-09,110.0,171.22,1,29588,283
106,2021-09-10,114.0,206.54,1,29735,284
107,2021-09-11,186.0,224.37,1,29934,287
108,2021-09-12,137.0,179.02,1,30114,287
109,2021-09-13,138.0,161.36,1,30264,288
110,2021-09-14,135.0,160.43,1,30376,291
111,2021-09-15,53.0,158.92,1,30584,292
112,2021-09-16,194.0,181.19,1,30922,294
113,2021-09-17,127.0,217.93,1,31156,296
114,2021-09-18,111.0,226.93,1,31361,298
115,2021-09-19,185.0,192.07,1,31634,298
116,2021-09-20,149.0,166.95,1,31764,298
117,2021-09-21,172.0,170.54,1,31911,301
118,2021-09-22,143.0,173.2,1,32079,301
119,2021-09-23,161.0,184.52,1,32368,301
120,2021-09-24,111.0,223.8,1,32610,304
121,2021-09-25,194.0,243.22,1,32790,306
122,2021-09-26,166.0,203.47,1,33031,310
123,2021-09-27,54.0,176.99,1,33231,310
124,2021-09-28,144.0,181.57,1,33329,313
125,2021-09-29,110.0,182.28,1,33438,317
126,2021-09-30,144.0,197.22,1,33662,317
127,2021-10-01,180.0,241.77,1,33852,318
128,2021-10-02,76.0,252.13,1,34081,321
129,2021-10-03,100.0,213.35,1,34221,321
130,2021-10-04,107.0,196.46,1,34411,323
131,2021-10-05,166.0,201.4,1,34505,323
132,2021-10-06,212.0,210.34,1,34632,327
133,2021-10-07,264.0,234.32,1,34923,328
134,2021-10-08,244.0,297.55,1,35204,332
135,2021-10-09,280.0,319.38,1,35459,335
136,2021-10-10,295.0,281.16,1,35672,335
137,2021-10-11,167.0,249.72,1,35892,335
138,2021-10-12,240.0,208.46,1,36025,339
139,2021-10-13,166.0,202.18,1,36352,340
140,2021-10-14,149.0,204.36,1,36503,342
141,2021-10-15,149.0,244.95,1,36730,343
142,2021-10-16,94.0,245.05,1,37069,345
143,2021-10-17,150.0,214.82,1,37318,345
144,2021-10-18,62.0,173.91,1,37519,346
145,2021-10-19,75.0,165.66,1,37651,347
146,2021-10-20,130.0,169.5,1,37768,349
147,2021-10-21,43.0,170.26,1,38090,351
148,2021-10-22,19.0,212.11,1,38320,351
149,2021-10-23,98.0,226.63,1,38573,351
150,2021-10-24,112.0,181.09,1,38843,351
151,2021-10-25,-5.0,141.86,1,38982,351
152,2021-10-26,-21.0,142.22,1,39072,356
153,2021-10-27,50.0,150.16,1,39233,358
154,2021-10-28,61.0,155.4,1,39559,360
155,2021-10-29,-13.0,186.47,1,39788,364
156,2021-10-30,-70.0,175.88,1,39923,364
157,2021-10-31,-63.0,127.12,1,40191,364
158,2021-11-01,19.0,133.67,1,40340,368
159,2021-11-02,7.0,135.31,1,40513,369
160,2021-11-03,-6.0,135.75,1,40727,374
161,2021-11-04,5.0,140.55,1,41254,380
162,2021-11-05,-33.0,175.26,1,41644,383
163,2021-11-06,42.0,183.41,1,41908,384
164,2021-11-07,38.0,143.03,1,42313,384
165,2021-11-08,31.0,126.48,1,42547,384
166,2021-11-09,21.0,126.22,1,42716,387
167,2021-11-10,17.0,139.93,1,42910,388
168,2021-11-11,14.0,151.08,1,43521,391
169,2021-11-12,-75.0,172.45,1,44030,393
170,2021-11-13,-47.0,177.78,1,44490,393
171,2021-11-14,1.0,142.83,1,44801,393
172,2021-11-15,-23.0,129.26,1,45024,394
173,2021-11-16,-22.0,127.92,1,45213,395
174,2021-11-17,-15.0,133.08,1,45456,398
175,2021-11-18,-21.0,140.12,1,45985,401
176,2021-11-19,-77.0,169.7,1,46449,401
177,2021-11-20,-42.0,161.98,1,46896,404
178,2021-11-21,-14.0,130.63,1,47376,404
179,2021-11-22,-21.0,138.2,1,47609,405
180,2021-11-23,9.0,149.11,1,47805,406
181,2021-11-24,89.0,159.87,1,48120,406
182,2021-11-25,-175.0,92.65,1,48120,406
183,2021-11-26,-102.0,160.91,1,48120,406
184,2021-11-27,-14.0,162.37,1,48120,406
185,2021-11-28,-16.0,159.95,1,48120,406
186,2021-11-29,-20.0,128.86,1,49801,410
187,2021-11-30,-41.0,129.13,1,50014,410
188,2021-12-01,-30.0,128.55,1,50510,413
189,2021-12-02,-52.0,128.35,1,51134,414
190,2021-12-03,-74.0,162.8,1,51629,416
191,2021-12-04,-58.0,167.76,1,52195,416
192,2021-12-05,-78.0,134.66,1,52889,417
