,date,mobility_sum,apple_mobility,distance,cases,deaths
0,2021-05-27,27.0,166.76,2,435680,5798
1,2021-05-28,65.0,205.52,2,436741,5809
2,2021-05-29,93.0,189.97,2,437492,5809
3,2021-05-30,186.0,156.47,2,437492,5809
4,2021-05-31,18.0,159.78,2,437500,5809
5,2021-06-01,58.0,167.76,2,438918,5833
6,2021-06-02,39.0,170.54,2,439675,5845
7,2021-06-03,61.0,171.73,2,440538,5866
8,2021-06-04,50.0,197.62,2,441271,5881
9,2021-06-05,64.0,182.9,2,441926,5881
10,2021-06-06,112.0,143.44,2,442006,5881
11,2021-06-07,37.0,156.59,2,442762,5894
12,2021-06-08,40.0,163.99,2,443564,5821
13,2021-06-09,56.0,172.08,2,444159,5836
14,2021-06-10,61.0,179.84,2,444922,5846
15,2021-06-11,32.0,207.51,2,445488,5857
16,2021-06-12,100.0,203.59,2,446034,5857
17,2021-06-13,142.0,158.3,2,446091,5858
18,2021-06-14,23.0,167.37,2,446778,5825
19,2021-06-15,50.0,172.74,2,447266,5842
20,2021-06-16,66.0,184.02,2,447781,5850
21,2021-06-17,55.0,197.15,2,448263,5852
22,2021-06-18,43.0,228.12,2,448716,5863
23,2021-06-19,100.0,214.72,2,449108,5867
24,2021-06-20,184.0,173.39,2,449170,5867
25,2021-06-21,48.0,189.23,2,449829,5881
26,2021-06-22,37.0,186.69,2,450253,5887
27,2021-06-23,43.0,191.73,2,450995,5930
28,2021-06-24,50.0,201.1,2,451560,5939
29,2021-06-25,38.0,227.74,2,451980,5949
30,2021-06-26,68.0,215.46,2,452327,5948
31,2021-06-27,121.0,180.76,2,452390,5948
32,2021-06-28,10.0,185.7,2,452960,5956
33,2021-06-29,-12.0,184.89,2,453307,5963
34,2021-06-30,28.0,187.88,2,453630,5984
35,2021-07-01,53.0,197.93,2,454087,5992
36,2021-07-02,39.0,219.92,2,454484,5994
37,2021-07-03,72.0,195.88,2,454484,5994
38,2021-07-04,140.0,156.28,2,454484,5994
39,2021-07-05,5.0,179.98,2,454484,5994
40,2021-07-06,46.0,193.13,2,455630,6011
41,2021-07-07,52.0,193.17,2,456116,6027
42,2021-07-08,60.0,201.73,2,456643,6040
43,2021-07-09,50.0,233.47,2,457092,6050
44,2021-07-10,71.0,219.39,2,457092,6050
45,2021-07-11,145.0,182.03,2,457092,6050
46,2021-07-12,38.0,191.51,2,458724,6051
47,2021-07-13,36.0,191.44,2,459282,6070
48,2021-07-14,55.0,197.32,2,460015,6076
49,2021-07-15,48.0,207.93,2,460730,6086
50,2021-07-16,69.0,229.12,2,461401,6093
51,2021-07-17,115.0,225.55,2,461412,6093
52,2021-07-18,183.0,188.88,2,461412,6093
53,2021-07-19,48.0,192.2,2,463232,6096
54,2021-07-20,55.0,191.26,2,464014,6106
55,2021-07-21,58.0,195.87,2,464963,6112
56,2021-07-22,55.0,205.94,2,466437,6114
57,2021-07-23,59.0,236.78,2,467489,6124
58,2021-07-24,81.0,219.42,2,467489,6124
59,2021-07-25,141.0,186.1,2,467489,6124
60,2021-07-26,39.0,188.21,2,470553,6134
61,2021-07-27,35.0,189.86,2,471529,6141
62,2021-07-28,41.0,195.39,2,472867,6143
63,2021-07-29,46.0,203.77,2,473676,6160
64,2021-07-30,37.0,225.88,2,474520,6165
65,2021-07-31,54.0,203.91,2,474520,6165
66,2021-08-01,136.0,174.21,2,474520,6165
67,2021-08-02,29.0,184.51,2,477352,6169
68,2021-08-03,38.0,186.08,2,482341,6177
69,2021-08-04,42.0,194.09,2,484838,6185
70,2021-08-05,42.0,198.38,2,487754,6200
71,2021-08-06,66.0,220.19,2,489960,6209
72,2021-08-07,111.0,202.78,2,489960,6209
73,2021-08-08,152.0,174.32,2,489960,6209
74,2021-08-09,38.0,184.01,2,496367,6216
75,2021-08-10,40.0,191.54,2,497771,6233
76,2021-08-11,40.0,195.75,2,501941,6250
77,2021-08-12,9.0,199.15,2,505566,6262
78,2021-08-13,8.0,220.46,2,508631,6287
79,2021-08-14,24.0,206.13,2,508631,6287
80,2021-08-15,96.0,178.99,2,508631,6287
81,2021-08-16,21.0,180.58,2,516226,6295
82,2021-08-17,3.0,180.72,2,518604,6317
83,2021-08-18,44.0,187.69,2,522390,6346
84,2021-08-19,13.0,197.01,2,526305,6378
