,date,mobility_sum,apple_mobility,distance,cases,deaths
0,2021-05-27,20.0,163.22,2,673951,7814
1,2021-05-28,86.0,201.56,2,674216,7830
2,2021-05-29,237.0,192.54,2,674216,7830
3,2021-05-30,139.0,164.49,2,674216,7830
4,2021-05-31,141.0,157.94,2,674630,7856
5,2021-06-01,220.0,171.25,2,674693,7875
6,2021-06-02,176.0,173.12,2,674952,7894
7,2021-06-03,219.0,181.49,2,675152,7923
8,2021-06-04,171.0,217.94,2,675363,7954
9,2021-06-05,288.0,218.32,2,675363,7954
10,2021-06-06,218.0,174.12,2,675363,7954
11,2021-06-07,95.0,170.74,2,675661,7965
12,2021-06-08,215.0,179.43,2,675863,7981
13,2021-06-09,189.0,184.11,2,675993,7995
14,2021-06-10,235.0,199.96,2,676178,8007
15,2021-06-11,146.0,226.03,2,676288,8013
16,2021-06-12,340.0,227.17,2,676288,8013
17,2021-06-13,258.0,190.49,2,676288,8013
18,2021-06-14,181.0,188.31,2,676489,8015
19,2021-06-15,228.0,191.62,2,676619,8023
20,2021-06-16,205.0,197.38,2,676655,8041
21,2021-06-17,201.0,205.42,2,676763,8046
22,2021-06-18,178.0,234.73,2,676885,8047
23,2021-06-19,329.0,228.01,2,676885,8047
24,2021-06-20,130.0,166.85,2,676885,8047
25,2021-06-21,141.0,183.46,2,677030,8064
26,2021-06-22,231.0,187.42,2,677143,8067
27,2021-06-23,153.0,194.31,2,677256,8077
28,2021-06-24,102.0,194.84,2,677398,8092
29,2021-06-25,110.0,237.66,2,677464,8099
30,2021-06-26,85.0,216.78,2,677464,8099
31,2021-06-27,122.0,187.77,2,677464,8099
32,2021-06-28,133.0,183.51,2,677608,8109
33,2021-06-29,75.0,184.19,2,677743,8126
34,2021-06-30,178.0,197.88,2,677833,8128
35,2021-07-01,233.0,212.11,2,677952,8134
36,2021-07-02,159.0,236.3,2,678067,8135
37,2021-07-03,370.0,207.14,2,678067,8135
38,2021-07-04,383.0,173.69,2,678067,8135
39,2021-07-05,91.0,207.51,2,678215,8144
40,2021-07-06,89.0,193.44,2,678260,8144
41,2021-07-07,-12.0,189.23,2,678436,8154
42,2021-07-08,180.0,209.65,2,678671,8158
43,2021-07-09,162.0,240.52,2,678815,8182
44,2021-07-10,258.0,230.32,2,678815,8182
45,2021-07-11,126.0,191.9,2,678815,8182
46,2021-07-12,127.0,187.43,2,679156,8185
47,2021-07-13,225.0,191.87,2,679392,8189
48,2021-07-14,34.0,191.42,2,679601,8196
49,2021-07-15,208.0,209.67,2,679816,8198
50,2021-07-16,149.0,248.52,2,680034,8209
51,2021-07-17,315.0,242.66,2,680034,8209
52,2021-07-18,248.0,199.26,2,680034,8209
53,2021-07-19,164.0,191.91,2,680456,8212
54,2021-07-20,183.0,221.72,2,680955,8223
55,2021-07-21,151.0,197.46,2,681368,8229
56,2021-07-22,193.0,208.47,2,681774,8234
57,2021-07-23,190.0,241.05,2,682276,8240
58,2021-07-24,218.0,230.3,2,682276,8240
59,2021-07-25,188.0,199.4,2,682276,8240
60,2021-07-26,343.0,192.79,2,683235,8253
61,2021-07-27,139.0,192.75,2,684331,8261
62,2021-07-28,122.0,194.6,2,685214,8282
63,2021-07-29,127.0,206.9,2,686225,8287
64,2021-07-30,130.0,241.89,2,687382,8290
65,2021-07-31,246.0,227.97,2,687382,8290
66,2021-08-01,149.0,196.18,2,687382,8290
67,2021-08-02,155.0,188.29,2,689457,8295
68,2021-08-03,170.0,188.48,2,691068,8299
69,2021-08-04,138.0,191.89,2,692401,8302
70,2021-08-05,174.0,194.55,2,694145,8305
71,2021-08-06,76.0,232.36,2,695436,8300
72,2021-08-07,159.0,218.55,2,695436,8300
73,2021-08-08,69.0,186.8,2,695436,8300
74,2021-08-09,51.0,177.94,2,697954,8306
75,2021-08-10,86.0,179.84,2,699764,8311
76,2021-08-11,46.0,188.12,2,701288,8314
77,2021-08-12,170.0,205.86,2,702949,8317
78,2021-08-13,134.0,240.07,2,705031,8322
79,2021-08-14,263.0,229.73,2,705031,8322
80,2021-08-15,136.0,194.67,2,705031,8322
81,2021-08-16,126.0,184.76,2,707479,8324
82,2021-08-17,156.0,186.99,2,709504,8336
83,2021-08-18,121.0,192.17,2,711171,8353
84,2021-08-19,142.0,203.49,2,712967,8356
85,2021-08-20,144.0,231.62,2,714792,8368
86,2021-08-21,219.0,218.05,2,714792,8368
87,2021-08-22,215.0,185.72,2,714792,8368
88,2021-08-23,90.0,178.34,2,718074,8373
89,2021-08-24,64.0,175.8,2,720674,8406
90,2021-08-25,82.0,186.26,2,722604,8416
91,2021-08-26,133.0,192.87,2,724931,8429
92,2021-08-27,-6.0,219.62,2,727515,8438
93,2021-08-28,211.0,217.16,2,727515,8438
94,2021-08-29,143.0,177.59,2,727515,8438
95,2021-08-30,95.0,180.12,2,731529,8445
96,2021-08-31,125.0,181.16,2,734157,8462
97,2021-09-01,82.0,181.54,2,736432,8496
98,2021-09-02,132.0,191.26,2,739150,8509
99,2021-09-03,92.0,230.19,2,741412,8521
100,2021-09-04,153.0,213.4,2,741412,8521
101,2021-09-05,120.0,187.29,2,741412,8521
102,2021-09-06,104.0,172.01,2,745837,8536
103,2021-09-07,95.0,170.19,2,746781,8539
104,2021-09-08,47.0,176.65,2,749241,8557
105,2021-09-09,118.0,189.87,2,751408,8589
106,2021-09-10,80.0,224.17,2,754164,8613
107,2021-09-11,245.0,225.82,2,754164,8613
108,2021-09-12,48.0,162.63,2,754164,8613
109,2021-09-13,59.0,162.04,2,758055,8632
110,2021-09-14,102.0,169.87,2,760485,8646
111,2021-09-15,76.0,174.6,2,764556,8666
112,2021-09-16,108.0,188.85,2,768535,8682
113,2021-09-17,61.0,230.24,2,772089,8703
114,2021-09-18,278.0,234.63,2,772089,8703
115,2021-09-19,114.0,177.95,2,772089,8703
116,2021-09-20,70.0,172.86,2,779921,8713
117,2021-09-21,90.0,174.36,2,784048,8731
118,2021-09-22,37.0,177.88,2,787194,8754
119,2021-09-23,91.0,193.05,2,790787,8775
120,2021-09-24,62.0,236.4,2,793981,8794
121,2021-09-25,199.0,231.73,2,793981,8794
122,2021-09-26,105.0,180.04,2,793981,8794
123,2021-09-27,73.0,165.14,2,800621,8813
124,2021-09-28,114.0,167.29,2,804300,8849
125,2021-09-29,77.0,170.46,2,807624,8868
126,2021-09-30,106.0,185.79,2,810382,8888
127,2021-10-01,86.0,230.34,2,814364,8901
128,2021-10-02,243.0,233.37,2,814364,8901
129,2021-10-03,53.0,175.62,2,814364,8901
130,2021-10-04,52.0,161.0,2,820876,8934
131,2021-10-05,93.0,166.26,2,825699,8960
132,2021-10-06,68.0,169.52,2,828403,8970
133,2021-10-07,30.0,179.82,2,831712,8989
134,2021-10-08,112.0,225.55,2,835193,9006
135,2021-10-09,262.0,237.75,2,835193,9006
136,2021-10-10,93.0,166.36,2,835193,9006
137,2021-10-11,16.0,159.29,2,840904,9054
138,2021-10-12,39.0,162.26,2,844320,9101
139,2021-10-13,35.0,164.36,2,847180,9124
140,2021-10-14,102.0,182.48,2,850140,9141
141,2021-10-15,68.0,224.65,2,850140,9141
142,2021-10-16,158.0,233.16,2,850140,9141
143,2021-10-17,64.0,166.01,2,855353,9162
144,2021-10-18,60.0,159.88,2,858183,9164
145,2021-10-19,104.0,164.61,2,860213,9181
146,2021-10-20,18.0,165.31,2,862645,9207
147,2021-10-21,12.0,177.35,2,865319,9226
148,2021-10-22,21.0,219.26,2,867697,9259
149,2021-10-23,117.0,225.04,2,867697,9259
150,2021-10-24,-2.0,160.5,2,867697,9259
151,2021-10-25,4.0,151.29,2,872164,9299
152,2021-10-26,51.0,157.77,2,875162,9344
153,2021-10-27,22.0,161.04,2,877415,9370
154,2021-10-28,13.0,171.8,2,880005,9390
155,2021-10-29,-3.0,209.94,2,882618,9416
156,2021-10-30,102.0,213.75,2,882618,9416
157,2021-10-31,81.0,140.83,2,882618,9416
158,2021-11-01,-13.0,145.34,2,887361,9430
159,2021-11-02,10.0,149.82,2,890760,9467
160,2021-11-03,-16.0,153.45,2,893124,9495
161,2021-11-04,14.0,159.23,2,896589,9523
162,2021-11-05,20.0,192.19,2,899804,9542
163,2021-11-06,86.0,184.53,2,899804,9542
164,2021-11-07,24.0,136.06,2,899804,9542
165,2021-11-08,25.0,139.75,2,905333,9576
