,date,mobility_sum,apple_mobility,distance,cases,deaths
0,2021-05-27,102.0,174.24,1,161046,2792
1,2021-05-28,35.0,205.74,1,161287,2792
2,2021-05-29,28.0,175.28,1,161287,2792
3,2021-05-30,21.0,147.76,1,161287,2792
4,2021-05-31,-14.0,153.46,1,161287,2792
5,2021-06-01,28.0,161.33,1,161858,2797
6,2021-06-02,-3.0,160.65,1,161967,2800
7,2021-06-03,36.0,171.87,1,162111,2807
8,2021-06-04,52.0,200.55,1,162232,2813
9,2021-06-05,153.0,197.28,1,162232,2813
10,2021-06-06,137.0,162.79,1,162232,2813
11,2021-06-07,35.0,163.03,1,162540,2821
12,2021-06-08,15.0,161.41,1,162636,2822
13,2021-06-09,17.0,164.04,1,162726,2846
14,2021-06-10,41.0,177.24,1,162845,2848
15,2021-06-11,13.0,206.61,1,162939,2849
16,2021-06-12,128.0,207.96,1,162939,2849
17,2021-06-13,83.0,163.83,1,162939,2849
18,2021-06-14,25.0,171.18,1,163144,2853
19,2021-06-15,49.0,167.68,1,163221,2856
20,2021-06-16,80.0,172.41,1,163311,2861
21,2021-06-17,91.0,182.8,1,163382,2863
22,2021-06-18,48.0,214.85,1,163382,2863
23,2021-06-19,54.0,208.07,1,163382,2863
24,2021-06-20,108.0,161.32,1,163382,2863
25,2021-06-21,-31.0,166.65,1,163382,2863
26,2021-06-22,23.0,170.27,1,163627,2870
27,2021-06-23,74.0,176.49,1,163689,2872
28,2021-06-24,25.0,194.47,1,163744,2876
29,2021-06-25,81.0,223.76,1,163804,2876
30,2021-06-26,164.0,215.65,1,163804,2876
31,2021-06-27,126.0,176.66,1,163804,2876
32,2021-06-28,44.0,175.16,1,163967,2878
33,2021-06-29,3.0,175.28,1,163992,2879
34,2021-06-30,-2.0,175.73,1,164041,2891
35,2021-07-01,38.0,193.24,1,164097,2897
36,2021-07-02,120.0,228.93,1,164149,2899
37,2021-07-03,112.0,194.22,1,164149,2899
38,2021-07-04,111.0,148.55,1,164149,2899
39,2021-07-05,42.0,176.47,1,164149,2899
40,2021-07-06,34.0,176.54,1,164279,2901
41,2021-07-07,46.0,179.36,1,164346,2901
42,2021-07-08,26.0,188.81,1,164399,2904
43,2021-07-09,77.0,219.44,1,164465,2908
44,2021-07-10,64.0,215.61,1,164465,2908
45,2021-07-11,132.0,171.17,1,164465,2908
46,2021-07-12,34.0,172.49,1,164625,2910
47,2021-07-13,32.0,168.93,1,164685,2909
48,2021-07-14,74.0,174.24,1,164763,2916
49,2021-07-15,130.0,195.49,1,164843,2917
50,2021-07-16,62.0,227.84,1,164933,2919
51,2021-07-17,157.0,213.3,1,164933,2919
52,2021-07-18,188.0,178.92,1,164933,2919
53,2021-07-19,52.0,176.06,1,165177,2919
54,2021-07-20,10.0,172.16,1,165259,2919
55,2021-07-21,42.0,174.33,1,165398,2920
56,2021-07-22,35.0,188.43,1,165524,2934
57,2021-07-23,95.0,215.43,1,165702,2936
58,2021-07-24,275.0,216.29,1,165702,2936
59,2021-07-25,182.0,171.22,1,165702,2936
60,2021-07-26,42.0,171.54,1,166108,2936
61,2021-07-27,31.0,169.17,1,166297,2936
62,2021-07-28,54.0,169.71,1,166493,2939
63,2021-07-29,-8.0,179.31,1,166748,2944
64,2021-07-30,60.0,213.39,1,167016,2946
65,2021-07-31,179.0,210.22,1,167016,2946
66,2021-08-01,138.0,167.85,1,167016,2946
67,2021-08-02,34.0,168.55,1,167681,2949
68,2021-08-03,55.0,167.37,1,167948,2954
69,2021-08-04,16.0,172.23,1,168330,2956
70,2021-08-05,46.0,174.47,1,168733,2961
71,2021-08-06,49.0,214.9,1,169162,2965
72,2021-08-07,159.0,208.12,1,169162,2965
73,2021-08-08,112.0,171.05,1,169162,2965
74,2021-08-09,42.0,171.12,1,170199,2972
75,2021-08-10,-8.0,165.89,1,170656,2972
76,2021-08-11,-13.0,165.83,1,171202,2974
77,2021-08-12,19.0,186.8,1,171707,2975
78,2021-08-13,48.0,217.28,1,171997,2976
79,2021-08-14,164.0,223.52,1,171997,2976
80,2021-08-15,147.0,174.01,1,171997,2976
81,2021-08-16,-8.0,172.84,1,173479,2978
82,2021-08-17,-15.0,175.7,1,174818,2990
83,2021-08-18,-22.0,177.19,1,175638,2997
84,2021-08-19,18.0,181.11,1,176608,3001
85,2021-08-20,-5.0,208.33,1,177533,3008
86,2021-08-21,96.0,201.53,1,177533,3008
87,2021-08-22,96.0,155.52,1,177533,3008
88,2021-08-23,-17.0,159.5,1,180019,3016
89,2021-08-24,-36.0,160.47,1,180804,3017
90,2021-08-25,-28.0,155.46,1,181906,3036
91,2021-08-26,-12.0,167.54,1,183354,3049
92,2021-08-27,53.0,210.09,1,184682,3054
93,2021-08-28,62.0,189.77,1,184682,3054
94,2021-08-29,50.0,149.06,1,187519,3064
95,2021-08-30,-19.0,151.5,1,188660,3074
96,2021-08-31,-49.0,144.53,1,189690,3084
97,2021-09-01,-40.0,141.44,1,191156,3106
98,2021-09-02,26.0,172.05,1,192788,3117
99,2021-09-03,20.0,214.52,1,194507,3117
100,2021-09-04,31.0,183.93,1,196484,3124
101,2021-09-05,4.0,144.27,1,197984,3124
102,2021-09-06,-31.0,155.4,1,199300,3148
103,2021-09-07,-5.0,155.04,1,200308,3151
104,2021-09-08,-26.0,149.89,1,201660,3169
105,2021-09-09,9.0,162.85,1,203404,3189
106,2021-09-10,-21.0,193.97,1,205783,3207
107,2021-09-11,57.0,185.8,1,208045,3207
108,2021-09-12,48.0,148.34,1,210289,3207
109,2021-09-13,-23.0,150.9,1,211706,3238
110,2021-09-14,-23.0,154.18,1,213179,3261
111,2021-09-15,-30.0,160.41,1,214984,3296
112,2021-09-16,1.0,171.16,1,217119,3313
113,2021-09-17,-14.0,205.7,1,219439,3370
114,2021-09-18,26.0,196.36,1,221513,3370
115,2021-09-19,72.0,160.93,1,223117,3370
116,2021-09-20,-14.0,152.08,1,224435,3424
117,2021-09-21,-28.0,150.9,1,225772,3441
118,2021-09-22,-27.0,149.73,1,227506,3467
119,2021-09-23,-11.0,164.79,1,228983,3492
120,2021-09-24,-31.0,193.41,1,231668,3523
121,2021-09-25,-1.0,187.28,1,233426,3523
122,2021-09-26,34.0,147.92,1,234802,3523
123,2021-09-27,-3.0,155.02,1,235965,3568
124,2021-09-28,-22.0,151.45,1,237002,3578
125,2021-09-29,-14.0,155.57,1,238498,3642
126,2021-09-30,22.0,170.28,1,240459,3670
127,2021-10-01,6.0,209.63,1,242104,3722
128,2021-10-02,67.0,203.38,1,243671,3722
129,2021-10-03,59.0,157.48,1,244698,3722
130,2021-10-04,-23.0,152.28,1,245544,3769
131,2021-10-05,-13.0,155.82,1,246408,3774
132,2021-10-06,-4.0,163.35,1,247806,3839
133,2021-10-07,16.0,181.38,1,249331,3866
134,2021-10-08,64.0,210.86,1,250800,3935
135,2021-10-09,7.0,205.44,1,252067,3935
136,2021-10-10,59.0,169.14,1,253138,3935
137,2021-10-11,14.0,166.65,1,253895,3976
138,2021-10-12,-12.0,160.58,1,254648,3995
139,2021-10-13,-8.0,163.41,1,255778,3998
140,2021-10-14,4.0,184.41,1,257042,4048
141,2021-10-15,51.0,215.08,1,258413,4108
142,2021-10-16,13.0,200.86,1,259585,4108
143,2021-10-17,30.0,169.29,1,260444,4108
144,2021-10-18,4.0,161.5,1,261133,4134
145,2021-10-19,-19.0,159.24,1,261890,4145
146,2021-10-20,-14.0,165.02,1,262902,4219
147,2021-10-21,-17.0,177.56,1,264002,4238
148,2021-10-22,32.0,211.87,1,265006,4263
149,2021-10-23,21.0,201.0,1,265879,4263
150,2021-10-24,17.0,160.22,1,266521,4263
151,2021-10-25,-10.0,153.64,1,267398,4292
