,date,mobility_sum,apple_mobility,distance,cases,deaths
0,2021-05-27,214.0,277.8,2,60048,719
1,2021-05-28,272.0,331.56,2,60144,719
2,2021-05-29,189.0,320.73,2,60144,719
3,2021-05-30,104.0,289.14,2,60144,719
4,2021-05-31,212.0,295.4,2,60144,719
5,2021-06-01,219.0,280.19,2,60364,720
6,2021-06-02,202.0,289.41,2,60433,720
7,2021-06-03,234.0,310.56,2,60543,720
8,2021-06-04,241.0,348.38,2,60623,720
9,2021-06-05,321.0,336.14,2,60623,720
10,2021-06-06,254.0,316.04,2,60623,720
11,2021-06-07,359.0,307.15,2,60773,720
12,2021-06-08,234.0,301.66,2,60844,725
13,2021-06-09,230.0,316.27,2,60941,725
14,2021-06-10,243.0,328.7,2,61012,725
15,2021-06-11,284.0,368.94,2,61115,725
16,2021-06-12,377.0,360.41,2,61115,725
17,2021-06-13,269.0,344.56,2,61115,725
18,2021-06-14,402.0,339.26,2,61235,725
19,2021-06-15,247.0,336.83,2,61303,734
20,2021-06-16,220.0,347.62,2,61359,734
21,2021-06-17,222.0,367.9,2,61425,734
22,2021-06-18,255.0,392.37,2,61490,734
23,2021-06-19,376.0,378.53,2,61490,734
24,2021-06-20,214.0,338.27,2,61490,734
25,2021-06-21,481.0,342.92,2,61630,734
26,2021-06-22,238.0,347.73,2,61704,734
27,2021-06-23,207.0,351.08,2,61776,740
28,2021-06-24,199.0,370.59,2,61847,740
29,2021-06-25,192.0,397.81,2,61951,740
30,2021-06-26,371.0,393.84,2,61951,740
31,2021-06-27,200.0,376.75,2,61951,740
32,2021-06-28,487.0,363.0,2,62099,740
33,2021-06-29,282.0,348.54,2,62195,747
34,2021-06-30,265.0,365.72,2,62290,747
35,2021-07-01,289.0,389.83,2,62353,747
36,2021-07-02,338.0,425.24,2,62445,747
37,2021-07-03,258.0,375.64,2,62445,747
38,2021-07-04,502.0,326.69,2,62445,747
39,2021-07-05,277.0,384.37,2,62445,747
40,2021-07-06,256.0,366.71,2,62642,751
41,2021-07-07,221.0,366.31,2,62737,751
42,2021-07-08,268.0,387.76,2,62865,751
43,2021-07-09,275.0,410.31,2,62966,751
44,2021-07-10,250.0,394.28,2,62966,751
45,2021-07-11,242.0,373.42,2,62966,751
46,2021-07-12,476.0,357.35,2,63138,751
47,2021-07-13,227.0,348.03,2,63235,760
48,2021-07-14,198.0,366.28,2,63331,760
49,2021-07-15,218.0,388.38,2,63455,760
50,2021-07-16,236.0,416.34,2,63523,760
51,2021-07-17,260.0,404.49,2,63523,760
52,2021-07-18,268.0,386.33,2,63523,760
53,2021-07-19,462.0,365.03,2,63709,760
54,2021-07-20,219.0,362.72,2,63840,766
55,2021-07-21,190.0,380.7,2,63988,766
56,2021-07-22,276.0,398.05,2,64141,766
57,2021-07-23,267.0,463.43,2,64251,766
58,2021-07-24,413.0,458.95,2,64251,766
59,2021-07-25,415.0,441.46,2,64251,766
60,2021-07-26,492.0,397.73,2,64451,766
61,2021-07-27,239.0,373.16,2,64623,776
62,2021-07-28,213.0,384.7,2,64623,776
63,2021-07-29,216.0,402.7,2,64955,776
64,2021-07-30,238.0,434.15,2,65127,776
65,2021-07-31,365.0,436.68,2,65127,776
66,2021-08-01,283.0,406.71,2,65127,776
67,2021-08-02,474.0,359.88,2,65467,776
68,2021-08-03,250.0,349.42,2,65704,786
69,2021-08-04,220.0,366.55,2,65953,786
70,2021-08-05,266.0,375.95,2,66200,786
71,2021-08-06,270.0,402.85,2,66453,786
72,2021-08-07,244.0,384.61,2,66453,786
73,2021-08-08,238.0,370.99,2,66453,786
74,2021-08-09,301.0,342.89,2,67026,786
75,2021-08-10,257.0,342.03,2,67326,793
76,2021-08-11,207.0,350.38,2,67582,793
77,2021-08-12,232.0,358.34,2,67957,793
78,2021-08-13,248.0,374.66,2,68272,793
79,2021-08-14,261.0,362.42,2,68272,793
80,2021-08-15,211.0,339.85,2,68272,793
81,2021-08-16,239.0,311.94,2,68944,793
82,2021-08-17,189.0,302.66,2,69356,809
83,2021-08-18,157.0,305.0,2,69844,809
84,2021-08-19,152.0,320.51,2,70150,809
85,2021-08-20,190.0,331.27,2,70671,809
86,2021-08-21,215.0,312.3,2,70671,809
87,2021-08-22,165.0,286.63,2,70671,809
88,2021-08-23,207.0,270.24,2,71562,809
89,2021-08-24,188.0,264.48,2,72069,835
90,2021-08-25,140.0,265.05,2,72528,835
91,2021-08-26,168.0,275.11,2,72995,835
92,2021-08-27,173.0,307.59,2,73467,835
93,2021-08-28,278.0,288.42,2,73467,835
94,2021-08-29,137.0,255.15,2,73467,835
95,2021-08-30,192.0,247.51,2,74756,835
96,2021-08-31,203.0,245.41,2,75136,858
97,2021-09-01,145.0,251.57,2,76007,858
98,2021-09-02,205.0,278.2,2,76602,858
99,2021-09-03,266.0,336.79,2,77206,858
100,2021-09-04,284.0,320.37,2,77206,858
101,2021-09-05,204.0,288.46,2,77206,858
102,2021-09-06,223.0,306.15,2,77206,858
103,2021-09-07,166.0,262.95,2,78495,879
104,2021-09-08,136.0,265.91,2,79297,879
105,2021-09-09,159.0,270.41,2,79830,879
106,2021-09-10,171.0,304.44,2,80643,879
107,2021-09-11,263.0,304.63,2,80643,879
108,2021-09-12,143.0,259.99,2,80643,879
109,2021-09-13,175.0,249.79,2,81825,879
110,2021-09-14,212.0,256.08,2,82463,918
111,2021-09-15,146.0,266.63,2,82897,918
112,2021-09-16,158.0,283.11,2,83643,918
113,2021-09-17,166.0,322.79,2,83958,918
